"key","English (en)","Spanish (es)","Chinese (Simplified) (zh-CN)"
"apps.browseSubtitle","Wallet first, then tokens, utils, and advanced platforms","Primero la billetera, luego tokens, utilidades y plataformas avanzadas","先看钱包，再看代币、工具和高级平台"
"apps.cashFusionDescription","Private CoinJoin — server or P2P over Nostr + Tor","CoinJoin privado — servidor o P2P mediante Nostr + Tor","私密 CoinJoin — 通过服务器或 Nostr + Tor 使用 P2P"
"apps.chatDescription","Private end-to-end encrypted Nostr messaging","Mensajería privada de Nostr cifrada de extremo a extremo","Nostr 端到端加密私密消息"
"apps.comingSoon","Coming soon","Próximamente","即将推出"
"apps.contractsDescription","Browse artifacts and manage deployed instances","Explora artefactos y gestiona instancias desplegadas","浏览合约构件并管理已部署实例"
"apps.empty","No apps in this category.","No hay aplicaciones en esta categoría.","此类别中没有应用。"
"apps.loadFailed","Failed to load addon apps","No se pudieron cargar las aplicaciones adicionales","加载插件应用失败"
"apps.quantumrootDescription","Receive and recovery tools for advanced vaults","Herramientas de recepción y recuperación para bóvedas avanzadas","高级金库的收款和恢复工具"
"apps.subtitle","Extend your wallet with tools","Amplía tu billetera con herramientas","使用工具扩展钱包"
"apps.title","Apps","Aplicaciones","应用"
"apps.token","Token","Token","代币"
"apps.utils","Utils","Utilidades","工具"
"apps.wallet","Wallet","Billetera","钱包"
"assets.bitcoinCash","Bitcoin Cash","Bitcoin Cash","Bitcoin Cash"
"assets.cashTokenHoldings","CashToken holdings","Tenencias de CashTokens","CashToken 持仓"
"assets.categories","categories","categorías","类别"
"assets.chipnet","Chipnet","Chipnet","Chipnet"
"assets.fungible","fungible","fungibles","同质化"
"assets.fungibleHoldings","Fungible token holdings","Tenencias de tokens fungibles","同质化代币持仓"
"assets.mintingNfts","Minting NFTs","NFTs de acuñación","铸造型 NFT"
"assets.mintingNftsDescription","Authority to mint additional NFTs in this category","Autoridad para crear NFT adicionales en esta categoría","拥有在此类别中铸造更多 NFT 的权限"
"assets.mintTokens","Mint Tokens","Crear tokens","铸造代币"
"assets.mutableNfts","Mutable NFTs","NFTs mutables","可变 NFT"
"assets.mutableNftsDescription","Commitment may be changed by the holder","El titular puede cambiar el compromiso","持有者可以更改承诺值"
"assets.nfts","NFTs","NFTs","NFT"
"assets.noFungibleTokens","No fungible CashTokens found.","No se encontraron CashTokens fungibles.","未找到同质化 CashToken。"
"assets.noNfts","No NFTs found.","No se encontraron NFT.","未找到 NFT。"
"assets.nonFungibleHoldings","Non-fungible holdings","Tenencias no fungibles","非同质化资产持仓"
"assets.plainNfts","Plain NFTs","NFTs simples","普通 NFT"
"assets.plainNftsDescription","Fixed commitment; cannot be changed or used to mint","Compromiso fijo; no se puede cambiar ni usar para crear tokens","承诺值固定，无法更改或用于铸造"
"assets.primaryBalance","Primary wallet balance","Saldo principal de la billetera","钱包主余额"
"assets.quantumroot","Quantumroot","Quantumroot","Quantumroot"
"assets.quickInventory","Quick view of your wallet inventory","Vista rápida del inventario de tu billetera","快速查看钱包资产"
"assets.tabBch","BCH","BCH","BCH"
"assets.tabNfts","NFTs","NFTs","NFT"
"assets.tabTokens","Tokens","Tokens","代币"
"assets.title","Assets","Activos","资产"
"assets.toggleBalance","Toggle BCH and USD balance","Cambiar entre saldo BCH y USD","切换 BCH 和 USD 余额"
"assets.units","units","unidades","单位"
"assets.usdPriceUnavailable","USD price unavailable","Precio en USD no disponible","USD 价格不可用"
"assets.usdUnavailable","USD unavailable","USD no disponible","USD 不可用"
"bip37.addressesWithCoins","address(es) with coins","dirección(es) con monedas","个有余额的地址"
"bip37.blocks","blocks","bloques","个区块"
"bip37.fromNode","BCH from the node ✓","BCH del nodo ✓","来自节点的 BCH ✓"
"bip37.height","height","altura","高度"
"bip37.inUse","● in use","● en uso","● 使用中"
"bip37.node","Node","Nodo","节点"
"bip37.notServes","Does not serve BIP37 ✗ (bloom filtering off)","No sirve BIP37 ✗ (filtrado Bloom desactivado)","不支持 BIP37 ✗（Bloom 过滤已关闭）"
"bip37.probe","Probe","Probar","探测"
"bip37.probing","Probing…","Comprobando…","探测中…"
"bip37.protocol","protocol","protocolo","协议"
"bip37.remove","Remove","Eliminar","移除"
"bip37.scanned","scanned","explorados","已扫描"
"bip37.serves","Serves BIP37 ✓","Sirve BIP37 ✓","支持 BIP37 ✓"
"bip37.sync","Sync","Sincronizar","同步"
"bip37.syncing","Syncing…","Sincronizando…","同步中…"
"bip37.syncingDetails","Syncing headers + scanning blocks via the node…","Sincronizando encabezados y explorando bloques mediante el nodo…","正在同步区块头并通过节点扫描区块…"
"bip37.use","Use","Usar","使用"
"bip37.useBalanceTitle","Derive this wallet's balance directly from the node (trustless SPV)","Derivar directamente del nodo el saldo de esta billetera (SPV sin confianza)","直接从节点推导钱包余额（无需信任的 SPV）"
"bip37.useNodeTitle","Use ONLY this node for wallet data (trustless; Electrum servers are not consulted)","Usar SOLO este nodo para los datos de la billetera (sin confianza; no se consultan servidores Electrum)","仅使用此节点获取钱包数据（无需信任；不会查询 Electrum 服务器）"
"bip37.verified","Verified trustlessly: every matched tx proven by its block's merkle proof.","Verificado sin confianza: cada transacción coincidente está demostrada por la prueba de Merkle de su bloque.","已验证，无需信任：每笔匹配交易都由其区块的 Merkle 证明确认。"
"bip37.watching","watching","observando","监视"
"builder.addFirstRecipient","Add your first recipient","Añade tu primer destinatario","添加第一个收款人"
"builder.addOpReturnOutput","Add OP_RETURN Output","Añadir salida OP_RETURN","添加 OP_RETURN 输出"
"builder.addOutput","Add Output","Añadir salida","添加输出"
"builder.addRecipient","Add recipient","Añadir destinatario","添加收款人"
"builder.addRecipients","Add recipients","Añade destinatarios","添加收款人"
"builder.addRecipientsDescription","Add BCH recipients, token transfers, collectibles, or an optional message output.","Añade destinatarios de BCH, transferencias de tokens, coleccionables o un mensaje opcional.","添加 BCH 收款人、代币转账、收藏品或可选的消息输出。"
"builder.address","Address","Dirección","地址"
"builder.amount","Amount","Importe","金额"
"builder.amountToSend","Amount to send","Importe a enviar","发送金额"
"builder.attachMessage","Attach message","Adjuntar mensaje","附加消息"
"builder.back","Back","Atrás","返回"
"builder.bchAddress","BCH address","Dirección BCH","BCH 地址"
"builder.bchAmountSats","BCH amount (sats)","Importe BCH (satoshis)","BCH 金额（sat）"
"builder.bchFunds","BCH funds","Fondos BCH","BCH 资金"
"builder.broadcastedSuccess","Your transaction was broadcast successfully!","¡Tu transacción se transmitió correctamente!","交易已成功广播！"
"builder.buildTransaction","Build Transaction","Crear transacción","构建交易"
"builder.buildTx","Build TX","Crear TX","构建 TX"
"builder.capability","Capability","Capacidad","能力"
"builder.category","Category","Categoría","类别"
"builder.chooseSource","Choose a source","Elige un origen","选择来源"
"builder.chooseSourceDescription","Pick wallet addresses for normal sends, or contracts for script spends.","Elige direcciones de la billetera para envíos normales o contratos para scripts.","普通发送请选择钱包地址，脚本花费请选择合约。"
"builder.chooseSourceHelp","Choose source","Elegir origen","选择来源"
"builder.close","Close","Cerrar","关闭"
"builder.collectibleAmount","Collectible amount","Importe del coleccionable","收藏品数量"
"builder.commitment","Commitment","Compromiso","承诺值"
"builder.configureCollectible","Configure collectible","Configurar coleccionable","配置收藏品"
"builder.confirmAndSend","Confirm and Send Transaction","Confirmar y enviar transacción","确认并发送交易"
"builder.confirmTransaction","Confirm Transaction","Confirmar transacción","确认交易"
"builder.contract","Contract","Contrato","合约"
"builder.contractAddress","Contract address","Dirección del contrato","合约地址"
"builder.contractAssets","Contract assets","Activos del contrato","合约资产"
"builder.contractFunction","Contract Function","Función del contrato","合约函数"
"builder.contractFunds","Contract funds","Fondos del contrato","合约资金"
"builder.contracts","Contracts","Contratos","合约"
"builder.contractSourceCount","{count} contract source(s)","{count} origen(es) de contrato","合约来源 {count} 个"
"builder.contractSourcePlural","{count} contract sources","{count} orígenes de contrato","合约来源 {count} 个"
"builder.contractSources","Contract sources","Orígenes de contratos","合约来源"
"builder.contractSourceSingular","{count} contract source","{count} origen de contrato","合约来源 {count} 个"
"builder.copyToClipboard","Copy to clipboard","Copiar al portapapeles","复制到剪贴板"
"builder.createCollectible","Create collectible","Crear coleccionable","创建收藏品"
"builder.createToken","Create token","Crear token","创建代币"
"builder.customSend","Custom Send","Envío personalizado","自定义发送"
"builder.decodeFailed","Unable to decode transaction. Showing raw hex:","No se pudo decodificar la transacción. Se muestra el hexadecimal sin procesar:","无法解码交易，正在显示原始十六进制："
"builder.dragToConfirm","Drag to Confirm","Arrastra para confirmar","拖动以确认"
"builder.enterTokenAmount","Enter amount (max {amount})","Introduce el importe (máximo {amount})","输入数量（最大 {amount}）"
"builder.estimatedNetworkFee","Estimated network fee","Comisión de red estimada","预计网络费用"
"builder.feeReserve","Leaving a {count} sat fee reserve.","Se reservan {count} satoshis para la comisión.","预留 {count} sat 作为费用。"
"builder.flow","Flow","Flujo","流程"
"builder.flowDescription","Pick a source, choose funds, add recipients, then preview the final transaction before sending.","Elige un origen, selecciona fondos, añade destinatarios y revisa la transacción final antes de enviarla.","选择来源、选择资金、添加收款人，然后在发送前预览最终交易。"
"builder.fundsSelected","Funds selected","Fondos seleccionados","已选资金"
"builder.fungibleAmount","Fungible Amount","Importe fungible","同质化代币数量"
"builder.fungibleTokens","Fungible Tokens","Tokens fungibles","同质化代币"
"builder.genesisCollectible","Genesis input for this collectible","Entrada génesis de este coleccionable","此收藏品的创世输入"
"builder.genesisInput","Genesis input for this token","Entrada génesis de este token","此代币的创世输入"
"builder.help","Help","Ayuda","帮助"
"builder.howWorks","How this works","Cómo funciona","使用方式"
"builder.inputs","Inputs","Entradas","输入"
"builder.leftoverBchPlaceholder","Wallet address for leftover BCH","Dirección de billetera para el BCH sobrante","剩余 BCH 的钱包地址"
"builder.max","Max","Máximo","最大值"
"builder.maxSpendable","Set to maximum spendable (leaves 2000 sats for fees)","Usar el máximo disponible (deja 2000 satoshis para comisiones)","设置为最大可用金额（为费用保留 2000 sat）"
"builder.missingUnlocker","Missing unlocker!","¡Falta el desbloqueador!","缺少解锁器！"
"builder.next","Next","Siguiente","下一步"
"builder.nftCapability","NFT Capability","Capacidad del NFT","NFT 能力"
"builder.nftCommitment","NFT Commitment","Compromiso del NFT","NFT 承诺值"
"builder.noContractAddresses","No contract addresses available.","No hay direcciones de contratos disponibles.","没有可用的合约地址。"
"builder.noFundsSelected","No funds selected yet.","Aún no se han seleccionado fondos.","尚未选择资金。"
"builder.none","None","Ninguno","无"
"builder.nonFungibleTokens","Non-Fungible Tokens","Tokens no fungibles","非同质化代币"
"builder.noOutputs","No outputs added yet.","Aún no se han añadido salidas.","尚未添加输出。"
"builder.noQrCode","No QR code detected. Please try again.","No se detectó ningún código QR. Inténtalo de nuevo.","未检测到二维码，请重试。"
"builder.noSpendableBalance","No spendable balance after fee reserve","No hay saldo disponible después de reservar la comisión","预留费用后没有可花费余额"
"builder.noUtxosSelected","No UTXOs selected.","No se han seleccionado UTXO.","尚未选择 UTXO。"
"builder.noWalletAddresses","No wallet addresses available.","No hay direcciones de billetera disponibles.","没有可用的钱包地址。"
"builder.opReturnData","OP_RETURN Data","Datos OP_RETURN","OP_RETURN 数据"
"builder.opReturnEmpty","OP_RETURN data cannot be empty.","Los datos OP_RETURN no pueden estar vacíos.","OP_RETURN 数据不能为空。"
"builder.opReturnOutput","OP_RETURN Output","Salida OP_RETURN","OP_RETURN 输出"
"builder.opReturnPlaceholder","Enter space-separated ASCII words","Introduce palabras ASCII separadas por espacios","输入以空格分隔的 ASCII 单词"
"builder.outputs","Outputs","Salidas","输出"
"builder.paperWallet","Paper Wallet","Billetera de papel","纸钱包"
"builder.paperWalletUtxos","Paper Wallet UTXOs","UTXO de la billetera de papel","纸钱包 UTXO"
"builder.pickFunds","Pick funds","Selecciona fondos","选择资金"
"builder.pickFundsDescription","Select the BCH, tokens, or collectibles that will fund this transaction.","Selecciona el BCH, los tokens o los coleccionables que financiarán esta transacción.","选择用于支付本次交易的 BCH、代币或收藏品。"
"builder.rawTransactionDetails","Raw Transaction Details","Detalles de la transacción sin procesar","原始交易详情"
"builder.ready","Ready","Listo","就绪"
"builder.recipient","{count} recipient","{count} destinatario","收款人 {count} 个"
"builder.recipientAddress","Recipient Address","Dirección del destinatario","收款人地址"
"builder.recipientCount","{count} recipients","{count} destinatarios","收款人 {count} 个"
"builder.recipients","Recipients","Destinatarios","收款人"
"builder.recipientsAdded","Recipients added","Destinatarios añadidos","已添加收款人"
"builder.remove","Remove","Eliminar","移除"
"builder.removeAllRecipients","Remove all recipients","Eliminar todos los destinatarios","移除所有收款人"
"builder.returnLeftover","Return leftover funds to","Devolver fondos sobrantes a","将剩余资金退回到"
"builder.reviewAndSend","Review and send","Revisa y envía","检查并发送"
"builder.reviewAndSendDescription","Preview first, then send only when the summary looks right.","Revisa primero y envía solo cuando el resumen sea correcto.","先预览，确认摘要无误后再发送。"
"builder.reviewFunds","Review funds","Revisar fondos","检查资金"
"builder.reviewRecipients","Review recipients","Revisar destinatarios","检查收款人"
"builder.scanQrCode","Scan QR Code","Escanear código QR","扫描二维码"
"builder.selectedFunds","Selected funds","Fondos seleccionados","已选资金"
"builder.selectedItem","{count} selected item","{count} elemento seleccionado","已选择 {count} 个项目"
"builder.selectedItems","{count} selected items","{count} elementos seleccionados","已选择 {count} 个项目"
"builder.selectGenesisInput","Select genesis input","Selecciona la entrada génesis","选择创世输入"
"builder.selectSource","Select a source to continue.","Selecciona un origen para continuar.","请选择来源继续。"
"builder.sendBch","Send BCH","Enviar BCH","发送 BCH"
"builder.sendTx","Send TX","Enviar TX","发送 TX"
"builder.sendWarning","You are about to send a transaction. Please confirm that all details are correct. This action cannot be undone.","Estás a punto de enviar una transacción. Confirma que todos los detalles sean correctos. Esta acción no se puede deshacer.","你即将发送交易，请确认所有详情正确。此操作无法撤销。"
"builder.sourcesChosen","Sources chosen","Orígenes elegidos","已选来源"
"builder.step","Step {number}","Paso {number}","步骤 {number}"
"builder.token","Token","Token","代币"
"builder.tokenAddress","Token address","Dirección de token","代币地址"
"builder.tokenAmount","Token Amount","Importe del token","代币数量"
"builder.tokenCategory","Token Category","Categoría del token","代币类别"
"builder.tokenCategoryLabel","Token Category","Categoría del token","代币类别"
"builder.tokensCollectibles","Tokens & collectibles","Tokens y coleccionables","代币和收藏品"
"builder.transactionError","Transaction Error","Error de transacción","交易错误"
"builder.transactionSubmitted","Transaction Submitted","Transacción enviada","交易已提交"
"builder.transactionSubmittedDescription","Your transaction has been submitted. Use this txid as the reference and avoid sending it again.","Tu transacción se ha enviado. Usa este txid como referencia y evita volver a enviarla.","交易已提交。请保留此 txid 作为参考，避免重复发送。"
"builder.transactionSuccessful","Transaction Successful","Transacción completada","交易成功"
"builder.transferMinimum","Transfer amount must be at least {count}.","El importe debe ser de al menos {count}.","转账金额必须至少为 {count}。"
"builder.tryAgain","Try Again","Intentar de nuevo","重试"
"builder.txHash","Tx Hash","Hash de transacción","交易哈希"
"builder.txId","TX ID","ID de TX","交易 ID"
"builder.viewExplorer","View on Explorer","Ver en el explorador","在浏览器中查看"
"builder.wallet","Wallet","Billetera","钱包"
"builder.walletAssets","Wallet assets","Activos de la billetera","钱包资产"
"builder.walletFunds","Wallet funds","Fondos de la billetera","钱包资金"
"builder.walletSourceCount","{count} wallet source(s)","{count} origen(es) de la billetera","钱包来源 {count} 个"
"builder.walletSourcePlural","{count} wallet sources","{count} orígenes de la billetera","钱包来源 {count} 个"
"builder.walletSources","Wallet sources","Orígenes de la billetera","钱包来源"
"builder.walletSourceSingular","{count} wallet source","{count} origen de la billetera","钱包来源 {count} 个"
"builder.warning","⚠️ Warning","⚠️ Advertencia","⚠️ 警告"
"camera.cancel","Cancel","Cancelar","取消"
"camera.scan","Scan QR with camera","Escanear QR con la cámara","使用相机扫描二维码"
"camera.unavailable","Camera unavailable: {error}. Use Upload instead.","Cámara no disponible: {error}. Usa Cargar en su lugar.","相机不可用：{error}。请改用上传。"
"cauldron.active","active","activas","活跃"
"cauldron.description","Detected from the active wallet receive/change/DeFi address set through the Cauldron indexer.","Detectado a partir del conjunto activo de direcciones de recepción, cambio y DeFi mediante el indexador de Cauldron.","通过 Cauldron 索引器，从当前钱包的接收、找零和 DeFi 地址集合中检测。"
"cauldron.positions","Cauldron positions","Posiciones de Cauldron","Cauldron 仓位"
"cauldron.tokenCategories","token categories","categorías de tokens","代币类别"
"chat.back","Back to conversations","Volver a conversaciones","返回会话列表"
"chat.choosePhoto","Choose photo","Elegir foto","选择照片"
"chat.copyNpub","Copy npub","Copiar npub","复制 npub"
"chat.displayName","Display name","Nombre para mostrar","显示名称"
"chat.emptyDescription","Pick a conversation, or tap + to message someone by their npub. Messages are end-to-end encrypted over Nostr.","Elige una conversación o pulsa + para escribir a alguien mediante su npub. Los mensajes están cifrados de extremo a extremo en Nostr.","选择一个会话，或点击 + 通过 npub 给某人发消息。消息通过 Nostr 端到端加密。"
"chat.encrypted","End-to-end encrypted","Cifrado de extremo a extremo","端到端加密"
"chat.messagePlaceholder","Message…","Mensaje…","消息…"
"chat.newChat","New chat","Nuevo chat","新聊天"
"chat.newConversation","New conversation","Nueva conversación","新会话"
"chat.noConversations","No conversations yet. Tap + to start one.","Aún no hay conversaciones. Pulsa + para iniciar una.","暂无会话。点击 + 开始聊天。"
"chat.noMessages","No messages yet. Say hi — messages are end-to-end encrypted.","Aún no hay mensajes. Saluda: los mensajes están cifrados de extremo a extremo.","暂无消息。打个招呼吧——消息已端到端加密。"
"chat.open","Open","Abrir","打开"
"chat.privateConversations","Your private conversations","Tus conversaciones privadas","你的私密会话"
"chat.privateMessaging","Private Nostr messaging","Mensajería privada de Nostr","Nostr 私密消息"
"chat.profile","Profile","Perfil","个人资料"
"chat.profilePublished","Profile published ✓","Perfil publicado ✓","个人资料已发布 ✓"
"chat.publishProfile","Publish profile","Publicar perfil","发布个人资料"
"chat.recipient","Recipient npub…","npub del destinatario…","收件人 npub…"
"chat.searchConversations","Search conversations","Buscar conversaciones","搜索会话"
"chat.send","Send","Enviar","发送"
"chat.setup","Nostr setup","Configurar Nostr","Nostr 设置"
"chat.title","Chat","Chat","聊天"
"chat.youPrefix","You: ","Tú: ","你："
"chat.yourNpub","Your npub","Tu npub","你的 npub"
"confirm.action","Confirm action","Confirmar acción","确认操作"
"confirm.cancel","Cancel","Cancelar","取消"
"confirm.ok","OK","Aceptar","确定"
"console.appLog","App Log","Registro de la aplicación","应用日志"
"console.clear","Clear","Borrar","清除"
"console.noEntries","No log entries yet.","Aún no hay entradas de registro.","暂无日志条目。"
"console.placeholder","method [params…]","método [parámetros…]","方法 [参数…]"
