"key","English (en)","Chinese (Traditional) (zh-TW)","Status"
"actions.receive","Receive","接收","translated"
"actions.receiveDescription","Receive BCH or CashTokens","接收 BCH 或 CashTokens","translated"
"actions.scanQr","Scan QR","掃描 QR","translated"
"actions.scanQrDescription","Sweep paper wallets","掃描紙錢包","translated"
"actions.send","Send","傳送","translated"
"actions.sendDescription","Send BCH or CashTokens","傳送 BCH 或 CashTokens","translated"
"actions.subtitle","Simple wallet actions for everyday use","適合日常使用的簡易錢包操作","translated"
"actions.taskMode","Task mode","任務模式","translated"
"actions.taskModeDescription","Basic tasks first, advanced tools one step deeper","先處理基本任務，進階工具位於下一層","translated"
"actions.title","Actions","操作","stable-term"
"actions.transactionBuilder","Transaction Builder","交易建構器","translated"
"actions.transactionBuilderDescription","Build custom transactions","建立自訂交易","translated"
"actions.walletConnect","WalletConnect","WalletConnect","stable-term"
"actions.walletConnectDescription","Manage dApp sessions","管理 dApp 工作階段","translated"
"actions.wizardConnect","WizardConnect","WizardConnect","stable-term"
"actions.wizardConnectDescription","XPub-key-enabled dApp sessions","支援 XPub 金鑰的 dApp 工作階段","translated"
"addons.description","Addons run in a sandboxed frame with no access to your wallet's keys or memory — they can only do what the permissions you approve allow.","附加元件在沙盒框架中執行，無法存取錢包金鑰或記憶體，只能執行您核准的權限允許的操作。","translated"
"addons.desktopOnly","Installing addons from a folder is only available on desktop.","僅限在桌面從資料夾安裝附加元件。","translated"
"addons.installed","Installed addons","已安裝的附加元件","translated"
"addons.installedStatus","Installed “{name}”. Restart the app to load it.","已安裝「{name}」。重新啟動應用程式以載入。","translated"
"addons.installFolder","Install from folder…","從資料夾安裝…","translated"
"addons.installing","Installing…","安裝中…","translated"
"addons.none","No addons installed.","尚未安裝附加元件。","translated"
"addons.uninstall","Uninstall","解除安裝","translated"
"addons.uninstalledStatus","Uninstalled. Restart the app for it to fully disappear.","已解除安裝。重新啟動應用程式以完全移除。","translated"
"app.back","Back","返回","translated"
"app.close","Close","關閉","translated"
"app.confirmLogout","Confirm Logout","確認登出","translated"
"app.confirmLogoutDescription","Confirm logout to remove this wallet from the device.","確認登出以從裝置移除此錢包。","translated"
"app.help","Help","說明","translated"
"app.language","Language","語言","translated"
"app.languageDescription","Choose the wallet interface language","選擇錢包介面語言","translated"
"app.logOut","Log Out","登出","translated"
"app.quickAccess","Quick access","快速存取","translated"
"app.settings","Settings","設定","translated"
"app.toggleTheme","Toggle theme","切換主題","translated"
"appLock.cancel","Cancel","取消","translated"
"appLock.checking","Checking…","檢查中…","translated"
"appLock.confirm","Confirm","確認","translated"
"appLock.confirmPassword","Confirm password","確認密碼","translated"
"appLock.incorrect","Incorrect passphrase. Try again.","片語不正確，請再試一次。","translated"
"appLock.password","Password","密碼","translated"
"appLock.revealBackup","Enter your password to reveal the backup phrase.","輸入密碼以顯示備份片語。","translated"
"appLock.verificationFailed","Verification failed. Please try again.","驗證失敗，請再試一次。","translated"
"apps.addonLoadFailed","Addon failed to load","附加元件載入失敗","translated"
"apps.advanced","Advanced","進階","translated"
"apps.all","All","全部","translated"
"apps.allowCapabilities","Allow {name} capabilities?","允許 {name} 使用這些權限嗎？","translated"
"apps.allowOnce","Allow once","允許一次","translated"
"apps.allowSensitiveAction","Allow sensitive action?","允許敏感操作？","translated"
"apps.alwaysAllow","Always allow","一律允許","translated"
"apps.appDefinition","App definition","應用程式定義","translated"
"apps.approveCapabilities","Approve required capabilities to continue.","核准必要權限以繼續。","translated"
"apps.back","Back","返回","translated"
"apps.browse","Browse apps","瀏覽應用程式","translated"
"apps.browseSubtitle","Wallet first, then tokens, utils, and advanced platforms","先看錢包，再看代幣、工具與進階平台","translated"
"apps.capabilitiesMessage","This addon app is requesting wallet capabilities before launch.","此附加元件應用程式在啟動前請求錢包權限。","translated"
"apps.capability","Capability:","權限：","translated"
"apps.capability.addOutputs","Construct transaction outputs","建立交易輸出","translated"
"apps.capability.addressUtxosRead","Read UTXOs for wallet addresses","讀取錢包地址的 UTXO","translated"
"apps.capability.addressUtxosRefresh","Refresh and store UTXOs for wallet addresses","更新並儲存錢包地址的 UTXO","translated"
"apps.capability.broadcastTransactions","Broadcast transactions","廣播交易","translated"
"apps.capability.buildTransactions","Build transactions","建立交易","translated"
"apps.capability.fetchJson","Fetch JSON over HTTP","透過 HTTP 取得 JSON","translated"
"apps.capability.signatureTemplates","Create signature templates","建立簽章範本","translated"
"apps.capability.signMessages","Sign messages with wallet keys","使用錢包金鑰簽署訊息","translated"
"apps.capability.tokenHoldersRead","Read TokenIndex holder lists","讀取 TokenIndex 持有人清單","translated"
"apps.capability.tokenMetadataRead","Read CashToken metadata","讀取 CashToken 中繼資料","translated"
"apps.capability.walletAddressesRead","Read wallet addresses","讀取錢包地址","translated"
"apps.capability.walletContextRead","Read wallet context","讀取錢包內容","translated"
"apps.capability.walletUtxosRead","Read wallet UTXOs","讀取錢包 UTXO","translated"
"apps.capabilityRequested","{name} requested: {capability}.","{name} 請求：{capability}。","translated"
"apps.cashFusionDescription","Private CoinJoin — server or P2P over Nostr + Tor","私人 CoinJoin — 伺服器或透過 Nostr + Tor 的 P2P","translated"
"apps.chatDescription","Private end-to-end encrypted Nostr messaging","私人端對端加密 Nostr 訊息","translated"
"apps.comingSoon","Coming soon","即將推出","translated"
"apps.contractsDescription","Browse artifacts and manage deployed instances","瀏覽 artifact 並管理已部署的執行個體","translated"
"apps.deny","Deny","拒絕","translated"
"apps.empty","No apps in this category.","此類別沒有應用程式。","translated"
"apps.expectedScreen","Expected config.screen (or app.id) to map to a built-in app implementation.","預期 config.screen（或 app.id）對應到內建應用程式實作。","translated"
"apps.failedToLoad","Failed to load app","應用程式載入失敗","translated"
"apps.goToLanding","Go to Landing","前往首頁","translated"
"apps.loadFailed","Failed to load addon apps","載入附加元件應用程式失敗","translated"
"apps.loadingAddon","Loading addon…","正在載入附加元件…","translated"
"apps.loadingApp","Loading app…","正在載入應用程式…","translated"
"apps.noWallet","No wallet selected","未選取錢包","translated"
"apps.permissionDenied","Permission denied. App launch was blocked.","權限遭拒。應用程式啟動已封鎖。","translated"
"apps.quantumrootDescription","Receive and recovery tools for advanced vaults","進階保管庫的接收與復原工具","translated"
"apps.resolvedScreenId","Resolved screen ID","解析後的畫面 ID","translated"
"apps.subtitle","Extend your wallet with tools","使用工具擴充錢包","translated"
"apps.title","Apps","應用程式","translated"
"apps.token","Token","代幣","stable-term"
"apps.unsupportedAppKind","Unsupported app kind:","不支援的應用程式類型：","translated"
"apps.unsupportedDeclarativeApp","Unsupported declarative app:","不支援的宣告式應用程式：","translated"
"apps.utils","Utils","工具","translated"
"apps.waitingPermission","Waiting for app permission","等待應用程式權限","translated"
"apps.wallet","Wallet","錢包","stable-term"
"assets.advancedVaultDescription","Receive and recovery tools for advanced vaults","進階保管庫的接收與復原工具","translated"
"assets.advancedVaultWorkspace","Advanced vault workspace","進階保管庫工作區","translated"
"assets.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"assets.cashTokenHoldings","CashToken holdings","CashToken 持有量","translated"
"assets.cashTokens","CashTokens","CashTokens","stable-term"
"assets.categories","categories","類別","translated"
"assets.chipnet","Chipnet","Chipnet","stable-term"
"assets.fungible","fungible","同質化","translated"
"assets.fungibleHoldings","Fungible token holdings","同質化代幣持有量","translated"
"assets.mintingNfts","Minting NFTs","鑄造 NFT","translated"
"assets.mintingNftsDescription","Authority to mint additional NFTs in this category","可在此類別中鑄造其他 NFT 的權限","translated"
"assets.mintTokens","Mint Tokens","鑄造代幣","translated"
"assets.mutableNfts","Mutable NFTs","可變更 NFT","translated"
"assets.mutableNftsDescription","Commitment may be changed by the holder","持有者可以變更承諾","translated"
"assets.nfts","NFTs","NFT","stable-term"
"assets.noFungibleTokens","No fungible CashTokens found.","找不到同質化 CashToken。","translated"
"assets.noNfts","No NFTs found.","找不到 NFT。","translated"
"assets.nonFungibleHoldings","Non-fungible holdings","非同質化資產","translated"
"assets.openVaults","Open vaults","開啟保管庫","translated"
"assets.plainNfts","Plain NFTs","一般 NFT","translated"
"assets.plainNftsDescription","Fixed commitment; cannot be changed or used to mint","固定承諾；無法變更或用於鑄造","translated"
"assets.primaryBalance","Primary wallet balance","主要錢包餘額","translated"
"assets.quantumroot","Quantumroot","Quantumroot","stable-term"
"assets.quickInventory","Quick view of your wallet inventory","快速檢視錢包資產","translated"
"assets.tabBch","BCH","BCH","stable-term"
"assets.tabNfts","NFTs","NFT","stable-term"
"assets.tabTokens","Tokens","代幣","stable-term"
"assets.title","Assets","資產","translated"
"assets.toggleBalance","Toggle BCH and USD balance","切換 BCH 和 USD 餘額","translated"
"assets.units","units","單位","translated"
"assets.usdPriceUnavailable","USD price unavailable","USD 價格無法使用","translated"
"assets.usdUnavailable","USD unavailable","USD 無法使用","translated"
"assets.vaultWorkspace","Vault workspace","保管庫工作區","translated"
"bip37.addressesWithCoins","address(es) with coins","個有 coin 的地址","translated"
"bip37.blocks","blocks","區塊","stable-term"
"bip37.fromNode","BCH from the node ✓","來自節點的 BCH ✓","translated"
"bip37.height","height","高度","translated"
"bip37.inUse","● in use","● 使用中","translated"
"bip37.node","Node","節點","stable-term"
"bip37.notServes","Does not serve BIP37 ✗ (bloom filtering off)","不提供 BIP37 ✗（Bloom 篩選已關閉）","translated"
"bip37.probe","Probe","探測","translated"
"bip37.probing","Probing…","探測中…","translated"
"bip37.protocol","protocol","協定","translated"
"bip37.remove","Remove","移除","translated"
"bip37.scanned","scanned","已掃描","translated"
"bip37.serves","Serves BIP37 ✓","提供 BIP37 ✓","translated"
"bip37.sync","Sync","同步","translated"
"bip37.syncing","Syncing…","同步中…","translated"
"bip37.syncingDetails","Syncing headers + scanning blocks via the node…","正在透過節點同步標頭並掃描區塊…","translated"
"bip37.use","Use","使用","translated"
"bip37.useBalanceTitle","Derive this wallet's balance directly from the node (trustless SPV)","直接從節點導出錢包餘額（無需信任的 SPV）","translated"
"bip37.useNodeTitle","Use ONLY this node for wallet data (trustless; Electrum servers are not consulted)","僅使用此節點取得錢包資料（無需信任；不會查詢 Electrum 伺服器）","translated"
"bip37.verified","Verified trustlessly: every matched tx proven by its block's merkle proof.","已驗證且無需信任：每筆相符交易都由區塊的 Merkle proof 證明。","translated"
"bip37.watching","watching","監看中","translated"
"builder.addFirstRecipient","Add your first recipient","新增第一位收款人","translated"
"builder.addOpReturnOutput","Add OP_RETURN Output","Add OP_RETURN Output","needs-review"
"builder.addOutput","Add Output","新增輸出","translated"
"builder.addRecipient","Add recipient","新增收款人","translated"
"builder.addRecipients","Add recipients","新增收款人","translated"
"builder.addRecipientsDescription","Add BCH recipients, token transfers, collectibles, or an optional message output.","新增 BCH 收款人、代幣轉帳、收藏品或選用的訊息輸出。","translated"
"builder.address","Address","Address","needs-review"
"builder.amount","Amount","Amount","needs-review"
"builder.amountToSend","Amount to send","傳送金額","translated"
"builder.attachMessage","Attach message","附加訊息","translated"
"builder.back","Back","返回","translated"
"builder.bchAddress","BCH address","BCH 地址","translated"
"builder.bchAmountSats","BCH amount (sats)","BCH amount (sats)","needs-review"
"builder.bchFunds","BCH funds","BCH funds","needs-review"
"builder.broadcastedSuccess","Your transaction was broadcast successfully!","交易已成功廣播！","translated"
"builder.buildTransaction","Build Transaction","建立交易","translated"
"builder.buildTx","Build TX","Build TX","needs-review"
"builder.capability","Capability","Capability","needs-review"
"builder.category","Category","Category","needs-review"
"builder.chooseSource","Choose a source","選擇來源","translated"
"builder.chooseSourceDescription","Pick wallet addresses for normal sends, or contracts for script spends.","一般傳送請選擇錢包地址；腳本花費請選擇合約。","translated"
"builder.chooseSourceHelp","Choose source","選擇來源","translated"
"builder.close","Close","關閉","translated"
"builder.collectibleAmount","Collectible amount","Collectible amount","needs-review"
"builder.commitment","Commitment","Commitment","needs-review"
"builder.configureCollectible","Configure collectible","Configure collectible","needs-review"
"builder.confirmAndSend","Confirm and Send Transaction","確認並傳送交易","translated"
"builder.confirmTransaction","Confirm Transaction","確認交易","translated"
"builder.contract","Contract","Contract","needs-review"
"builder.contractAddress","Contract address","合約地址","translated"
"builder.contractAssets","Contract assets","Contract assets","needs-review"
"builder.contractFunction","Contract Function","Contract Function","needs-review"
"builder.contractFunds","Contract funds","Contract funds","needs-review"
"builder.contracts","Contracts","合約","translated"
"builder.contractSourceCount","{count} contract source(s)","{count} contract source(s)","needs-review"
"builder.contractSourcePlural","{count} contract sources","{count} contract sources","needs-review"
"builder.contractSources","Contract sources","合約來源","translated"
"builder.contractSourceSingular","{count} contract source","{count} contract source","needs-review"
"builder.copyToClipboard","Copy to clipboard","複製到剪貼簿","translated"
"builder.createCollectible","Create collectible","建立收藏品","translated"
"builder.createToken","Create token","建立代幣","translated"
"builder.customSend","Custom Send","自訂傳送","translated"
"builder.decodeFailed","Unable to decode transaction. Showing raw hex:","無法解碼交易。顯示原始十六進位資料：","translated"
"builder.dragToConfirm","Drag to Confirm","拖曳以確認","translated"
"builder.enterTokenAmount","Enter amount (max {amount})","Enter amount (max {amount})","needs-review"
"builder.estimatedNetworkFee","Estimated network fee","預估網路費用","translated"
"builder.feeReserve","Leaving a {count} sat fee reserve.","保留 {count} sat 的費用。","translated"
"builder.flow","Flow","流程","translated"
"builder.flowDescription","Pick a source, choose funds, add recipients, then preview the final transaction before sending.","選擇來源、挑選資金、加入收款人，然後在傳送前預覽最終交易。","translated"
"builder.fundsSelected","Funds selected","已選擇資金","translated"
"builder.fungibleAmount","Fungible Amount","Fungible Amount","needs-review"
"builder.fungibleTokens","Fungible Tokens","Fungible Tokens","needs-review"
"builder.genesisCollectible","Genesis input for this collectible","Genesis input for this collectible","needs-review"
"builder.genesisInput","Genesis input for this token","Genesis input for this token","needs-review"
"builder.help","Help","說明","translated"
"builder.howWorks","How this works","運作方式","translated"
"builder.inputs","Inputs","Inputs","needs-review"
"builder.leftoverBchPlaceholder","Wallet address for leftover BCH","接收剩餘 BCH 的錢包地址","translated"
"builder.max","Max","最大值","translated"
"builder.maxSpendable","Set to maximum spendable (leaves 2000 sats for fees)","設定為可花費上限（為費用保留 2000 sats）","translated"
"builder.missingUnlocker","Missing unlocker!","缺少 unlocker！","translated"
"builder.next","Next","下一步","translated"
"builder.nftCapability","NFT Capability","NFT Capability","needs-review"
"builder.nftCommitment","NFT Commitment","NFT Commitment","needs-review"
"builder.noContractAddresses","No contract addresses available.","沒有可用的合約地址。","translated"
"builder.noFundsSelected","No funds selected yet.","尚未選擇資金。","translated"
"builder.none","None","None","needs-review"
"builder.nonFungibleTokens","Non-Fungible Tokens","Non-Fungible Tokens","needs-review"
"builder.noOutputs","No outputs added yet.","尚未新增輸出。","translated"
"builder.noQrCode","No QR code detected. Please try again.","No QR code detected. Please try again.","needs-review"
"builder.noSpendableBalance","No spendable balance after fee reserve","預留費用後沒有可花費餘額","translated"
"builder.noUtxosSelected","No UTXOs selected.","尚未選擇 UTXO。","translated"
"builder.noWalletAddresses","No wallet addresses available.","沒有可用的錢包地址。","translated"
"builder.opReturnData","OP_RETURN Data","OP_RETURN Data","needs-review"
"builder.opReturnEmpty","OP_RETURN data cannot be empty.","OP_RETURN data cannot be empty.","needs-review"
"builder.opReturnOutput","OP_RETURN Output","OP_RETURN Output","needs-review"
"builder.opReturnPlaceholder","Enter space-separated ASCII words","Enter space-separated ASCII words","needs-review"
"builder.outputs","Outputs","Outputs","needs-review"
"builder.paperWallet","Paper Wallet","Paper Wallet","needs-review"
"builder.paperWalletUtxos","Paper Wallet UTXOs","Paper Wallet UTXOs","needs-review"
"builder.pickFunds","Pick funds","挑選資金","translated"
"builder.pickFundsDescription","Select the BCH, tokens, or collectibles that will fund this transaction.","選擇為此交易提供資金的 BCH、代幣或收藏品。","translated"
"builder.rawTransactionDetails","Raw Transaction Details","原始交易詳細資料","translated"
"builder.ready","Ready","準備就緒","translated"
"builder.recipient","{count} recipient","{count} recipient","needs-review"
"builder.recipientAddress","Recipient Address","收款人地址","translated"
"builder.recipientCount","{count} recipients","{count} recipients","needs-review"
"builder.recipients","Recipients","收款人","translated"
"builder.recipientsAdded","Recipients added","已新增收款人","translated"
"builder.remove","Remove","移除","translated"
"builder.removeAllRecipients","Remove all recipients","移除所有收款人","translated"
"builder.returnLeftover","Return leftover funds to","將剩餘資金退回","translated"
"builder.reviewAndSend","Review and send","檢查並傳送","translated"
"builder.reviewAndSendDescription","Preview first, then send only when the summary looks right.","先預覽，確認摘要正確後再傳送。","translated"
"builder.reviewFunds","Review funds","檢查資金","translated"
"builder.reviewRecipients","Review recipients","檢查收款人","translated"
"builder.scanQrCode","Scan QR Code","掃描 QR 碼","translated"
"builder.selectedFunds","Selected funds","已選擇資金","translated"
"builder.selectedItem","{count} selected item","{count} selected item","needs-review"
"builder.selectedItems","{count} selected items","{count} selected items","needs-review"
"builder.selectGenesisInput","Select genesis input","Select genesis input","needs-review"
"builder.selectSource","Select a source to continue.","選擇來源以繼續。","translated"
"builder.sendBch","Send BCH","傳送 BCH","translated"
"builder.sendTx","Send TX","Send TX","needs-review"
"builder.sendWarning","You are about to send a transaction. Please confirm that all details are correct. This action cannot be undone.","您即將傳送交易。請確認所有詳細資料正確。此操作無法復原。","translated"
"builder.sourcesChosen","Sources chosen","已選擇來源","translated"
"builder.step","Step {number}","步驟 {number}","translated"
"builder.token","Token","Token","needs-review"
"builder.tokenAddress","Token address","代幣地址","translated"
"builder.tokenAmount","Token Amount","Token Amount","needs-review"
"builder.tokenCategory","Token Category","Token Category","needs-review"
"builder.tokenCategoryLabel","Token Category","Token Category","needs-review"
"builder.tokensCollectibles","Tokens & collectibles","Tokens & collectibles","needs-review"
"builder.transactionError","Transaction Error","交易錯誤","translated"
"builder.transactionSubmitted","Transaction Submitted","交易已提交","translated"
"builder.transactionSubmittedDescription","Your transaction has been submitted. Use this txid as the reference and avoid sending it again.","您的交易已提交。請使用此 txid 作為參考，避免再次傳送。","translated"
"builder.transactionSuccessful","Transaction Successful","交易成功","translated"
"builder.transferMinimum","Transfer amount must be at least {count}.","Transfer amount must be at least {count}.","needs-review"
"builder.tryAgain","Try Again","再試一次","translated"
"builder.txHash","Tx Hash","Tx Hash","needs-review"
"builder.txId","TX ID","TX ID","needs-review"
"builder.viewExplorer","View on Explorer","在 Explorer 中檢視","translated"
"builder.wallet","Wallet","Wallet","needs-review"
"builder.walletAssets","Wallet assets","Wallet assets","needs-review"
"builder.walletFunds","Wallet funds","錢包資金","translated"
"builder.walletSourceCount","{count} wallet source(s)","{count} wallet source(s)","needs-review"
"builder.walletSourcePlural","{count} wallet sources","{count} wallet sources","needs-review"
"builder.walletSources","Wallet sources","錢包來源","translated"
"builder.walletSourceSingular","{count} wallet source","{count} wallet source","needs-review"
"builder.warning","⚠️ Warning","⚠️ 警告","translated"
"camera.cancel","Cancel","取消","translated"
"camera.scan","Scan QR with camera","使用相機掃描 QR","translated"
"camera.unavailable","Camera unavailable: {error}. Use Upload instead.","相機無法使用：{error}。請改用上傳。","translated"
"cauldron.active","active","作用中","translated"
"cauldron.description","Detected from the active wallet receive/change/DeFi address set through the Cauldron indexer.","由 Cauldron 索引器從目前錢包的接收、找零與 DeFi 地址集合中偵測。","translated"
"cauldron.positions","Cauldron positions","Cauldron 部位","translated"
"cauldron.tokenCategories","token categories","代幣類別","translated"
"chat.back","Back to conversations","返回對話","translated"
"chat.choosePhoto","Choose photo","選擇照片","translated"
"chat.copyNpub","Copy npub","複製 npub","translated"
"chat.displayName","Display name","顯示名稱","translated"
"chat.emptyDescription","Pick a conversation, or tap + to message someone by their npub. Messages are end-to-end encrypted over Nostr.","選擇對話，或點選 + 以透過 npub 傳訊息給某人。訊息會透過 Nostr 端對端加密。","translated"
"chat.encrypted","End-to-end encrypted","端對端加密","translated"
"chat.messagePlaceholder","Message…","訊息…","stable-term"
"chat.newChat","New chat","新聊天","translated"
"chat.newConversation","New conversation","新對話","translated"
"chat.noConversations","No conversations yet. Tap + to start one.","尚無對話。點選 + 開始對話。","translated"
"chat.noMessages","No messages yet. Say hi — messages are end-to-end encrypted.","尚無訊息。打個招呼吧，訊息已端對端加密。","translated"
"chat.open","Open","開啟","translated"
"chat.privateConversations","Your private conversations","您的私人對話","translated"
"chat.privateMessaging","Private Nostr messaging","Nostr 私人訊息","translated"
"chat.profile","Profile","個人檔案","translated"
"chat.profilePublished","Profile published ✓","個人檔案已發布 ✓","translated"
"chat.publishProfile","Publish profile","發布個人檔案","translated"
"chat.recipient","Recipient npub…","收款人 npub…","translated"
"chat.searchConversations","Search conversations","搜尋對話","translated"
"chat.send","Send","傳送","translated"
"chat.setup","Nostr setup","Nostr 設定","translated"
"chat.title","Chat","聊天","translated"
"chat.youPrefix","You: ","您：","translated"
"chat.yourNpub","Your npub","您的 npub","translated"
"confirm.action","Confirm action","確認操作","translated"
"confirm.cancel","Cancel","取消","translated"
"confirm.ok","OK","確定","stable-term"
"console.appLog","App Log","應用程式記錄","translated"
"console.clear","Clear","清除","translated"
"console.noEntries","No log entries yet.","尚無記錄項目。","translated"
"console.placeholder","method [params…]","method [params…]","stable-term"
"console.rpc","Electrum RPC","Electrum RPC","stable-term"
"console.send","Send","傳送","translated"
"console.sending","…","…","stable-term"
"console.typeHint","Type: method param1 param2 — e.g. server.version or blockchain.headers.subscribe","輸入：方法 參數1 參數2 — 例如 server.version 或 blockchain.headers.subscribe","translated"
"contract.arbiter","Arbiter: A trusted party who authorizes release of funds.","仲裁者：授權釋放資金的可信任一方。","translated"
"contract.available","Available Contracts","可用合約","translated"
"contract.bip38","BIP38 (Password-Protected Private Keys)","BIP38（受密碼保護的私鑰）","translated"
"contract.bip38Desc","The BIP38 contract secures private keys with a password. Its UTXOs require both the correct password and a valid signature.","BIP38 合約使用密碼保護私鑰。其 UTXO 需要正確密碼與有效簽章。","translated"
"contract.bip38Spending","Spending Requirements: Provide a valid owner signature and a data signature verifying the password.","花費條件：提供有效的擁有者簽章，以及驗證密碼的資料簽章。","translated"
"contract.bip38UseCase","Use Case: Ideal for protecting private keys against theft or unauthorized access, especially for long-term storage.","用途：適合防止私鑰被竊或未經授權存取，尤其適合長期儲存。","translated"
"contract.enhancedTrust","Enhanced Trust: Useful for transactions requiring multiple trusted parties.","增強信任：適合需要多個可信任方的交易。","translated"
"contract.escrow","Escrow","Escrow","stable-term"
"contract.escrowDesc","The Escrow contract supports secure transactions between a buyer and seller with a trusted arbiter. Funds are released only with the arbiter’s approval.","Escrow 合約支援買方與賣方透過可信仲裁者進行安全交易。只有仲裁者核准後才會釋放資金。","translated"
"contract.escrowMS2","EscrowMS2 (Multi-Party Escrow)","EscrowMS2（多方託管）","stable-term"
"contract.escrowMS2Desc","EscrowMS2 extends escrow with two arbiters. Funds can be released with one arbiter’s approval or both arbiters’ combined approval.","EscrowMS2 以兩位仲裁者擴充 escrow。資金可由一位仲裁者核准，或由兩位仲裁者共同核准後釋放。","translated"
"contract.escrowMS2Spending","Spending Requirements: One arbiter or both arbiters provide valid signatures, and the full amount goes to the buyer or seller.","花費條件：一位或兩位仲裁者提供有效簽章，全部金額會送往買方或賣方。","translated"
"contract.escrowSecurity","Security: Funds remain locked until the arbiter approves, helping prevent fraud or disputes.","安全性：資金會保持鎖定直到仲裁者核准，有助於防止詐欺或爭議。","translated"
"contract.escrowSpending","Spending Requirements: The arbiter provides a valid signature and the full amount goes to the buyer’s or seller’s public-key-hash address.","花費條件：仲裁者提供有效簽章，全部金額會送往買方或賣方的公鑰雜湊地址。","translated"
"contract.howToUse","How to Use Covenant Contracts","如何使用 covenant 合約","translated"
"contract.howToUseText","Open the Contracts section, choose a contract type, configure its conditions, and deploy it. To spend from contract UTXOs, meet the specific spending requirements above. Detailed instructions and examples are available in the app documentation.","開啟「合約」區段，選擇合約類型、設定條件並部署。若要花費合約 UTXO，請符合上方列出的特定花費條件。詳細說明與範例請參閱應用程式文件。","translated"
