"key","English (en)","Spanish (es)","Status"
"about.viewingText","Review the rules that govern transactions so you can understand how your funds are protected.","Revisa las reglas que gobiernan las transacciones para entender cómo se protegen tus fondos.","translated"
"about.why","Why Choose OPTN Wallet?","¿Por qué elegir OPTN Wallet?","translated"
"about.wiki","Bitcoin Covenants Wiki","Wiki de Bitcoin Covenants","translated"
"actions.advanced","Advanced","Avanzadas","translated"
"actions.advancedActions","Advanced Actions","Acciones avanzadas","translated"
"actions.basic","Basic","Básicas","translated"
"actions.basicActions","Basic Actions","Acciones básicas","translated"
"actions.cashTokens","CashTokens","CashTokens","stable-term"
"actions.cashTokensDescription","Manage token families","Gestionar familias de tokens","translated"
"actions.commonWalletTasks","Common wallet tasks","Tareas comunes de la billetera","translated"
"actions.contracts","Contracts","Contratos","translated"
"actions.contractsDescription","Manage contract instances","Gestionar instancias de contratos","translated"
"actions.deeperTools","Deeper tools and workflows","Herramientas y flujos avanzados","translated"
"actions.newAddress","New Address","Nueva dirección","translated"
"actions.newAddressDescription","Generate a new address","Generar una nueva dirección","translated"
"actions.quantumroot","Quantumroot","Quantumroot","stable-term"
"actions.quantumrootBadge","Beta production","Beta de producción","translated"
"actions.quantumrootDescription","Quantum-ready vaults","Bóvedas preparadas para lo cuántico","translated"
"actions.receive","Receive","Recibir","translated"
"actions.receiveDescription","Receive BCH or CashTokens","Recibir BCH o CashTokens","translated"
"actions.scanQr","Scan QR","Escanear QR","translated"
"actions.scanQrDescription","Sweep paper wallets","Barrer billeteras de papel","translated"
"actions.send","Send","Enviar","translated"
"actions.sendDescription","Send BCH or CashTokens","Enviar BCH o CashTokens","translated"
"actions.subtitle","Simple wallet actions for everyday use","Acciones sencillas para el uso diario","translated"
"actions.taskMode","Task mode","Modo de tareas","translated"
"actions.taskModeDescription","Basic tasks first, advanced tools one step deeper","Primero las tareas básicas; las herramientas avanzadas están un nivel más abajo","translated"
"actions.title","Actions","Acciones","stable-term"
"actions.transactionBuilder","Transaction Builder","Constructor de transacciones","translated"
"actions.transactionBuilderDescription","Build custom transactions","Crear transacciones personalizadas","translated"
"actions.walletConnect","WalletConnect","WalletConnect","stable-term"
"actions.walletConnectDescription","Manage dApp sessions","Gestionar sesiones de dApps","translated"
"actions.wizardConnect","WizardConnect","WizardConnect","stable-term"
"actions.wizardConnectDescription","XPub-key-enabled dApp sessions","Sesiones de dApps con XPub","translated"
"addons.description","Addons run in a sandboxed frame with no access to your wallet's keys or memory — they can only do what the permissions you approve allow.","Los complementos se ejecutan en un marco aislado sin acceso a las claves ni a la memoria de tu billetera; solo pueden hacer lo que permitan los permisos que apruebes.","translated"
"addons.desktopOnly","Installing addons from a folder is only available on desktop.","La instalación de complementos desde una carpeta solo está disponible en escritorio.","translated"
"addons.installed","Installed addons","Complementos instalados","translated"
"addons.installedStatus","Installed “{name}”. Restart the app to load it.","Se instaló “{name}”. Reinicia la aplicación para cargarlo.","translated"
"addons.installFolder","Install from folder…","Instalar desde carpeta…","translated"
"addons.installing","Installing…","Instalando…","translated"
"addons.none","No addons installed.","No hay complementos instalados.","translated"
"addons.uninstall","Uninstall","Desinstalar","translated"
"addons.uninstalledStatus","Uninstalled. Restart the app for it to fully disappear.","Desinstalado. Reinicia la aplicación para que desaparezca por completo.","translated"
"app.back","Back","Atrás","translated"
"app.close","Close","Cerrar","translated"
"app.confirmLogout","Confirm Logout","Confirmar cierre de sesión","translated"
"app.confirmLogoutDescription","Confirm logout to remove this wallet from the device.","Confirma el cierre de sesión para eliminar esta billetera del dispositivo.","translated"
"app.help","Help","Ayuda","translated"
"app.language","Language","Idioma","translated"
"app.languageDescription","Choose the wallet interface language","Elige el idioma de la interfaz","translated"
"app.logOut","Log Out","Cerrar sesión","translated"
"app.quickAccess","Quick access","Acceso rápido","translated"
"app.settings","Settings","Configuración","translated"
"app.toggleTheme","Toggle theme","Cambiar tema","translated"
"appLock.cancel","Cancel","Cancelar","translated"
"appLock.checking","Checking…","Comprobando…","translated"
"appLock.confirm","Confirm","Confirmar","translated"
"appLock.confirmPassword","Confirm password","Confirmar contraseña","translated"
"appLock.incorrect","Incorrect passphrase. Try again.","La contraseña es incorrecta. Inténtalo de nuevo.","translated"
"appLock.password","Password","Contraseña","translated"
"appLock.revealBackup","Enter your password to reveal the backup phrase.","Introduce tu contraseña para revelar la frase de respaldo.","translated"
"appLock.verificationFailed","Verification failed. Please try again.","Falló la verificación. Inténtalo de nuevo.","translated"
"apps.addonLoadFailed","Addon failed to load","No se pudo cargar el complemento","translated"
"apps.advanced","Advanced","Avanzadas","translated"
"apps.all","All","Todas","translated"
"apps.allowCapabilities","Allow {name} capabilities?","¿Permitir las capacidades de {name}?","translated"
"apps.allowOnce","Allow once","Permitir una vez","translated"
"apps.allowSensitiveAction","Allow sensitive action?","¿Permitir una acción sensible?","translated"
"apps.alwaysAllow","Always allow","Permitir siempre","translated"
"apps.appDefinition","App definition","Definición de la aplicación","translated"
"apps.approveCapabilities","Approve required capabilities to continue.","Aprueba las capacidades necesarias para continuar.","translated"
"apps.back","Back","Atrás","translated"
"apps.browse","Browse apps","Explorar aplicaciones","translated"
"apps.browseSubtitle","Wallet first, then tokens, utils, and advanced platforms","Primero la billetera, luego tokens, utilidades y plataformas avanzadas","translated"
"apps.capabilitiesMessage","This addon app is requesting wallet capabilities before launch.","Esta aplicación complementaria solicita capacidades de la billetera antes de iniciarse.","translated"
"apps.capability","Capability:","Capacidad:","translated"
"apps.capability.addOutputs","Construct transaction outputs","Construir salidas de transacción","translated"
"apps.capability.addressUtxosRead","Read UTXOs for wallet addresses","Leer UTXO de las direcciones de la billetera","translated"
"apps.capability.addressUtxosRefresh","Refresh and store UTXOs for wallet addresses","Actualizar y guardar UTXO de las direcciones de la billetera","translated"
"apps.capability.broadcastTransactions","Broadcast transactions","Transmitir transacciones","translated"
"apps.capability.buildTransactions","Build transactions","Construir transacciones","translated"
"apps.capability.fetchJson","Fetch JSON over HTTP","Obtener JSON mediante HTTP","translated"
"apps.capability.signatureTemplates","Create signature templates","Crear plantillas de firma","translated"
"apps.capability.signMessages","Sign messages with wallet keys","Firmar mensajes con las claves de la billetera","translated"
"apps.capability.tokenHoldersRead","Read TokenIndex holder lists","Leer listas de titulares de TokenIndex","translated"
"apps.capability.tokenMetadataRead","Read CashToken metadata","Leer metadatos de CashToken","translated"
"apps.capability.walletAddressesRead","Read wallet addresses","Leer las direcciones de la billetera","translated"
"apps.capability.walletContextRead","Read wallet context","Leer el contexto de la billetera","translated"
"apps.capability.walletUtxosRead","Read wallet UTXOs","Leer los UTXO de la billetera","translated"
"apps.capabilityRequested","{name} requested: {capability}.","{name} solicitó: {capability}.","translated"
"apps.cashFusionDescription","Private CoinJoin — server or P2P over Nostr + Tor","CoinJoin privado — servidor o P2P mediante Nostr + Tor","translated"
"apps.chatDescription","Private end-to-end encrypted Nostr messaging","Mensajería privada de Nostr cifrada de extremo a extremo","translated"
"apps.comingSoon","Coming soon","Próximamente","translated"
"apps.contractsDescription","Browse artifacts and manage deployed instances","Explora artefactos y gestiona instancias desplegadas","translated"
"apps.deny","Deny","Denegar","translated"
"apps.empty","No apps in this category.","No hay aplicaciones en esta categoría.","translated"
"apps.expectedScreen","Expected config.screen (or app.id) to map to a built-in app implementation.","config.screen (o app.id) debe corresponder a una implementación integrada.","translated"
"apps.failedToLoad","Failed to load app","No se pudo cargar la aplicación","translated"
"apps.goToLanding","Go to Landing","Ir a la página principal","translated"
"apps.loadFailed","Failed to load addon apps","No se pudieron cargar las aplicaciones adicionales","translated"
"apps.loadingAddon","Loading addon…","Cargando complemento…","translated"
"apps.loadingApp","Loading app…","Cargando aplicación…","translated"
"apps.noWallet","No wallet selected","No hay ninguna billetera seleccionada","translated"
"apps.permissionDenied","Permission denied. App launch was blocked.","Permiso denegado. Se bloqueó el inicio de la aplicación.","translated"
"apps.quantumrootDescription","Receive and recovery tools for advanced vaults","Herramientas de recepción y recuperación para bóvedas avanzadas","translated"
"apps.resolvedScreenId","Resolved screen ID","ID de pantalla resuelto","translated"
"apps.subtitle","Extend your wallet with tools","Amplía tu billetera con herramientas","translated"
"apps.title","Apps","Aplicaciones","translated"
"apps.token","Token","Token","stable-term"
"apps.unsupportedAppKind","Unsupported app kind:","Tipo de aplicación no compatible:","translated"
"apps.unsupportedDeclarativeApp","Unsupported declarative app:","Aplicación declarativa no compatible:","translated"
"apps.utils","Utils","Utilidades","translated"
"apps.waitingPermission","Waiting for app permission","Esperando permiso de la aplicación","translated"
"apps.wallet","Wallet","Billetera","stable-term"
"assets.advancedVaultDescription","Receive and recovery tools for advanced vaults","Herramientas de recepción y recuperación para bóvedas avanzadas","translated"
"assets.advancedVaultWorkspace","Advanced vault workspace","Espacio de bóvedas avanzado","translated"
"assets.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"assets.cashTokenHoldings","CashToken holdings","Tenencias de CashTokens","translated"
"assets.cashTokens","CashTokens","CashTokens","stable-term"
"assets.categories","categories","categorías","translated"
"assets.chipnet","Chipnet","Chipnet","stable-term"
"assets.fungible","fungible","fungibles","translated"
"assets.fungibleHoldings","Fungible token holdings","Tenencias de tokens fungibles","translated"
"assets.mintingNfts","Minting NFTs","NFTs de acuñación","translated"
"assets.mintingNftsDescription","Authority to mint additional NFTs in this category","Autoridad para crear NFT adicionales en esta categoría","translated"
"assets.mintTokens","Mint Tokens","Crear tokens","translated"
"assets.mutableNfts","Mutable NFTs","NFTs mutables","translated"
"assets.mutableNftsDescription","Commitment may be changed by the holder","El titular puede cambiar el compromiso","translated"
"assets.nfts","NFTs","NFTs","stable-term"
"assets.noFungibleTokens","No fungible CashTokens found.","No se encontraron CashTokens fungibles.","translated"
"assets.noNfts","No NFTs found.","No se encontraron NFT.","translated"
"assets.nonFungibleHoldings","Non-fungible holdings","Tenencias no fungibles","translated"
"assets.openVaults","Open vaults","Abrir bóvedas","translated"
"assets.plainNfts","Plain NFTs","NFTs simples","translated"
"assets.plainNftsDescription","Fixed commitment; cannot be changed or used to mint","Compromiso fijo; no se puede cambiar ni usar para crear tokens","translated"
"assets.primaryBalance","Primary wallet balance","Saldo principal de la billetera","translated"
"assets.quantumroot","Quantumroot","Quantumroot","stable-term"
"assets.quickInventory","Quick view of your wallet inventory","Vista rápida del inventario de tu billetera","translated"
"assets.tabBch","BCH","BCH","stable-term"
"assets.tabNfts","NFTs","NFTs","stable-term"
"assets.tabTokens","Tokens","Tokens","stable-term"
"assets.title","Assets","Activos","translated"
"assets.toggleBalance","Toggle BCH and USD balance","Cambiar entre saldo BCH y USD","translated"
"assets.units","units","unidades","translated"
"assets.usdPriceUnavailable","USD price unavailable","Precio en USD no disponible","translated"
"assets.usdUnavailable","USD unavailable","USD no disponible","translated"
"assets.vaultWorkspace","Vault workspace","Espacio de bóvedas","translated"
"bip37.addressesWithCoins","address(es) with coins","dirección(es) con monedas","translated"
"bip37.blocks","blocks","bloques","stable-term"
"bip37.fromNode","BCH from the node ✓","BCH del nodo ✓","translated"
"bip37.height","height","altura","translated"
"bip37.inUse","● in use","● en uso","translated"
"bip37.node","Node","Nodo","stable-term"
"bip37.notServes","Does not serve BIP37 ✗ (bloom filtering off)","No sirve BIP37 ✗ (filtrado Bloom desactivado)","translated"
"bip37.probe","Probe","Probar","translated"
"bip37.probing","Probing…","Comprobando…","translated"
"bip37.protocol","protocol","protocolo","translated"
"bip37.remove","Remove","Eliminar","translated"
"bip37.scanned","scanned","explorados","translated"
"bip37.serves","Serves BIP37 ✓","Sirve BIP37 ✓","translated"
"bip37.sync","Sync","Sincronizar","translated"
"bip37.syncing","Syncing…","Sincronizando…","translated"
"bip37.syncingDetails","Syncing headers + scanning blocks via the node…","Sincronizando encabezados y explorando bloques mediante el nodo…","translated"
"bip37.use","Use","Usar","translated"
"bip37.useBalanceTitle","Derive this wallet's balance directly from the node (trustless SPV)","Derivar directamente del nodo el saldo de esta billetera (SPV sin confianza)","translated"
"bip37.useNodeTitle","Use ONLY this node for wallet data (trustless; Electrum servers are not consulted)","Usar SOLO este nodo para los datos de la billetera (sin confianza; no se consultan servidores Electrum)","translated"
"bip37.verified","Verified trustlessly: every matched tx proven by its block's merkle proof.","Verificado sin confianza: cada transacción coincidente está demostrada por la prueba de Merkle de su bloque.","translated"
"bip37.watching","watching","observando","translated"
"builder.addFirstRecipient","Add your first recipient","Añade tu primer destinatario","translated"
"builder.addOpReturnOutput","Add OP_RETURN Output","Añadir salida OP_RETURN","translated"
"builder.addOutput","Add Output","Añadir salida","translated"
"builder.addRecipient","Add recipient","Añadir destinatario","translated"
"builder.addRecipients","Add recipients","Añade destinatarios","translated"
"builder.addRecipientsDescription","Add BCH recipients, token transfers, collectibles, or an optional message output.","Añade destinatarios de BCH, transferencias de tokens, coleccionables o un mensaje opcional.","translated"
"builder.address","Address","Dirección","translated"
"builder.amount","Amount","Importe","translated"
"builder.amountToSend","Amount to send","Importe a enviar","translated"
"builder.attachMessage","Attach message","Adjuntar mensaje","translated"
"builder.back","Back","Atrás","translated"
"builder.bchAddress","BCH address","Dirección BCH","translated"
"builder.bchAmountSats","BCH amount (sats)","Importe BCH (satoshis)","translated"
"builder.bchFunds","BCH funds","Fondos BCH","translated"
"builder.broadcastedSuccess","Your transaction was broadcast successfully!","¡Tu transacción se transmitió correctamente!","translated"
"builder.buildTransaction","Build Transaction","Crear transacción","translated"
"builder.buildTx","Build TX","Crear TX","translated"
"builder.capability","Capability","Capacidad","translated"
"builder.category","Category","Categoría","translated"
"builder.chooseSource","Choose a source","Elige un origen","translated"
"builder.chooseSourceDescription","Pick wallet addresses for normal sends, or contracts for script spends.","Elige direcciones de la billetera para envíos normales o contratos para scripts.","translated"
"builder.chooseSourceHelp","Choose source","Elegir origen","translated"
"builder.close","Close","Cerrar","translated"
"builder.collectibleAmount","Collectible amount","Importe del coleccionable","translated"
"builder.commitment","Commitment","Compromiso","translated"
"builder.configureCollectible","Configure collectible","Configurar coleccionable","translated"
"builder.confirmAndSend","Confirm and Send Transaction","Confirmar y enviar transacción","translated"
"builder.confirmTransaction","Confirm Transaction","Confirmar transacción","translated"
"builder.contract","Contract","Contrato","translated"
"builder.contractAddress","Contract address","Dirección del contrato","translated"
"builder.contractAssets","Contract assets","Activos del contrato","translated"
"builder.contractFunction","Contract Function","Función del contrato","translated"
"builder.contractFunds","Contract funds","Fondos del contrato","translated"
"builder.contracts","Contracts","Contratos","translated"
"builder.contractSourceCount","{count} contract source(s)","{count} origen(es) de contrato","translated"
"builder.contractSourcePlural","{count} contract sources","{count} orígenes de contrato","translated"
"builder.contractSources","Contract sources","Orígenes de contratos","translated"
"builder.contractSourceSingular","{count} contract source","{count} origen de contrato","translated"
"builder.copyToClipboard","Copy to clipboard","Copiar al portapapeles","translated"
"builder.createCollectible","Create collectible","Crear coleccionable","translated"
"builder.createToken","Create token","Crear token","translated"
"builder.customSend","Custom Send","Envío personalizado","translated"
"builder.decodeFailed","Unable to decode transaction. Showing raw hex:","No se pudo decodificar la transacción. Se muestra el hexadecimal sin procesar:","translated"
"builder.dragToConfirm","Drag to Confirm","Arrastra para confirmar","translated"
"builder.enterTokenAmount","Enter amount (max {amount})","Introduce el importe (máximo {amount})","translated"
"builder.estimatedNetworkFee","Estimated network fee","Comisión de red estimada","translated"
"builder.feeReserve","Leaving a {count} sat fee reserve.","Se reservan {count} satoshis para la comisión.","translated"
"builder.flow","Flow","Flujo","translated"
"builder.flowDescription","Pick a source, choose funds, add recipients, then preview the final transaction before sending.","Elige un origen, selecciona fondos, añade destinatarios y revisa la transacción final antes de enviarla.","translated"
"builder.fundsSelected","Funds selected","Fondos seleccionados","translated"
"builder.fungibleAmount","Fungible Amount","Importe fungible","translated"
"builder.fungibleTokens","Fungible Tokens","Tokens fungibles","translated"
"builder.genesisCollectible","Genesis input for this collectible","Entrada génesis de este coleccionable","translated"
"builder.genesisInput","Genesis input for this token","Entrada génesis de este token","translated"
"builder.help","Help","Ayuda","translated"
"builder.howWorks","How this works","Cómo funciona","translated"
"builder.inputs","Inputs","Entradas","translated"
"builder.leftoverBchPlaceholder","Wallet address for leftover BCH","Dirección de billetera para el BCH sobrante","translated"
"builder.max","Max","Máximo","translated"
"builder.maxSpendable","Set to maximum spendable (leaves 2000 sats for fees)","Usar el máximo disponible (deja 2000 satoshis para comisiones)","translated"
"builder.missingUnlocker","Missing unlocker!","¡Falta el desbloqueador!","translated"
"builder.next","Next","Siguiente","translated"
"builder.nftCapability","NFT Capability","Capacidad del NFT","translated"
"builder.nftCommitment","NFT Commitment","Compromiso del NFT","translated"
"builder.noContractAddresses","No contract addresses available.","No hay direcciones de contratos disponibles.","translated"
"builder.noFundsSelected","No funds selected yet.","Aún no se han seleccionado fondos.","translated"
"builder.none","None","Ninguno","translated"
"builder.nonFungibleTokens","Non-Fungible Tokens","Tokens no fungibles","translated"
"builder.noOutputs","No outputs added yet.","Aún no se han añadido salidas.","translated"
"builder.noQrCode","No QR code detected. Please try again.","No se detectó ningún código QR. Inténtalo de nuevo.","translated"
"builder.noSpendableBalance","No spendable balance after fee reserve","No hay saldo disponible después de reservar la comisión","translated"
"builder.noUtxosSelected","No UTXOs selected.","No se han seleccionado UTXO.","translated"
"builder.noWalletAddresses","No wallet addresses available.","No hay direcciones de billetera disponibles.","translated"
"builder.opReturnData","OP_RETURN Data","Datos OP_RETURN","translated"
"builder.opReturnEmpty","OP_RETURN data cannot be empty.","Los datos OP_RETURN no pueden estar vacíos.","translated"
"builder.opReturnOutput","OP_RETURN Output","Salida OP_RETURN","translated"
"builder.opReturnPlaceholder","Enter space-separated ASCII words","Introduce palabras ASCII separadas por espacios","translated"
"builder.outputs","Outputs","Salidas","translated"
"builder.paperWallet","Paper Wallet","Billetera de papel","translated"
"builder.paperWalletUtxos","Paper Wallet UTXOs","UTXO de la billetera de papel","translated"
"builder.pickFunds","Pick funds","Selecciona fondos","translated"
"builder.pickFundsDescription","Select the BCH, tokens, or collectibles that will fund this transaction.","Selecciona el BCH, los tokens o los coleccionables que financiarán esta transacción.","translated"
"builder.rawTransactionDetails","Raw Transaction Details","Detalles de la transacción sin procesar","translated"
"builder.ready","Ready","Listo","translated"
"builder.recipient","{count} recipient","{count} destinatario","translated"
"builder.recipientAddress","Recipient Address","Dirección del destinatario","translated"
"builder.recipientCount","{count} recipients","{count} destinatarios","translated"
"builder.recipients","Recipients","Destinatarios","translated"
"builder.recipientsAdded","Recipients added","Destinatarios añadidos","translated"
"builder.remove","Remove","Eliminar","translated"
"builder.removeAllRecipients","Remove all recipients","Eliminar todos los destinatarios","translated"
"builder.returnLeftover","Return leftover funds to","Devolver fondos sobrantes a","translated"
"builder.reviewAndSend","Review and send","Revisa y envía","translated"
"builder.reviewAndSendDescription","Preview first, then send only when the summary looks right.","Revisa primero y envía solo cuando el resumen sea correcto.","translated"
"builder.reviewFunds","Review funds","Revisar fondos","translated"
"builder.reviewRecipients","Review recipients","Revisar destinatarios","translated"
"builder.scanQrCode","Scan QR Code","Escanear código QR","translated"
"builder.selectedFunds","Selected funds","Fondos seleccionados","translated"
"builder.selectedItem","{count} selected item","{count} elemento seleccionado","translated"
"builder.selectedItems","{count} selected items","{count} elementos seleccionados","translated"
"builder.selectGenesisInput","Select genesis input","Selecciona la entrada génesis","translated"
"builder.selectSource","Select a source to continue.","Selecciona un origen para continuar.","translated"
"builder.sendBch","Send BCH","Enviar BCH","translated"
"builder.sendTx","Send TX","Enviar TX","translated"
"builder.sendWarning","You are about to send a transaction. Please confirm that all details are correct. This action cannot be undone.","Estás a punto de enviar una transacción. Confirma que todos los detalles sean correctos. Esta acción no se puede deshacer.","translated"
"builder.sourcesChosen","Sources chosen","Orígenes elegidos","translated"
"builder.step","Step {number}","Paso {number}","translated"
"builder.token","Token","Token","needs-review"
"builder.tokenAddress","Token address","Dirección de token","translated"
"builder.tokenAmount","Token Amount","Importe del token","translated"
"builder.tokenCategory","Token Category","Categoría del token","translated"
"builder.tokenCategoryLabel","Token Category","Categoría del token","translated"
"builder.tokensCollectibles","Tokens & collectibles","Tokens y coleccionables","translated"
"builder.transactionError","Transaction Error","Error de transacción","translated"
"builder.transactionSubmitted","Transaction Submitted","Transacción enviada","translated"
"builder.transactionSubmittedDescription","Your transaction has been submitted. Use this txid as the reference and avoid sending it again.","Tu transacción se ha enviado. Usa este txid como referencia y evita volver a enviarla.","translated"
"builder.transactionSuccessful","Transaction Successful","Transacción completada","translated"
"builder.transferMinimum","Transfer amount must be at least {count}.","El importe debe ser de al menos {count}.","translated"
"builder.tryAgain","Try Again","Intentar de nuevo","translated"
"builder.txHash","Tx Hash","Hash de transacción","translated"
"builder.txId","TX ID","ID de TX","translated"
"builder.viewExplorer","View on Explorer","Ver en el explorador","translated"
"builder.wallet","Wallet","Billetera","translated"
"builder.walletAssets","Wallet assets","Activos de la billetera","translated"
"builder.walletFunds","Wallet funds","Fondos de la billetera","translated"
"builder.walletSourceCount","{count} wallet source(s)","{count} origen(es) de la billetera","translated"
"builder.walletSourcePlural","{count} wallet sources","{count} orígenes de la billetera","translated"
"builder.walletSources","Wallet sources","Orígenes de la billetera","translated"
"builder.walletSourceSingular","{count} wallet source","{count} origen de la billetera","translated"
"builder.warning","⚠️ Warning","⚠️ Advertencia","translated"
"camera.cancel","Cancel","Cancelar","translated"
"camera.scan","Scan QR with camera","Escanear QR con la cámara","translated"
"camera.unavailable","Camera unavailable: {error}. Use Upload instead.","Cámara no disponible: {error}. Usa Cargar en su lugar.","translated"
"cauldron.active","active","activas","translated"
"cauldron.description","Detected from the active wallet receive/change/DeFi address set through the Cauldron indexer.","Detectado a partir del conjunto activo de direcciones de recepción, cambio y DeFi mediante el indexador de Cauldron.","translated"
"cauldron.positions","Cauldron positions","Posiciones de Cauldron","translated"
"cauldron.tokenCategories","token categories","categorías de tokens","translated"
"chat.back","Back to conversations","Volver a conversaciones","translated"
"chat.choosePhoto","Choose photo","Elegir foto","translated"
"chat.copyNpub","Copy npub","Copiar npub","translated"
"chat.displayName","Display name","Nombre para mostrar","translated"
"chat.emptyDescription","Pick a conversation, or tap + to message someone by their npub. Messages are end-to-end encrypted over Nostr.","Elige una conversación o pulsa + para escribir a alguien mediante su npub. Los mensajes están cifrados de extremo a extremo en Nostr.","translated"
"chat.encrypted","End-to-end encrypted","Cifrado de extremo a extremo","translated"
"chat.messagePlaceholder","Message…","Mensaje…","stable-term"
"chat.newChat","New chat","Nuevo chat","translated"
"chat.newConversation","New conversation","Nueva conversación","translated"
"chat.noConversations","No conversations yet. Tap + to start one.","Aún no hay conversaciones. Pulsa + para iniciar una.","translated"
"chat.noMessages","No messages yet. Say hi — messages are end-to-end encrypted.","Aún no hay mensajes. Saluda: los mensajes están cifrados de extremo a extremo.","translated"
"chat.open","Open","Abrir","translated"
"chat.privateConversations","Your private conversations","Tus conversaciones privadas","translated"
"chat.privateMessaging","Private Nostr messaging","Mensajería privada de Nostr","translated"
"chat.profile","Profile","Perfil","translated"
"chat.profilePublished","Profile published ✓","Perfil publicado ✓","translated"
"chat.publishProfile","Publish profile","Publicar perfil","translated"
"chat.recipient","Recipient npub…","npub del destinatario…","translated"
"chat.searchConversations","Search conversations","Buscar conversaciones","translated"
"chat.send","Send","Enviar","translated"
"chat.setup","Nostr setup","Configurar Nostr","translated"
"chat.title","Chat","Chat","needs-review"
"chat.youPrefix","You: ","Tú: ","translated"
"chat.yourNpub","Your npub","Tu npub","translated"
"confirm.action","Confirm action","Confirmar acción","translated"
"confirm.cancel","Cancel","Cancelar","translated"
"confirm.ok","OK","Aceptar","stable-term"
"console.appLog","App Log","Registro de la aplicación","translated"
"console.clear","Clear","Borrar","translated"
"console.noEntries","No log entries yet.","Aún no hay entradas de registro.","translated"
"console.placeholder","method [params…]","método [parámetros…]","stable-term"
"console.rpc","Electrum RPC","RPC de Electrum","stable-term"
"console.send","Send","Enviar","translated"
"console.sending","…","…","stable-term"
"console.typeHint","Type: method param1 param2 — e.g. server.version or blockchain.headers.subscribe","Escribe: método parámetro1 parámetro2 — p. ej., server.version o blockchain.headers.subscribe","translated"
"contract.arbiter","Arbiter: A trusted party who authorizes release of funds.","Árbitro: persona de confianza que autoriza la liberación de fondos.","translated"
"contract.available","Available Contracts","Contratos disponibles","translated"
"contract.bip38","BIP38 (Password-Protected Private Keys)","BIP38 (claves privadas protegidas por contraseña)","translated"
"contract.bip38Desc","The BIP38 contract secures private keys with a password. Its UTXOs require both the correct password and a valid signature.","El contrato BIP38 protege las claves privadas con una contraseña. Sus UTXO requieren la contraseña correcta y una firma válida.","translated"
