"key","English (en)","Japanese (ja)","Status"
"apps.capability.walletAddressesRead","Read wallet addresses","ウォレットアドレスを読む","translated"
"apps.capability.walletContextRead","Read wallet context","ウォレットコンテキストを読む","translated"
"apps.capability.walletUtxosRead","Read wallet UTXOs","ウォレット UTXO を読む","translated"
"apps.capabilityRequested","{name} requested: {capability}.","{name} が要求：{capability}。","translated"
"apps.cashFusionDescription","Private CoinJoin — server or P2P over Nostr + Tor","プライベート CoinJoin — Nostr + Tor によるサーバーまたは P2P","translated"
"apps.chatDescription","Private end-to-end encrypted Nostr messaging","エンドツーエンド暗号化された Nostr プライベートメッセージ","translated"
"apps.comingSoon","Coming soon","近日公開","translated"
"apps.contractsDescription","Browse artifacts and manage deployed instances","アーティファクトを参照し、デプロイ済みインスタンスを管理","translated"
"apps.deny","Deny","拒否","translated"
"apps.empty","No apps in this category.","このカテゴリにアプリはありません。","translated"
"apps.expectedScreen","Expected config.screen (or app.id) to map to a built-in app implementation.","config.screen（または app.id）は組み込みアプリ実装に対応している必要があります。","translated"
"apps.failedToLoad","Failed to load app","アプリの読み込みに失敗しました","translated"
"apps.goToLanding","Go to Landing","ランディングへ","translated"
"apps.loadFailed","Failed to load addon apps","アドオンアプリの読み込みに失敗しました","translated"
"apps.loadingAddon","Loading addon…","アドオンを読み込み中…","translated"
"apps.loadingApp","Loading app…","アプリを読み込み中…","translated"
"apps.noWallet","No wallet selected","ウォレットが選択されていません","translated"
"apps.permissionDenied","Permission denied. App launch was blocked.","権限が拒否されました。アプリの起動をブロックしました。","translated"
"apps.quantumrootDescription","Receive and recovery tools for advanced vaults","高度な保管庫の受取と復元ツール","translated"
"apps.resolvedScreenId","Resolved screen ID","解決された画面 ID","translated"
"apps.subtitle","Extend your wallet with tools","ツールでウォレットを拡張","translated"
"apps.title","Apps","アプリ","translated"
"apps.token","Token","トークン","stable-term"
"apps.unsupportedAppKind","Unsupported app kind:","サポートされないアプリ種別：","translated"
"apps.unsupportedDeclarativeApp","Unsupported declarative app:","サポートされない宣言型アプリ：","translated"
"apps.utils","Utils","ユーティリティ","translated"
"apps.waitingPermission","Waiting for app permission","アプリの権限を待っています","translated"
"apps.wallet","Wallet","ウォレット","stable-term"
"assets.advancedVaultDescription","Receive and recovery tools for advanced vaults","高度な保管庫の受取・復元ツール","translated"
"assets.advancedVaultWorkspace","Advanced vault workspace","高度な保管庫ワークスペース","translated"
"assets.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"assets.cashTokenHoldings","CashToken holdings","CashTokens の保有量","translated"
"assets.cashTokens","CashTokens","CashTokens","stable-term"
"assets.categories","categories","カテゴリー","translated"
"assets.chipnet","Chipnet","Chipnet","stable-term"
"assets.fungible","fungible","代替可能","translated"
"assets.fungibleHoldings","Fungible token holdings","代替可能トークンの保有量","translated"
"assets.mintingNfts","Minting NFTs","発行用 NFT","translated"
"assets.mintingNftsDescription","Authority to mint additional NFTs in this category","このカテゴリーで追加の NFT を発行する権限","translated"
"assets.mintTokens","Mint Tokens","トークンを発行","translated"
"assets.mutableNfts","Mutable NFTs","変更可能な NFT","translated"
"assets.mutableNftsDescription","Commitment may be changed by the holder","保有者がコミットメントを変更できます","translated"
"assets.nfts","NFTs","NFT","stable-term"
"assets.noFungibleTokens","No fungible CashTokens found.","代替可能な CashToken はありません。","translated"
"assets.noNfts","No NFTs found.","NFT はありません。","translated"
"assets.nonFungibleHoldings","Non-fungible holdings","代替不可能資産の保有量","translated"
"assets.openVaults","Open vaults","保管庫を開く","translated"
"assets.plainNfts","Plain NFTs","通常の NFT","translated"
"assets.plainNftsDescription","Fixed commitment; cannot be changed or used to mint","固定コミットメント。変更や発行への利用はできません","translated"
"assets.primaryBalance","Primary wallet balance","ウォレットのメイン残高","translated"
"assets.quantumroot","Quantumroot","Quantumroot","stable-term"
"assets.quickInventory","Quick view of your wallet inventory","ウォレット資産のクイック表示","translated"
"assets.tabBch","BCH","BCH","stable-term"
"assets.tabNfts","NFTs","NFT","stable-term"
"assets.tabTokens","Tokens","トークン","stable-term"
"assets.title","Assets","資産","translated"
"assets.toggleBalance","Toggle BCH and USD balance","BCH と USD の残高を切り替え","translated"
"assets.units","units","単位","translated"
"assets.usdPriceUnavailable","USD price unavailable","USD 価格を取得できません","translated"
"assets.usdUnavailable","USD unavailable","USD は利用できません","translated"
"assets.vaultWorkspace","Vault workspace","保管庫ワークスペース","translated"
"bip37.addressesWithCoins","address(es) with coins","残高のあるアドレス","translated"
"bip37.blocks","blocks","ブロック","stable-term"
"bip37.fromNode","BCH from the node ✓","ノードからの BCH ✓","translated"
"bip37.height","height","高さ","translated"
"bip37.inUse","● in use","● 使用中","translated"
"bip37.node","Node","ノード","stable-term"
"bip37.notServes","Does not serve BIP37 ✗ (bloom filtering off)","BIP37 を提供しません ✗（ブルームフィルター無効）","translated"
"bip37.probe","Probe","確認","translated"
"bip37.probing","Probing…","確認中…","translated"
"bip37.protocol","protocol","プロトコル","translated"
"bip37.remove","Remove","削除","translated"
"bip37.scanned","scanned","スキャン済み","translated"
"bip37.serves","Serves BIP37 ✓","BIP37 を提供 ✓","translated"
"bip37.sync","Sync","同期","translated"
"bip37.syncing","Syncing…","同期中…","translated"
"bip37.syncingDetails","Syncing headers + scanning blocks via the node…","ノード経由でヘッダーを同期し、ブロックをスキャン中…","translated"
"bip37.use","Use","使用","translated"
"bip37.useBalanceTitle","Derive this wallet's balance directly from the node (trustless SPV)","このノードからウォレット残高を直接導出（トラストレス SPV）","translated"
"bip37.useNodeTitle","Use ONLY this node for wallet data (trustless; Electrum servers are not consulted)","ウォレットデータにはこのノードだけを使用（トラストレス。Electrum サーバーは使用しません）","translated"
"bip37.verified","Verified trustlessly: every matched tx proven by its block's merkle proof.","トラストレスで確認済み。一致したすべての取引がブロックのマークル証明で検証されています。","translated"
"bip37.watching","watching","監視中","translated"
"builder.addFirstRecipient","Add your first recipient","最初の受取人を追加","translated"
"builder.addOpReturnOutput","Add OP_RETURN Output","Add OP_RETURN Output","needs-review"
"builder.addOutput","Add Output","出力を追加","translated"
"builder.addRecipient","Add recipient","受取人を追加","translated"
"builder.addRecipients","Add recipients","受取人を追加","translated"
"builder.addRecipientsDescription","Add BCH recipients, token transfers, collectibles, or an optional message output.","BCH の受取人、トークン転送、コレクティブル、または任意のメッセージ出力を追加します。","translated"
"builder.address","Address","Address","needs-review"
"builder.amount","Amount","Amount","needs-review"
"builder.amountToSend","Amount to send","送信金額","translated"
"builder.attachMessage","Attach message","メッセージを添付","translated"
"builder.back","Back","戻る","translated"
"builder.bchAddress","BCH address","BCH アドレス","translated"
"builder.bchAmountSats","BCH amount (sats)","BCH amount (sats)","needs-review"
"builder.bchFunds","BCH funds","BCH funds","needs-review"
"builder.broadcastedSuccess","Your transaction was broadcast successfully!","取引を正常にブロードキャストしました！","translated"
"builder.buildTransaction","Build Transaction","取引を作成","translated"
"builder.buildTx","Build TX","Build TX","needs-review"
"builder.capability","Capability","Capability","needs-review"
"builder.category","Category","Category","needs-review"
"builder.chooseSource","Choose a source","送信元を選択","translated"
"builder.chooseSourceDescription","Pick wallet addresses for normal sends, or contracts for script spends.","通常の送信にはウォレットアドレスを、スクリプト支出にはコントラクトを選択します。","translated"
"builder.chooseSourceHelp","Choose source","送信元を選択","translated"
"builder.close","Close","閉じる","translated"
"builder.collectibleAmount","Collectible amount","Collectible amount","needs-review"
"builder.commitment","Commitment","Commitment","needs-review"
"builder.configureCollectible","Configure collectible","Configure collectible","needs-review"
"builder.confirmAndSend","Confirm and Send Transaction","取引を確認して送信","translated"
"builder.confirmTransaction","Confirm Transaction","取引を確認","translated"
"builder.contract","Contract","Contract","needs-review"
"builder.contractAddress","Contract address","コントラクトアドレス","translated"
"builder.contractAssets","Contract assets","Contract assets","needs-review"
"builder.contractFunction","Contract Function","Contract Function","needs-review"
"builder.contractFunds","Contract funds","Contract funds","needs-review"
"builder.contracts","Contracts","コントラクト","translated"
"builder.contractSourceCount","{count} contract source(s)","{count} contract source(s)","needs-review"
"builder.contractSourcePlural","{count} contract sources","{count} contract sources","needs-review"
"builder.contractSources","Contract sources","コントラクトの送信元","translated"
"builder.contractSourceSingular","{count} contract source","{count} contract source","needs-review"
"builder.copyToClipboard","Copy to clipboard","クリップボードにコピー","translated"
"builder.createCollectible","Create collectible","コレクティブルを作成","translated"
"builder.createToken","Create token","トークンを作成","translated"
"builder.customSend","Custom Send","カスタム送信","translated"
"builder.decodeFailed","Unable to decode transaction. Showing raw hex:","取引をデコードできません。生の 16 進数を表示します：","translated"
"builder.dragToConfirm","Drag to Confirm","ドラッグして確認","translated"
"builder.enterTokenAmount","Enter amount (max {amount})","Enter amount (max {amount})","needs-review"
"builder.estimatedNetworkFee","Estimated network fee","推定ネットワーク手数料","translated"
"builder.feeReserve","Leaving a {count} sat fee reserve.","{count} sat の手数料を確保します。","translated"
"builder.flow","Flow","フロー","translated"
"builder.flowDescription","Pick a source, choose funds, add recipients, then preview the final transaction before sending.","送信元を選び、資金を選択し、受取人を追加してから、送信前に最終取引をプレビューします。","translated"
"builder.fundsSelected","Funds selected","資金を選択済み","translated"
"builder.fungibleAmount","Fungible Amount","Fungible Amount","needs-review"
"builder.fungibleTokens","Fungible Tokens","Fungible Tokens","needs-review"
"builder.genesisCollectible","Genesis input for this collectible","Genesis input for this collectible","needs-review"
"builder.genesisInput","Genesis input for this token","Genesis input for this token","needs-review"
"builder.help","Help","ヘルプ","translated"
"builder.howWorks","How this works","仕組み","translated"
"builder.inputs","Inputs","Inputs","needs-review"
"builder.leftoverBchPlaceholder","Wallet address for leftover BCH","残りの BCH を受け取るウォレットアドレス","translated"
"builder.max","Max","最大","translated"
"builder.maxSpendable","Set to maximum spendable (leaves 2000 sats for fees)","利用可能な最大額に設定（手数料として 2000 sats を残します）","translated"
"builder.missingUnlocker","Missing unlocker!","Unlocker がありません！","translated"
"builder.next","Next","次へ","translated"
"builder.nftCapability","NFT Capability","NFT Capability","needs-review"
"builder.nftCommitment","NFT Commitment","NFT Commitment","needs-review"
"builder.noContractAddresses","No contract addresses available.","利用可能なコントラクトアドレスがありません。","translated"
"builder.noFundsSelected","No funds selected yet.","資金はまだ選択されていません。","translated"
"builder.none","None","None","needs-review"
"builder.nonFungibleTokens","Non-Fungible Tokens","Non-Fungible Tokens","needs-review"
"builder.noOutputs","No outputs added yet.","出力はまだ追加されていません。","translated"
"builder.noQrCode","No QR code detected. Please try again.","No QR code detected. Please try again.","needs-review"
"builder.noSpendableBalance","No spendable balance after fee reserve","手数料を確保すると利用可能な残高がありません","translated"
"builder.noUtxosSelected","No UTXOs selected.","UTXO は選択されていません。","translated"
"builder.noWalletAddresses","No wallet addresses available.","利用可能なウォレットアドレスがありません。","translated"
"builder.opReturnData","OP_RETURN Data","OP_RETURN Data","needs-review"
"builder.opReturnEmpty","OP_RETURN data cannot be empty.","OP_RETURN data cannot be empty.","needs-review"
"builder.opReturnOutput","OP_RETURN Output","OP_RETURN Output","needs-review"
"builder.opReturnPlaceholder","Enter space-separated ASCII words","Enter space-separated ASCII words","needs-review"
"builder.outputs","Outputs","Outputs","needs-review"
"builder.paperWallet","Paper Wallet","Paper Wallet","needs-review"
"builder.paperWalletUtxos","Paper Wallet UTXOs","Paper Wallet UTXOs","needs-review"
"builder.pickFunds","Pick funds","資金を選択","translated"
"builder.pickFundsDescription","Select the BCH, tokens, or collectibles that will fund this transaction.","この取引に使う BCH、トークン、コレクティブルを選択します。","translated"
"builder.rawTransactionDetails","Raw Transaction Details","生の取引詳細","translated"
"builder.ready","Ready","準備完了","translated"
"builder.recipient","{count} recipient","{count} recipient","needs-review"
"builder.recipientAddress","Recipient Address","受取人アドレス","translated"
"builder.recipientCount","{count} recipients","{count} recipients","needs-review"
"builder.recipients","Recipients","受取人","translated"
"builder.recipientsAdded","Recipients added","受取人を追加済み","translated"
"builder.remove","Remove","削除","translated"
"builder.removeAllRecipients","Remove all recipients","すべての受取人を削除","translated"
"builder.returnLeftover","Return leftover funds to","残りの資金の返金先","translated"
"builder.reviewAndSend","Review and send","確認して送信","translated"
"builder.reviewAndSendDescription","Preview first, then send only when the summary looks right.","まずプレビューし、概要が正しい場合だけ送信してください。","translated"
"builder.reviewFunds","Review funds","資金を確認","translated"
"builder.reviewRecipients","Review recipients","受取人を確認","translated"
"builder.scanQrCode","Scan QR Code","QR コードをスキャン","translated"
"builder.selectedFunds","Selected funds","選択した資金","translated"
"builder.selectedItem","{count} selected item","{count} selected item","needs-review"
"builder.selectedItems","{count} selected items","{count} selected items","needs-review"
"builder.selectGenesisInput","Select genesis input","Select genesis input","needs-review"
"builder.selectSource","Select a source to continue.","続行するには送信元を選択してください。","translated"
"builder.sendBch","Send BCH","BCH を送信","translated"
"builder.sendTx","Send TX","Send TX","needs-review"
"builder.sendWarning","You are about to send a transaction. Please confirm that all details are correct. This action cannot be undone.","取引を送信しようとしています。すべての詳細が正しいことを確認してください。この操作は元に戻せません。","translated"
"builder.sourcesChosen","Sources chosen","送信元を選択済み","translated"
"builder.step","Step {number}","ステップ {number}","translated"
"builder.token","Token","Token","needs-review"
"builder.tokenAddress","Token address","トークンアドレス","translated"
"builder.tokenAmount","Token Amount","Token Amount","needs-review"
"builder.tokenCategory","Token Category","Token Category","needs-review"
"builder.tokenCategoryLabel","Token Category","Token Category","needs-review"
"builder.tokensCollectibles","Tokens & collectibles","Tokens & collectibles","needs-review"
"builder.transactionError","Transaction Error","取引エラー","translated"
"builder.transactionSubmitted","Transaction Submitted","取引を送信済み","translated"
"builder.transactionSubmittedDescription","Your transaction has been submitted. Use this txid as the reference and avoid sending it again.","取引を送信しました。この txid を参照として保管し、再送信しないでください。","translated"
"builder.transactionSuccessful","Transaction Successful","取引に成功","translated"
"builder.transferMinimum","Transfer amount must be at least {count}.","Transfer amount must be at least {count}.","needs-review"
"builder.tryAgain","Try Again","再試行","translated"
"builder.txHash","Tx Hash","Tx Hash","needs-review"
"builder.txId","TX ID","TX ID","needs-review"
"builder.viewExplorer","View on Explorer","エクスプローラーで表示","translated"
"builder.wallet","Wallet","Wallet","needs-review"
"builder.walletAssets","Wallet assets","Wallet assets","needs-review"
"builder.walletFunds","Wallet funds","ウォレットの資金","translated"
"builder.walletSourceCount","{count} wallet source(s)","{count} wallet source(s)","needs-review"
"builder.walletSourcePlural","{count} wallet sources","{count} wallet sources","needs-review"
"builder.walletSources","Wallet sources","ウォレットの送信元","translated"
"builder.walletSourceSingular","{count} wallet source","{count} wallet source","needs-review"
"builder.warning","⚠️ Warning","⚠️ 警告","translated"
"camera.cancel","Cancel","キャンセル","translated"
"camera.scan","Scan QR with camera","カメラで QR をスキャン","translated"
"camera.unavailable","Camera unavailable: {error}. Use Upload instead.","カメラを利用できません: {error}。アップロードを使用してください。","translated"
"cauldron.active","active","有効","translated"
"cauldron.description","Detected from the active wallet receive/change/DeFi address set through the Cauldron indexer.","Cauldron インデクサーが、ウォレットで有効な受取・おつり・DeFi アドレスから検出しました。","translated"
"cauldron.positions","Cauldron positions","Cauldron ポジション","translated"
"cauldron.tokenCategories","token categories","トークンカテゴリー","translated"
"chat.back","Back to conversations","会話に戻る","translated"
"chat.choosePhoto","Choose photo","写真を選択","translated"
"chat.copyNpub","Copy npub","npub をコピー","translated"
"chat.displayName","Display name","表示名","translated"
"chat.emptyDescription","Pick a conversation, or tap + to message someone by their npub. Messages are end-to-end encrypted over Nostr.","会話を選ぶか、+ をタップして npub で誰かにメッセージを送ります。メッセージは Nostr 上でエンドツーエンド暗号化されます。","translated"
"chat.encrypted","End-to-end encrypted","エンドツーエンド暗号化","translated"
"chat.messagePlaceholder","Message…","メッセージ…","stable-term"
"chat.newChat","New chat","新しいチャット","translated"
"chat.newConversation","New conversation","新しい会話","translated"
"chat.noConversations","No conversations yet. Tap + to start one.","会話はまだありません。+ をタップして開始します。","translated"
"chat.noMessages","No messages yet. Say hi — messages are end-to-end encrypted.","メッセージはまだありません。挨拶してみましょう。メッセージはエンドツーエンドで暗号化されます。","translated"
"chat.open","Open","開く","translated"
"chat.privateConversations","Your private conversations","自分のプライベート会話","translated"
"chat.privateMessaging","Private Nostr messaging","Nostr プライベートメッセージ","translated"
"chat.profile","Profile","プロフィール","translated"
"chat.profilePublished","Profile published ✓","プロフィールを公開しました ✓","translated"
"chat.publishProfile","Publish profile","プロフィールを公開","translated"
"chat.recipient","Recipient npub…","受取人の npub…","translated"
"chat.searchConversations","Search conversations","会話を検索","translated"
"chat.send","Send","送信","translated"
"chat.setup","Nostr setup","Nostr 設定","translated"
"chat.title","Chat","チャット","translated"
"chat.youPrefix","You: ","自分：","translated"
"chat.yourNpub","Your npub","自分の npub","translated"
"confirm.action","Confirm action","操作を確認","translated"
"confirm.cancel","Cancel","キャンセル","translated"
"confirm.ok","OK","OK","stable-term"
"console.appLog","App Log","アプリログ","translated"
"console.clear","Clear","クリア","translated"
"console.noEntries","No log entries yet.","ログ項目はまだありません。","translated"
"console.placeholder","method [params…]","method [params…]","stable-term"
"console.rpc","Electrum RPC","Electrum RPC","stable-term"
"console.send","Send","送信","translated"
"console.sending","…","…","stable-term"
"console.typeHint","Type: method param1 param2 — e.g. server.version or blockchain.headers.subscribe","入力：メソッド パラメーター1 パラメーター2 — 例：server.version または blockchain.headers.subscribe","translated"
"contract.arbiter","Arbiter: A trusted party who authorizes release of funds.","仲裁者：資金の解放を承認する信頼できる当事者。","translated"
"contract.available","Available Contracts","利用可能なコントラクト","translated"
"contract.bip38","BIP38 (Password-Protected Private Keys)","BIP38（パスワードで保護された秘密鍵）","translated"
"contract.bip38Desc","The BIP38 contract secures private keys with a password. Its UTXOs require both the correct password and a valid signature.","BIP38 コントラクトはパスワードで秘密鍵を保護します。UTXO の使用には正しいパスワードと有効な署名が必要です。","translated"
"contract.bip38Spending","Spending Requirements: Provide a valid owner signature and a data signature verifying the password.","使用条件：有効な所有者署名と、パスワードを検証するデータ署名を提供します。","translated"
"contract.bip38UseCase","Use Case: Ideal for protecting private keys against theft or unauthorized access, especially for long-term storage.","用途：特に長期保管で、秘密鍵を盗難や不正アクセスから守るのに適しています。","translated"
"contract.enhancedTrust","Enhanced Trust: Useful for transactions requiring multiple trusted parties.","信頼性の向上：複数の信頼できる当事者が必要な取引に便利です。","translated"
"contract.escrow","Escrow","Escrow","stable-term"
"contract.escrowDesc","The Escrow contract supports secure transactions between a buyer and seller with a trusted arbiter. Funds are released only with the arbiter’s approval.","Escrow コントラクトは、信頼できる仲裁者を介して買い手と売り手の安全な取引を支援します。資金は仲裁者の承認がある場合のみ解放されます。","translated"
"contract.escrowMS2","EscrowMS2 (Multi-Party Escrow)","EscrowMS2（マルチパーティーエスクロー）","stable-term"
