"key","English (en)","Status"
"builder.tokenCategoryLabel","Token Category","translated"
"builder.tokensCollectibles","Tokens & collectibles","translated"
"builder.transactionError","Transaction Error","translated"
"builder.transactionSubmitted","Transaction Submitted","translated"
"builder.transactionSubmittedDescription","Your transaction has been submitted. Use this txid as the reference and avoid sending it again.","translated"
"builder.transactionSuccessful","Transaction Successful","translated"
"builder.transferMinimum","Transfer amount must be at least {count}.","translated"
"builder.tryAgain","Try Again","translated"
"builder.txHash","Tx Hash","translated"
"builder.txId","TX ID","translated"
"builder.viewExplorer","View on Explorer","translated"
"builder.wallet","Wallet","translated"
"builder.walletAssets","Wallet assets","translated"
"builder.walletFunds","Wallet funds","translated"
"builder.walletSourceCount","{count} wallet source(s)","translated"
"builder.walletSourcePlural","{count} wallet sources","translated"
"builder.walletSources","Wallet sources","translated"
"builder.walletSourceSingular","{count} wallet source","translated"
"builder.warning","⚠️ Warning","translated"
"camera.cancel","Cancel","translated"
"camera.scan","Scan QR with camera","translated"
"camera.unavailable","Camera unavailable: {error}. Use Upload instead.","translated"
"cauldron.active","active","translated"
"cauldron.description","Detected from the active wallet receive/change/DeFi address set through the Cauldron indexer.","translated"
"cauldron.positions","Cauldron positions","translated"
"cauldron.tokenCategories","token categories","translated"
"chat.back","Back to conversations","translated"
"chat.choosePhoto","Choose photo","translated"
"chat.copyNpub","Copy npub","translated"
"chat.displayName","Display name","translated"
"chat.emptyDescription","Pick a conversation, or tap + to message someone by their npub. Messages are end-to-end encrypted over Nostr.","translated"
"chat.encrypted","End-to-end encrypted","translated"
"chat.messagePlaceholder","Message…","stable-term"
"chat.newChat","New chat","translated"
"chat.newConversation","New conversation","translated"
"chat.noConversations","No conversations yet. Tap + to start one.","translated"
"chat.noMessages","No messages yet. Say hi — messages are end-to-end encrypted.","translated"
"chat.open","Open","translated"
"chat.privateConversations","Your private conversations","translated"
"chat.privateMessaging","Private Nostr messaging","translated"
"chat.profile","Profile","translated"
"chat.profilePublished","Profile published ✓","translated"
"chat.publishProfile","Publish profile","translated"
"chat.recipient","Recipient npub…","translated"
"chat.searchConversations","Search conversations","translated"
"chat.send","Send","translated"
"chat.setup","Nostr setup","translated"
"chat.title","Chat","translated"
"chat.youPrefix","You: ","translated"
"chat.yourNpub","Your npub","translated"
"confirm.action","Confirm action","translated"
"confirm.cancel","Cancel","translated"
"confirm.ok","OK","stable-term"
"console.appLog","App Log","translated"
"console.clear","Clear","translated"
"console.noEntries","No log entries yet.","translated"
"console.placeholder","method [params…]","stable-term"
"console.rpc","Electrum RPC","stable-term"
"console.send","Send","translated"
"console.sending","…","translated"
"console.typeHint","Type: method param1 param2 — e.g. server.version or blockchain.headers.subscribe","translated"
"contract.arbiter","Arbiter: A trusted party who authorizes release of funds.","translated"
"contract.available","Available Contracts","translated"
"contract.bip38","BIP38 (Password-Protected Private Keys)","translated"
"contract.bip38Desc","The BIP38 contract secures private keys with a password. Its UTXOs require both the correct password and a valid signature.","translated"
"contract.bip38Spending","Spending Requirements: Provide a valid owner signature and a data signature verifying the password.","translated"
"contract.bip38UseCase","Use Case: Ideal for protecting private keys against theft or unauthorized access, especially for long-term storage.","translated"
"contract.enhancedTrust","Enhanced Trust: Useful for transactions requiring multiple trusted parties.","translated"
"contract.escrow","Escrow","stable-term"
"contract.escrowDesc","The Escrow contract supports secure transactions between a buyer and seller with a trusted arbiter. Funds are released only with the arbiter’s approval.","translated"
"contract.escrowMS2","EscrowMS2 (Multi-Party Escrow)","stable-term"
"contract.escrowMS2Desc","EscrowMS2 extends escrow with two arbiters. Funds can be released with one arbiter’s approval or both arbiters’ combined approval.","translated"
"contract.escrowMS2Spending","Spending Requirements: One arbiter or both arbiters provide valid signatures, and the full amount goes to the buyer or seller.","translated"
"contract.escrowSecurity","Security: Funds remain locked until the arbiter approves, helping prevent fraud or disputes.","translated"
"contract.escrowSpending","Spending Requirements: The arbiter provides a valid signature and the full amount goes to the buyer’s or seller’s public-key-hash address.","translated"
"contract.howToUse","How to Use Covenant Contracts","translated"
"contract.howToUseText","Open the Contracts section, choose a contract type, configure its conditions, and deploy it. To spend from contract UTXOs, meet the specific spending requirements above. Detailed instructions and examples are available in the app documentation.","translated"
"contract.intro","Covenant contracts in the OPTN Wallet are smart contracts that enforce rules for spending digital assets. Each contract locks funds in UTXOs that can only be spent by meeting predefined conditions.","translated"
"contract.msvault","MSVault (Multi-Signature Vault)","stable-term"
"contract.msvaultDesc","MSVault creates a secure shared or long-term vault requiring multiple signatures and a password. It enforces a minimum balance and time lock.","translated"
"contract.msvaultSpending","Spending Requirements: Provide a valid signature and password-verified data signature while maintaining at least 4000 satoshis, or use a valid signature after the time lock expires.","translated"
"contract.msvaultUseCase","Use Case: Suitable for shared ownership or long-term storage with strict access controls.","translated"
"contract.multipleArbiters","Multiple Arbiters: Two arbiters can authorize release of funds.","translated"
"contract.multiSignature","Multi-Signature: Requires signatures from multiple authorized parties.","translated"
"contract.p2pkh","P2PKH (Pay-to-Public-Key-Hash)","stable-term"
"contract.p2pkhDesc","P2PKH is a standard Bitcoin script that protects UTXOs by requiring a signature from the owner of a specified public-key hash.","translated"
"contract.p2pkhSecurity","Security: A proven and reliable method for protecting digital assets.","translated"
"contract.p2pkhSpending","Spending Requirements: Provide a valid signature matching the public-key hash in the contract.","translated"
"contract.passwordProtection","Password Protection: Encrypts your private key with a user-defined password.","translated"
"contract.simplicity","Simplicity: Easy to use and compatible with most Bitcoin wallets.","translated"
"contract.timeControl","Time-Based Control: Sets a deadline for the recipient to claim funds.","translated"
"contract.transfer","TransferWithTimeout","stable-term"
"contract.transferDesc","TransferWithTimeout enables conditional transfers with a deadline. The recipient can claim funds before the timeout; the sender can reclaim them afterward.","translated"
"contract.transferSpending","Spending Requirements: The recipient signs before the timeout; afterward, the sender can reclaim funds with a valid signature.","translated"
"contract.transferUseCase","Use Cases: Useful for subscriptions, conditional payments, or escrow-like scenarios.","translated"
"contractPopup.back","Back","translated"
"contractPopup.chooseFunction","Select a function","translated"
"contractPopup.enterData","Please enter data to generate the message.","translated"
"contractPopup.enterMessage","Enter message for {name}","translated"
"contractPopup.enterValue","Enter {name}","translated"
"contractPopup.fetchFailed","Failed to fetch keys.","translated"
"contractPopup.generated","Message generated successfully!","translated"
"contractPopup.generateMessage","Generate Message","translated"
"contractPopup.generationFailed","Failed to generate message.","translated"
"contractPopup.invalidFormat","Invalid {type} format. Please scan a valid QR code.","translated"
"contractPopup.message","Message","stable-term"
"contractPopup.messageForCheck","message for checkdatasig","translated"
"contractPopup.noKeys","No keys found for address: {address}","translated"
"contractPopup.noQr","No QR code detected. Please try again.","translated"
"contractPopup.scanFor","Scan QR Code for {name}","translated"
"contractPopup.select","Select","translated"
"contractPopup.selectAddress","Select Address","translated"
"contractPopup.selected","Selected {type}","translated"
"contractPopup.title","Select a Function","translated"
"contractView.address","Address","translated"
"contractView.addressCopied","Address copied to clipboard!","translated"
"contractView.argumentTypeInfo","Argument type info","translated"
"contractView.back","Back","translated"
"contractView.balance","Balance","translated"
"contractView.blockHeight","Current Block Height","translated"
"contractView.blockHeightInfo","Blocks increment on an average interval of 10 minutes.","translated"
"contractView.constructorArgs","Constructor Arguments","translated"
"contractView.copyFailed","Failed to copy address.","translated"
"contractView.create","Create Contract","translated"
"contractView.created","Contract created successfully!","translated"
"contractView.createFailed","Failed to create contract: {message}","translated"
"contractView.createStep","3. Create the contract","translated"
"contractView.datasigInfo","Data signature info","translated"
"contractView.delete","Delete","translated"
"contractView.deleted","Contract deleted successfully!","translated"
"contractView.deleteFailed","Failed to delete contract.","translated"
"contractView.deleteFailedFallback","Failed to delete contract.","translated"
"contractView.enterMessage","Enter message for {name}","translated"
"contractView.enterType","Enter a value matching type: {type}.","translated"
"contractView.error","Error","translated"
"contractView.errorPrefix","Error: {message}","translated"
"contractView.fillInputs","2. Fill constructor inputs","translated"
"contractView.fillRequired","Fill in each required value before creating the contract.","translated"
"contractView.hashInfo","20-byte hash (hex) of an address/public key. Use “Select Address”.","translated"
"contractView.howWorks","How this works","translated"
"contractView.instantiated","Instantiated Contracts","translated"
"contractView.loadContractsFailed","Failed to load available contracts.","translated"
"contractView.loadDetailsFailed","Failed to load contract details.","translated"
"contractView.loadInstancesFailed","Failed to load contract instances.","translated"
"contractView.noInputs","This contract template has no constructor inputs.","translated"
"contractView.noInstances","No contract instances yet.","translated"
"contractView.noQr","No QR code detected. Please try again.","translated"
"contractView.pickTemplate","1. Pick a template","translated"
"contractView.privateKeyUnavailable","Private key unavailable for this address.","translated"
"contractView.publicKeyInfo","Public key in hex. Use “Select Address” to fill automatically.","translated"
"contractView.scanQr","Scan QR Code for {name}","translated"
"contractView.selectAddress","Select Address","translated"
"contractView.selectContract","Select a contract","translated"
"contractView.selectData","Please select an address and enter data to sign.","translated"
"contractView.selected","Selected {type}","translated"
"contractView.signature","Signature","stable-term"
"contractView.signatureFailed","Failed to generate signature.","translated"
"contractView.signatureGenerated","Signature generated successfully!","translated"
"contractView.signingAddress","Signing address","translated"
"contractView.signMessage","Sign Message","translated"
"contractView.title","Contracts","translated"
"contractView.tokenAddress","Token address","translated"
"contractView.unavailable","Unavailable","translated"
"contractView.unknownError","Unknown error","translated"
"contractView.update","Update","translated"
"contractView.updated","Contract updated successfully!","translated"
"contractView.updateFailed","Failed to update contract.","translated"
"contractView.updateFailedFallback","Failed to update contract.","translated"
"derivation.accountIndex","Account index","translated"
"derivation.addressDerivation","Address derivation","translated"
"derivation.addressDerivationDescription","BIP44 account path used to derive this wallet.","translated"
"derivation.bip44AccountIndex","BIP44 account index","translated"
"derivation.bip44CoinType","BIP44 coin type","translated"
"derivation.branchDescription","Hardened markers are fixed. Receive and change addresses are derived automatically from the /0/index and /1/index branches.","translated"
"derivation.coinType","Coin type","translated"
"derivation.customize","Customize","translated"
"derivation.invalidActive","The active derivation path is invalid.","translated"
"derivation.invalidValues","Invalid BIP44 path values.","translated"
"derivation.networkDefault","Network default: {value}","translated"
"derivation.pathDescription","The fixed BIP44 account path used by this wallet.","translated"
"derivation.pathPreview","Path preview","translated"
"derivation.range","Enter whole numbers from 0 to {max}.","translated"
"derivation.required","{field} is required.","translated"
"derivation.usuallyZero","Usually 0","translated"
"derivation.walletNetwork","Wallet network","translated"
"derivation.walletNetworkDescription","Choose whether this wallet connects to live funds on Mainnet or test funds on Chipnet.","translated"
"desktopMenu.about","About OPTN Wallet","translated"
"desktopMenu.cannotExport","This wallet cannot be exported.","translated"
"desktopMenu.exported","Wallet exported.","translated"
"desktopMenu.exportFailed","Could not export the wallet.","translated"
"desktopMenu.exportWallet","Export Wallet…","translated"
"desktopMenu.file","File","translated"
"desktopMenu.help","Help","translated"
"desktopMenu.history","Transaction History","translated"
"desktopMenu.importNewWallet","Import New Wallet","translated"
"desktopMenu.invalidWalletFile","That is not a valid OPTN wallet file.","translated"
"desktopMenu.lockWallet","Lock Wallet","translated"
"desktopMenu.noSavedWallets","No saved wallets","translated"
"desktopMenu.openWallet","Open Wallet","translated"
"desktopMenu.openWalletFile","Open Wallet File…","translated"
"desktopMenu.quit","Quit","translated"
"desktopMenu.receive","Receive","translated"
"desktopMenu.refreshWallet","Refresh Wallet","translated"
"desktopMenu.send","Send","translated"
"desktopMenu.settings","Settings","translated"
"desktopMenu.toggleTheme","Toggle Theme","translated"
"desktopMenu.view","View","translated"
"desktopMenu.wallet","Wallet","translated"
"desktopSecurity.authenticating","Authenticating…","translated"
"desktopSecurity.biometricFailed","Biometric unlock failed. Use your password.","translated"
"desktopSecurity.confirmPassword","Confirm password","translated"
"desktopSecurity.continue","Continue","translated"
"desktopSecurity.enterPassword","Enter your password to unlock.","translated"
"desktopSecurity.forgotPassword","Forgot your password? Remove the wallet and re-import your seed phrase.","translated"
"desktopSecurity.incorrect","Incorrect passphrase. Please try again.","translated"
"desktopSecurity.loading","Loading wallet…","translated"
"desktopSecurity.mismatch","Passphrases do not match.","translated"
"desktopSecurity.password","Password","translated"
"desktopSecurity.passwordNeverStored","Your password is never stored — it derives your encryption key locally.","translated"
"desktopSecurity.passwordPlaceholder","Password (or leave blank)","translated"
"desktopSecurity.saveFailed","Failed to save passphrase. Please try again.","translated"
"desktopSecurity.secureWallet","Secure your wallet","translated"
"desktopSecurity.securing","Securing…","translated"
"desktopSecurity.setupDescription","Set a password to encrypt your wallet. You'll need it every time you open the app. Leave blank to use OS-account protection only.","translated"
"desktopSecurity.unlock","Unlock","translated"
"desktopSecurity.unlockFailed","Unlock failed. Please try again.","translated"
"desktopSecurity.unlocking","Unlocking…","translated"
"desktopSecurity.useBiometric","Use {label}","translated"
"desktopSecurity.walletLocked","Wallet locked","translated"
"desktopWallet.addAnother","Add another wallet","translated"
"desktopWallet.alreadyOpen","That wallet is already open in another window.","translated"
"desktopWallet.backToWallets","Back to wallets","translated"
"desktopWallet.biometricFailed","Biometric unlock failed: {message}","translated"
"desktopWallet.biometricUnlock","Biometric unlock","translated"
"desktopWallet.cancel","Cancel","translated"
"desktopWallet.delete","Delete","translated"
