"key","English (en)","Vietnamese (vi)","Status"
"addons.installed","Installed addons","Add-on đã cài","translated"
"addons.installedStatus","Installed “{name}”. Restart the app to load it.","Đã cài “{name}”. Khởi động lại ứng dụng để tải.","translated"
"addons.installFolder","Install from folder…","Cài từ thư mục…","translated"
"addons.installing","Installing…","Đang cài…","translated"
"addons.none","No addons installed.","Chưa cài add-on.","translated"
"addons.uninstall","Uninstall","Gỡ cài đặt","translated"
"addons.uninstalledStatus","Uninstalled. Restart the app for it to fully disappear.","Đã gỡ. Khởi động lại ứng dụng để biến mất hoàn toàn.","translated"
"app.back","Back","Quay lại","translated"
"app.close","Close","Đóng","translated"
"app.confirmLogout","Confirm Logout","Xác nhận đăng xuất","translated"
"app.confirmLogoutDescription","Confirm logout to remove this wallet from the device.","Xác nhận đăng xuất để xóa ví này khỏi thiết bị.","translated"
"app.help","Help","Trợ giúp","translated"
"app.language","Language","Ngôn ngữ","translated"
"app.languageDescription","Choose the wallet interface language","Chọn ngôn ngữ giao diện ví","translated"
"app.logOut","Log Out","Đăng xuất","translated"
"app.quickAccess","Quick access","Truy cập nhanh","translated"
"app.settings","Settings","Cài đặt","translated"
"app.toggleTheme","Toggle theme","Đổi giao diện","translated"
"appLock.cancel","Cancel","Hủy","translated"
"appLock.checking","Checking…","Đang kiểm tra…","translated"
"appLock.confirm","Confirm","Xác nhận","translated"
"appLock.confirmPassword","Confirm password","Xác nhận mật khẩu","translated"
"appLock.incorrect","Incorrect passphrase. Try again.","Cụm từ không đúng. Hãy thử lại.","translated"
"appLock.password","Password","Mật khẩu","translated"
"appLock.revealBackup","Enter your password to reveal the backup phrase.","Nhập mật khẩu để hiện cụm từ sao lưu.","translated"
"appLock.verificationFailed","Verification failed. Please try again.","Xác minh thất bại. Hãy thử lại.","translated"
"apps.addonLoadFailed","Addon failed to load","Tải add-on thất bại","translated"
"apps.advanced","Advanced","Nâng cao","translated"
"apps.all","All","Tất cả","translated"
"apps.allowCapabilities","Allow {name} capabilities?","Cho phép {name} sử dụng các quyền?","translated"
"apps.allowOnce","Allow once","Cho phép một lần","translated"
"apps.allowSensitiveAction","Allow sensitive action?","Cho phép thao tác nhạy cảm?","translated"
"apps.alwaysAllow","Always allow","Luôn cho phép","translated"
"apps.appDefinition","App definition","Định nghĩa ứng dụng","translated"
"apps.approveCapabilities","Approve required capabilities to continue.","Phê duyệt các quyền cần thiết để tiếp tục.","translated"
"apps.back","Back","Quay lại","translated"
"apps.browse","Browse apps","Duyệt ứng dụng","translated"
"apps.browseSubtitle","Wallet first, then tokens, utils, and advanced platforms","Ví trước, rồi token, tiện ích và nền tảng nâng cao","translated"
"apps.capabilitiesMessage","This addon app is requesting wallet capabilities before launch.","Ứng dụng add-on này yêu cầu quyền ví trước khi khởi chạy.","translated"
"apps.capability","Capability:","Quyền:","translated"
"apps.capability.addOutputs","Construct transaction outputs","Tạo đầu ra giao dịch","translated"
"apps.capability.addressUtxosRead","Read UTXOs for wallet addresses","Đọc UTXO của địa chỉ ví","translated"
"apps.capability.addressUtxosRefresh","Refresh and store UTXOs for wallet addresses","Làm mới và lưu UTXO của địa chỉ ví","translated"
"apps.capability.broadcastTransactions","Broadcast transactions","Phát giao dịch","translated"
"apps.capability.buildTransactions","Build transactions","Tạo giao dịch","translated"
"apps.capability.fetchJson","Fetch JSON over HTTP","Lấy JSON qua HTTP","translated"
"apps.capability.signatureTemplates","Create signature templates","Tạo mẫu chữ ký","translated"
"apps.capability.signMessages","Sign messages with wallet keys","Ký tin nhắn bằng khóa ví","translated"
"apps.capability.tokenHoldersRead","Read TokenIndex holder lists","Đọc danh sách holder TokenIndex","translated"
"apps.capability.tokenMetadataRead","Read CashToken metadata","Đọc siêu dữ liệu CashToken","translated"
"apps.capability.walletAddressesRead","Read wallet addresses","Đọc địa chỉ ví","translated"
"apps.capability.walletContextRead","Read wallet context","Đọc ngữ cảnh ví","translated"
"apps.capability.walletUtxosRead","Read wallet UTXOs","Đọc UTXO của ví","translated"
"apps.capabilityRequested","{name} requested: {capability}.","{name} yêu cầu: {capability}.","translated"
"apps.cashFusionDescription","Private CoinJoin — server or P2P over Nostr + Tor","CoinJoin riêng tư — máy chủ hoặc P2P qua Nostr + Tor","translated"
"apps.chatDescription","Private end-to-end encrypted Nostr messaging","Nhắn tin Nostr riêng tư mã hóa đầu cuối","translated"
"apps.comingSoon","Coming soon","Sắp có","translated"
"apps.contractsDescription","Browse artifacts and manage deployed instances","Duyệt artifact và quản lý instance đã triển khai","translated"
"apps.deny","Deny","Từ chối","translated"
"apps.empty","No apps in this category.","Không có ứng dụng trong danh mục này.","translated"
"apps.expectedScreen","Expected config.screen (or app.id) to map to a built-in app implementation.","config.screen (hoặc app.id) phải ánh xạ tới triển khai ứng dụng tích hợp.","translated"
"apps.failedToLoad","Failed to load app","Tải ứng dụng thất bại","translated"
"apps.goToLanding","Go to Landing","Đi tới trang đầu","translated"
"apps.loadFailed","Failed to load addon apps","Tải ứng dụng add-on thất bại","translated"
"apps.loadingAddon","Loading addon…","Đang tải add-on…","translated"
"apps.loadingApp","Loading app…","Đang tải ứng dụng…","translated"
"apps.noWallet","No wallet selected","Chưa chọn ví","translated"
"apps.permissionDenied","Permission denied. App launch was blocked.","Từ chối quyền. Đã chặn khởi chạy ứng dụng.","translated"
"apps.quantumrootDescription","Receive and recovery tools for advanced vaults","Công cụ nhận và khôi phục cho vault nâng cao","translated"
"apps.resolvedScreenId","Resolved screen ID","ID màn hình đã giải quyết","translated"
"apps.subtitle","Extend your wallet with tools","Mở rộng ví bằng các công cụ","translated"
"apps.title","Apps","Ứng dụng","translated"
"apps.token","Token","Token","stable-term"
"apps.unsupportedAppKind","Unsupported app kind:","Loại ứng dụng không được hỗ trợ:","translated"
"apps.unsupportedDeclarativeApp","Unsupported declarative app:","Ứng dụng khai báo không được hỗ trợ:","translated"
"apps.utils","Utils","Tiện ích","translated"
"apps.waitingPermission","Waiting for app permission","Đang chờ quyền ứng dụng","translated"
"apps.wallet","Wallet","Ví","stable-term"
"assets.advancedVaultDescription","Receive and recovery tools for advanced vaults","Công cụ nhận và khôi phục cho vault nâng cao","translated"
"assets.advancedVaultWorkspace","Advanced vault workspace","Không gian vault nâng cao","translated"
"assets.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"assets.cashTokenHoldings","CashToken holdings","CashToken đang nắm giữ","translated"
"assets.cashTokens","CashTokens","CashTokens","stable-term"
"assets.categories","categories","danh mục","translated"
"assets.chipnet","Chipnet","Chipnet","stable-term"
"assets.fungible","fungible","có thể thay thế","translated"
"assets.fungibleHoldings","Fungible token holdings","Token có thể thay thế","translated"
"assets.mintingNfts","Minting NFTs","NFT đúc","translated"
"assets.mintingNftsDescription","Authority to mint additional NFTs in this category","Quyền đúc thêm NFT trong danh mục này","translated"
"assets.mintTokens","Mint Tokens","Đúc token","translated"
"assets.mutableNfts","Mutable NFTs","NFT có thể thay đổi","translated"
"assets.mutableNftsDescription","Commitment may be changed by the holder","Chủ sở hữu có thể thay đổi cam kết","translated"
"assets.nfts","NFTs","NFT","stable-term"
"assets.noFungibleTokens","No fungible CashTokens found.","Không tìm thấy CashToken có thể thay thế.","translated"
"assets.noNfts","No NFTs found.","Không tìm thấy NFT.","translated"
"assets.nonFungibleHoldings","Non-fungible holdings","Tài sản không thể thay thế","translated"
"assets.openVaults","Open vaults","Mở vault","translated"
"assets.plainNfts","Plain NFTs","NFT thường","translated"
"assets.plainNftsDescription","Fixed commitment; cannot be changed or used to mint","Cam kết cố định; không thể thay đổi hoặc dùng để đúc","translated"
"assets.primaryBalance","Primary wallet balance","Số dư ví chính","translated"
"assets.quantumroot","Quantumroot","Quantumroot","stable-term"
"assets.quickInventory","Quick view of your wallet inventory","Xem nhanh tài sản trong ví","translated"
"assets.tabBch","BCH","BCH","stable-term"
"assets.tabNfts","NFTs","NFT","stable-term"
"assets.tabTokens","Tokens","Token","stable-term"
"assets.title","Assets","Tài sản","translated"
"assets.toggleBalance","Toggle BCH and USD balance","Đổi số dư BCH và USD","translated"
"assets.units","units","đơn vị","translated"
"assets.usdPriceUnavailable","USD price unavailable","Không có giá USD","translated"
"assets.usdUnavailable","USD unavailable","Không có USD","translated"
"assets.vaultWorkspace","Vault workspace","Không gian vault","translated"
"bip37.addressesWithCoins","address(es) with coins","địa chỉ có coin","translated"
"bip37.blocks","blocks","block","stable-term"
"bip37.fromNode","BCH from the node ✓","BCH từ node ✓","translated"
"bip37.height","height","chiều cao","translated"
"bip37.inUse","● in use","● đang dùng","translated"
"bip37.node","Node","Nút","stable-term"
"bip37.notServes","Does not serve BIP37 ✗ (bloom filtering off)","Không phục vụ BIP37 ✗ (đã tắt lọc Bloom)","translated"
"bip37.probe","Probe","Thăm dò","translated"
"bip37.probing","Probing…","Đang thăm dò…","translated"
"bip37.protocol","protocol","giao thức","translated"
"bip37.remove","Remove","Xóa","translated"
"bip37.scanned","scanned","đã quét","translated"
"bip37.serves","Serves BIP37 ✓","Phục vụ BIP37 ✓","translated"
"bip37.sync","Sync","Đồng bộ","translated"
"bip37.syncing","Syncing…","Đang đồng bộ…","translated"
"bip37.syncingDetails","Syncing headers + scanning blocks via the node…","Đang đồng bộ header và quét block qua node…","translated"
"bip37.use","Use","Dùng","translated"
"bip37.useBalanceTitle","Derive this wallet's balance directly from the node (trustless SPV)","Dẫn xuất số dư ví trực tiếp từ node (SPV không cần tin cậy)","translated"
"bip37.useNodeTitle","Use ONLY this node for wallet data (trustless; Electrum servers are not consulted)","CHỈ dùng node này cho dữ liệu ví (không cần tin cậy; không hỏi máy chủ Electrum)","translated"
"bip37.verified","Verified trustlessly: every matched tx proven by its block's merkle proof.","Đã xác minh không cần tin cậy: mọi giao dịch khớp đều được chứng minh bằng Merkle proof của block.","translated"
"bip37.watching","watching","đang theo dõi","translated"
"builder.addFirstRecipient","Add your first recipient","Thêm người nhận đầu tiên","translated"
"builder.addOpReturnOutput","Add OP_RETURN Output","Add OP_RETURN Output","needs-review"
"builder.addOutput","Add Output","Thêm đầu ra","translated"
"builder.addRecipient","Add recipient","Thêm người nhận","translated"
"builder.addRecipients","Add recipients","Thêm người nhận","translated"
"builder.addRecipientsDescription","Add BCH recipients, token transfers, collectibles, or an optional message output.","Thêm người nhận BCH, chuyển token, vật phẩm sưu tầm hoặc đầu ra thông điệp tùy chọn.","translated"
"builder.address","Address","Address","needs-review"
"builder.amount","Amount","Amount","needs-review"
"builder.amountToSend","Amount to send","Số tiền gửi","translated"
"builder.attachMessage","Attach message","Đính kèm thông điệp","translated"
"builder.back","Back","Quay lại","translated"
"builder.bchAddress","BCH address","Địa chỉ BCH","translated"
"builder.bchAmountSats","BCH amount (sats)","BCH amount (sats)","needs-review"
"builder.bchFunds","BCH funds","BCH funds","needs-review"
"builder.broadcastedSuccess","Your transaction was broadcast successfully!","Đã phát giao dịch thành công!","translated"
"builder.buildTransaction","Build Transaction","Tạo giao dịch","translated"
"builder.buildTx","Build TX","Build TX","needs-review"
"builder.capability","Capability","Capability","needs-review"
"builder.category","Category","Category","needs-review"
"builder.chooseSource","Choose a source","Chọn nguồn","translated"
"builder.chooseSourceDescription","Pick wallet addresses for normal sends, or contracts for script spends.","Chọn địa chỉ ví cho giao dịch thường hoặc hợp đồng cho giao dịch script.","translated"
"builder.chooseSourceHelp","Choose source","Chọn nguồn","translated"
"builder.close","Close","Đóng","translated"
"builder.collectibleAmount","Collectible amount","Collectible amount","needs-review"
"builder.commitment","Commitment","Commitment","needs-review"
"builder.configureCollectible","Configure collectible","Configure collectible","needs-review"
"builder.confirmAndSend","Confirm and Send Transaction","Xác nhận và gửi giao dịch","translated"
"builder.confirmTransaction","Confirm Transaction","Xác nhận giao dịch","translated"
"builder.contract","Contract","Contract","needs-review"
"builder.contractAddress","Contract address","Địa chỉ hợp đồng","translated"
"builder.contractAssets","Contract assets","Contract assets","needs-review"
"builder.contractFunction","Contract Function","Contract Function","needs-review"
"builder.contractFunds","Contract funds","Contract funds","needs-review"
"builder.contracts","Contracts","Hợp đồng","translated"
"builder.contractSourceCount","{count} contract source(s)","{count} contract source(s)","needs-review"
"builder.contractSourcePlural","{count} contract sources","{count} contract sources","needs-review"
"builder.contractSources","Contract sources","Nguồn hợp đồng","translated"
"builder.contractSourceSingular","{count} contract source","{count} contract source","needs-review"
"builder.copyToClipboard","Copy to clipboard","Sao chép vào bộ nhớ tạm","translated"
"builder.createCollectible","Create collectible","Tạo vật phẩm sưu tầm","translated"
"builder.createToken","Create token","Tạo token","translated"
"builder.customSend","Custom Send","Gửi tùy chỉnh","translated"
"builder.decodeFailed","Unable to decode transaction. Showing raw hex:","Không thể giải mã giao dịch. Hiển thị hex thô:","translated"
"builder.dragToConfirm","Drag to Confirm","Kéo để xác nhận","translated"
"builder.enterTokenAmount","Enter amount (max {amount})","Enter amount (max {amount})","needs-review"
"builder.estimatedNetworkFee","Estimated network fee","Phí mạng ước tính","translated"
"builder.feeReserve","Leaving a {count} sat fee reserve.","Để lại khoản dự phòng phí {count} sat.","translated"
"builder.flow","Flow","Quy trình","translated"
"builder.flowDescription","Pick a source, choose funds, add recipients, then preview the final transaction before sending.","Chọn nguồn, chọn tiền, thêm người nhận rồi xem trước giao dịch cuối trước khi gửi.","translated"
"builder.fundsSelected","Funds selected","Tiền đã chọn","translated"
"builder.fungibleAmount","Fungible Amount","Fungible Amount","needs-review"
"builder.fungibleTokens","Fungible Tokens","Fungible Tokens","needs-review"
"builder.genesisCollectible","Genesis input for this collectible","Genesis input for this collectible","needs-review"
"builder.genesisInput","Genesis input for this token","Genesis input for this token","needs-review"
"builder.help","Help","Trợ giúp","translated"
"builder.howWorks","How this works","Cách hoạt động","translated"
"builder.inputs","Inputs","Inputs","needs-review"
"builder.leftoverBchPlaceholder","Wallet address for leftover BCH","Địa chỉ ví nhận BCH thừa","translated"
"builder.max","Max","Tối đa","translated"
"builder.maxSpendable","Set to maximum spendable (leaves 2000 sats for fees)","Đặt mức tối đa có thể chi (để lại 2000 sats cho phí)","translated"
"builder.missingUnlocker","Missing unlocker!","Thiếu unlocker!","translated"
"builder.next","Next","Tiếp","translated"
"builder.nftCapability","NFT Capability","NFT Capability","needs-review"
"builder.nftCommitment","NFT Commitment","NFT Commitment","needs-review"
"builder.noContractAddresses","No contract addresses available.","Không có địa chỉ hợp đồng.","translated"
"builder.noFundsSelected","No funds selected yet.","Chưa chọn tiền.","translated"
"builder.none","None","None","needs-review"
"builder.nonFungibleTokens","Non-Fungible Tokens","Non-Fungible Tokens","needs-review"
"builder.noOutputs","No outputs added yet.","Chưa thêm đầu ra.","translated"
"builder.noQrCode","No QR code detected. Please try again.","No QR code detected. Please try again.","needs-review"
"builder.noSpendableBalance","No spendable balance after fee reserve","Không còn số dư có thể chi sau khi giữ phí","translated"
"builder.noUtxosSelected","No UTXOs selected.","Chưa chọn UTXO.","translated"
"builder.noWalletAddresses","No wallet addresses available.","Không có địa chỉ ví.","translated"
"builder.opReturnData","OP_RETURN Data","OP_RETURN Data","needs-review"
"builder.opReturnEmpty","OP_RETURN data cannot be empty.","OP_RETURN data cannot be empty.","needs-review"
"builder.opReturnOutput","OP_RETURN Output","OP_RETURN Output","needs-review"
"builder.opReturnPlaceholder","Enter space-separated ASCII words","Enter space-separated ASCII words","needs-review"
"builder.outputs","Outputs","Outputs","needs-review"
"builder.paperWallet","Paper Wallet","Paper Wallet","needs-review"
"builder.paperWalletUtxos","Paper Wallet UTXOs","Paper Wallet UTXOs","needs-review"
"builder.pickFunds","Pick funds","Chọn tiền","translated"
"builder.pickFundsDescription","Select the BCH, tokens, or collectibles that will fund this transaction.","Chọn BCH, token hoặc vật phẩm sưu tầm dùng để cấp tiền cho giao dịch này.","translated"
"builder.rawTransactionDetails","Raw Transaction Details","Chi tiết giao dịch thô","translated"
"builder.ready","Ready","Sẵn sàng","translated"
"builder.recipient","{count} recipient","{count} recipient","needs-review"
"builder.recipientAddress","Recipient Address","Địa chỉ người nhận","translated"
"builder.recipientCount","{count} recipients","{count} recipients","needs-review"
"builder.recipients","Recipients","Người nhận","translated"
"builder.recipientsAdded","Recipients added","Đã thêm người nhận","translated"
"builder.remove","Remove","Xóa","translated"
"builder.removeAllRecipients","Remove all recipients","Xóa tất cả người nhận","translated"
"builder.returnLeftover","Return leftover funds to","Trả tiền thừa về","translated"
"builder.reviewAndSend","Review and send","Xem lại và gửi","translated"
"builder.reviewAndSendDescription","Preview first, then send only when the summary looks right.","Xem trước rồi chỉ gửi khi bản tóm tắt đã chính xác.","translated"
"builder.reviewFunds","Review funds","Xem lại tiền","translated"
"builder.reviewRecipients","Review recipients","Xem lại người nhận","translated"
"builder.scanQrCode","Scan QR Code","Quét mã QR","translated"
"builder.selectedFunds","Selected funds","Tiền đã chọn","translated"
"builder.selectedItem","{count} selected item","{count} selected item","needs-review"
"builder.selectedItems","{count} selected items","{count} selected items","needs-review"
"builder.selectGenesisInput","Select genesis input","Select genesis input","needs-review"
"builder.selectSource","Select a source to continue.","Chọn nguồn để tiếp tục.","translated"
"builder.sendBch","Send BCH","Gửi BCH","translated"
"builder.sendTx","Send TX","Send TX","needs-review"
"builder.sendWarning","You are about to send a transaction. Please confirm that all details are correct. This action cannot be undone.","Bạn sắp gửi một giao dịch. Hãy xác nhận mọi chi tiết đều đúng. Không thể hoàn tác hành động này.","translated"
"builder.sourcesChosen","Sources chosen","Nguồn đã chọn","translated"
"builder.step","Step {number}","Bước {number}","translated"
"builder.token","Token","Token","needs-review"
"builder.tokenAddress","Token address","Địa chỉ token","translated"
"builder.tokenAmount","Token Amount","Token Amount","needs-review"
"builder.tokenCategory","Token Category","Token Category","needs-review"
"builder.tokenCategoryLabel","Token Category","Token Category","needs-review"
"builder.tokensCollectibles","Tokens & collectibles","Tokens & collectibles","needs-review"
"builder.transactionError","Transaction Error","Lỗi giao dịch","translated"
"builder.transactionSubmitted","Transaction Submitted","Đã gửi giao dịch","translated"
"builder.transactionSubmittedDescription","Your transaction has been submitted. Use this txid as the reference and avoid sending it again.","Giao dịch đã được gửi. Dùng txid này làm tham chiếu và tránh gửi lại.","translated"
"builder.transactionSuccessful","Transaction Successful","Giao dịch thành công","translated"
"builder.transferMinimum","Transfer amount must be at least {count}.","Transfer amount must be at least {count}.","needs-review"
"builder.tryAgain","Try Again","Thử lại","translated"
"builder.txHash","Tx Hash","Tx Hash","needs-review"
"builder.txId","TX ID","TX ID","needs-review"
"builder.viewExplorer","View on Explorer","Xem trên explorer","translated"
"builder.wallet","Wallet","Wallet","needs-review"
"builder.walletAssets","Wallet assets","Wallet assets","needs-review"
"builder.walletFunds","Wallet funds","Tiền của ví","translated"
"builder.walletSourceCount","{count} wallet source(s)","{count} wallet source(s)","needs-review"
"builder.walletSourcePlural","{count} wallet sources","{count} wallet sources","needs-review"
"builder.walletSources","Wallet sources","Nguồn của ví","translated"
"builder.walletSourceSingular","{count} wallet source","{count} wallet source","needs-review"
"builder.warning","⚠️ Warning","⚠️ Cảnh báo","translated"
"camera.cancel","Cancel","Hủy","translated"
"camera.scan","Scan QR with camera","Quét QR bằng máy ảnh","translated"
"camera.unavailable","Camera unavailable: {error}. Use Upload instead.","Máy ảnh không khả dụng: {error}. Hãy dùng Tải lên.","translated"
"cauldron.active","active","đang hoạt động","translated"
"cauldron.description","Detected from the active wallet receive/change/DeFi address set through the Cauldron indexer.","Được phát hiện từ nhóm địa chỉ nhận, tiền thừa và DeFi đang hoạt động của ví qua bộ lập chỉ mục Cauldron.","translated"
"cauldron.positions","Cauldron positions","Vị thế Cauldron","translated"
"cauldron.tokenCategories","token categories","danh mục token","translated"
"chat.back","Back to conversations","Quay lại cuộc trò chuyện","translated"
"chat.choosePhoto","Choose photo","Chọn ảnh","translated"
"chat.copyNpub","Copy npub","Sao chép npub","translated"
"chat.displayName","Display name","Tên hiển thị","translated"
"chat.emptyDescription","Pick a conversation, or tap + to message someone by their npub. Messages are end-to-end encrypted over Nostr.","Chọn một cuộc trò chuyện hoặc chạm + để nhắn cho ai đó bằng npub. Tin nhắn được mã hóa đầu cuối qua Nostr.","translated"
"chat.encrypted","End-to-end encrypted","Mã hóa đầu cuối","translated"
"chat.messagePlaceholder","Message…","Tin nhắn…","stable-term"
"chat.newChat","New chat","Trò chuyện mới","translated"
"chat.newConversation","New conversation","Cuộc trò chuyện mới","translated"
"chat.noConversations","No conversations yet. Tap + to start one.","Chưa có cuộc trò chuyện. Chạm + để bắt đầu.","translated"
"chat.noMessages","No messages yet. Say hi — messages are end-to-end encrypted.","Chưa có tin nhắn. Hãy chào — tin nhắn được mã hóa đầu cuối.","translated"
"chat.open","Open","Mở","translated"
"chat.privateConversations","Your private conversations","Cuộc trò chuyện riêng tư của bạn","translated"
"chat.privateMessaging","Private Nostr messaging","Nhắn tin Nostr riêng tư","translated"
"chat.profile","Profile","Hồ sơ","translated"
"chat.profilePublished","Profile published ✓","Đã đăng hồ sơ ✓","translated"
"chat.publishProfile","Publish profile","Đăng hồ sơ","translated"
"chat.recipient","Recipient npub…","npub người nhận…","translated"
"chat.searchConversations","Search conversations","Tìm kiếm cuộc trò chuyện","translated"
"chat.send","Send","Gửi","translated"
"chat.setup","Nostr setup","Thiết lập Nostr","translated"
"chat.title","Chat","Trò chuyện","translated"
"chat.youPrefix","You: ","Bạn: ","translated"
"chat.yourNpub","Your npub","npub của bạn","translated"
"confirm.action","Confirm action","Xác nhận hành động","translated"
"confirm.cancel","Cancel","Hủy","translated"
"confirm.ok","OK","OK","stable-term"
"console.appLog","App Log","Nhật ký ứng dụng","translated"
"console.clear","Clear","Xóa","translated"
