"key","English (en)","Arabic (ar)","Status"
"apps.cashFusionDescription","Private CoinJoin — server or P2P over Nostr + Tor","CoinJoin خاص — خادم أو P2P عبر Nostr وTor","translated"
"apps.chatDescription","Private end-to-end encrypted Nostr messaging","مراسلة Nostr خاصة ومشفرة من الطرف إلى الطرف","translated"
"apps.comingSoon","Coming soon","قريبًا","translated"
"apps.contractsDescription","Browse artifacts and manage deployed instances","تصفح المصنوعات وأدر مثيلات العقود المنشورة","translated"
"apps.deny","Deny","رفض","translated"
"apps.empty","No apps in this category.","لا توجد تطبيقات في هذه الفئة.","translated"
"apps.expectedScreen","Expected config.screen (or app.id) to map to a built-in app implementation.","يجب أن يطابق config.screen (أو app.id) تطبيقًا مدمجًا.","translated"
"apps.failedToLoad","Failed to load app","فشل تحميل التطبيق","translated"
"apps.goToLanding","Go to Landing","الانتقال إلى صفحة البداية","translated"
"apps.loadFailed","Failed to load addon apps","فشل تحميل تطبيقات الإضافات","translated"
"apps.loadingAddon","Loading addon…","جارٍ تحميل الإضافة…","translated"
"apps.loadingApp","Loading app…","جارٍ تحميل التطبيق…","translated"
"apps.noWallet","No wallet selected","لم يتم اختيار محفظة","translated"
"apps.permissionDenied","Permission denied. App launch was blocked.","تم رفض الإذن. تم حظر تشغيل التطبيق.","translated"
"apps.quantumrootDescription","Receive and recovery tools for advanced vaults","أدوات الاستلام والاسترداد للخزائن المتقدمة","translated"
"apps.resolvedScreenId","Resolved screen ID","معرّف الشاشة المحلّل","translated"
"apps.subtitle","Extend your wallet with tools","وسّع محفظتك بأدوات إضافية","translated"
"apps.title","Apps","التطبيقات","translated"
"apps.token","Token","رمز","stable-term"
"apps.unsupportedAppKind","Unsupported app kind:","نوع التطبيق غير مدعوم:","translated"
"apps.unsupportedDeclarativeApp","Unsupported declarative app:","التطبيق التعريفي غير مدعوم:","translated"
"apps.utils","Utils","أدوات","translated"
"apps.waitingPermission","Waiting for app permission","في انتظار إذن التطبيق","translated"
"apps.wallet","Wallet","المحفظة","stable-term"
"assets.advancedVaultDescription","Receive and recovery tools for advanced vaults","أدوات الاستلام والاسترداد للخزائن المتقدمة","translated"
"assets.advancedVaultWorkspace","Advanced vault workspace","مساحة عمل الخزائن المتقدمة","translated"
"assets.bitcoinCash","Bitcoin Cash","بيتكوين كاش","stable-term"
"assets.cashTokenHoldings","CashToken holdings","حيازات CashToken","translated"
"assets.cashTokens","CashTokens","CashTokens","stable-term"
"assets.categories","categories","فئات","translated"
"assets.chipnet","Chipnet","Chipnet","stable-term"
"assets.fungible","fungible","قابلة للاستبدال","translated"
"assets.fungibleHoldings","Fungible token holdings","حيازات الرموز القابلة للاستبدال","translated"
"assets.mintingNfts","Minting NFTs","NFTs قابلة للسك","translated"
"assets.mintingNftsDescription","Authority to mint additional NFTs in this category","صلاحية سك NFTs إضافية في هذه الفئة","translated"
"assets.mintTokens","Mint Tokens","إنشاء الرموز","translated"
"assets.mutableNfts","Mutable NFTs","NFTs قابلة للتغيير","translated"
"assets.mutableNftsDescription","Commitment may be changed by the holder","يمكن للمالك تغيير الالتزام","translated"
"assets.nfts","NFTs","NFTs","stable-term"
"assets.noFungibleTokens","No fungible CashTokens found.","لم يتم العثور على CashTokens قابلة للاستبدال.","translated"
"assets.noNfts","No NFTs found.","لم يتم العثور على NFTs.","translated"
"assets.nonFungibleHoldings","Non-fungible holdings","حيازات غير قابلة للاستبدال","translated"
"assets.openVaults","Open vaults","فتح الخزائن","translated"
"assets.plainNfts","Plain NFTs","NFTs عادية","translated"
"assets.plainNftsDescription","Fixed commitment; cannot be changed or used to mint","التزام ثابت؛ لا يمكن تغييره أو استخدامه للسك","translated"
"assets.primaryBalance","Primary wallet balance","رصيد المحفظة الأساسي","translated"
"assets.quantumroot","Quantumroot","Quantumroot","stable-term"
"assets.quickInventory","Quick view of your wallet inventory","عرض سريع لأصول محفظتك","translated"
"assets.tabBch","BCH","BCH","stable-term"
"assets.tabNfts","NFTs","NFTs","stable-term"
"assets.tabTokens","Tokens","الرموز","stable-term"
"assets.title","Assets","الأصول","translated"
"assets.toggleBalance","Toggle BCH and USD balance","تبديل رصيد BCH وUSD","translated"
"assets.units","units","وحدات","translated"
"assets.usdPriceUnavailable","USD price unavailable","سعر USD غير متاح","translated"
"assets.usdUnavailable","USD unavailable","USD غير متاح","translated"
"assets.vaultWorkspace","Vault workspace","مساحة عمل الخزينة","translated"
"bip37.addressesWithCoins","address(es) with coins","عناوين تحتوي على أموال","translated"
"bip37.blocks","blocks","كتل","stable-term"
"bip37.fromNode","BCH from the node ✓","BCH من العقدة ✓","translated"
"bip37.height","height","الارتفاع","translated"
"bip37.inUse","● in use","● قيد الاستخدام","translated"
"bip37.node","Node","العقدة","stable-term"
"bip37.notServes","Does not serve BIP37 ✗ (bloom filtering off)","لا يخدم BIP37 ✗ (ترشيح Bloom متوقف)","translated"
"bip37.probe","Probe","فحص","translated"
"bip37.probing","Probing…","جارٍ الفحص…","translated"
"bip37.protocol","protocol","البروتوكول","translated"
"bip37.remove","Remove","إزالة","translated"
"bip37.scanned","scanned","تم فحص","translated"
"bip37.serves","Serves BIP37 ✓","يخدم BIP37 ✓","translated"
"bip37.sync","Sync","مزامنة","translated"
"bip37.syncing","Syncing…","جارٍ المزامنة…","translated"
"bip37.syncingDetails","Syncing headers + scanning blocks via the node…","جارٍ مزامنة الرؤوس وفحص الكتل عبر العقدة…","translated"
"bip37.use","Use","استخدام","translated"
"bip37.useBalanceTitle","Derive this wallet's balance directly from the node (trustless SPV)","اشتقاق رصيد هذه المحفظة مباشرة من العقدة (SPV بدون ثقة)","translated"
"bip37.useNodeTitle","Use ONLY this node for wallet data (trustless; Electrum servers are not consulted)","استخدم هذه العقدة فقط لبيانات المحفظة (بدون ثقة؛ لا يتم الرجوع إلى خوادم Electrum)","translated"
"bip37.verified","Verified trustlessly: every matched tx proven by its block's merkle proof.","تم التحقق بدون ثقة: كل معاملة مطابقة مثبتة بإثبات Merkle الخاص بكتلتها.","translated"
"bip37.watching","watching","مراقبة","translated"
"builder.addFirstRecipient","Add your first recipient","أضف أول مستلم","translated"
"builder.addOpReturnOutput","Add OP_RETURN Output","إضافة مخرج OP_RETURN","translated"
"builder.addOutput","Add Output","إضافة مخرج","translated"
"builder.addRecipient","Add recipient","إضافة مستلم","translated"
"builder.addRecipients","Add recipients","إضافة مستلمين","translated"
"builder.addRecipientsDescription","Add BCH recipients, token transfers, collectibles, or an optional message output.","أضف مستلمي BCH أو تحويلات الرموز أو المقتنيات أو مخرج رسالة اختياريًا.","translated"
"builder.address","Address","العنوان","translated"
"builder.amount","Amount","المبلغ","translated"
"builder.amountToSend","Amount to send","المبلغ المراد إرساله","translated"
"builder.attachMessage","Attach message","إرفاق رسالة","translated"
"builder.back","Back","رجوع","translated"
"builder.bchAddress","BCH address","عنوان BCH","translated"
"builder.bchAmountSats","BCH amount (sats)","مبلغ BCH (ساتوشي)","translated"
"builder.bchFunds","BCH funds","أموال BCH","translated"
"builder.broadcastedSuccess","Your transaction was broadcast successfully!","تم بث معاملتك بنجاح!","translated"
"builder.buildTransaction","Build Transaction","بناء المعاملة","translated"
"builder.buildTx","Build TX","بناء المعاملة","translated"
"builder.capability","Capability","القدرة","translated"
"builder.category","Category","الفئة","translated"
"builder.chooseSource","Choose a source","اختيار المصدر","translated"
"builder.chooseSourceDescription","Pick wallet addresses for normal sends, or contracts for script spends.","اختر عناوين المحفظة للإرسالات العادية أو العقود لإنفاق البرامج النصية.","translated"
"builder.chooseSourceHelp","Choose source","اختيار المصدر","translated"
"builder.close","Close","إغلاق","translated"
"builder.collectibleAmount","Collectible amount","كمية المقتنى","translated"
"builder.commitment","Commitment","الالتزام","translated"
"builder.configureCollectible","Configure collectible","تهيئة المقتنى","translated"
"builder.confirmAndSend","Confirm and Send Transaction","تأكيد وإرسال المعاملة","translated"
"builder.confirmTransaction","Confirm Transaction","تأكيد المعاملة","translated"
"builder.contract","Contract","العقد","translated"
"builder.contractAddress","Contract address","عنوان العقد","translated"
"builder.contractAssets","Contract assets","أصول العقد","translated"
"builder.contractFunction","Contract Function","دالة العقد","translated"
"builder.contractFunds","Contract funds","أموال العقد","translated"
"builder.contracts","Contracts","العقود","translated"
"builder.contractSourceCount","{count} contract source(s)","{count} مصدر عقد","translated"
"builder.contractSourcePlural","{count} contract sources","{count} مصادر عقود","translated"
"builder.contractSources","Contract sources","مصادر العقود","translated"
"builder.contractSourceSingular","{count} contract source","{count} مصدر عقد","translated"
"builder.copyToClipboard","Copy to clipboard","نسخ إلى الحافظة","translated"
"builder.createCollectible","Create collectible","إنشاء مقتنى","translated"
"builder.createToken","Create token","إنشاء رمز","translated"
"builder.customSend","Custom Send","إرسال مخصص","translated"
"builder.decodeFailed","Unable to decode transaction. Showing raw hex:","تعذر فك ترميز المعاملة. عرض السداسي الخام:","translated"
"builder.dragToConfirm","Drag to Confirm","اسحب للتأكيد","translated"
"builder.enterTokenAmount","Enter amount (max {amount})","أدخل المبلغ (الحد الأقصى {amount})","translated"
"builder.estimatedNetworkFee","Estimated network fee","رسوم الشبكة المقدرة","translated"
"builder.feeReserve","Leaving a {count} sat fee reserve.","ترك احتياطي رسوم قدره {count} ساتوشي.","translated"
"builder.flow","Flow","المسار","translated"
"builder.flowDescription","Pick a source, choose funds, add recipients, then preview the final transaction before sending.","اختر مصدرًا، وحدد الأموال، وأضف المستلمين، ثم عاين المعاملة النهائية قبل الإرسال.","translated"
"builder.fundsSelected","Funds selected","الأموال المحددة","translated"
"builder.fungibleAmount","Fungible Amount","كمية الرمز القابل للاستبدال","translated"
"builder.fungibleTokens","Fungible Tokens","الرموز القابلة للاستبدال","translated"
"builder.genesisCollectible","Genesis input for this collectible","مدخل الإنشاء لهذا المقتنى","translated"
"builder.genesisInput","Genesis input for this token","مدخل الإنشاء لهذا الرمز","translated"
"builder.help","Help","المساعدة","translated"
"builder.howWorks","How this works","طريقة العمل","translated"
"builder.inputs","Inputs","المدخلات","translated"
"builder.leftoverBchPlaceholder","Wallet address for leftover BCH","عنوان المحفظة لفائض BCH","translated"
"builder.max","Max","الحد الأقصى","translated"
"builder.maxSpendable","Set to maximum spendable (leaves 2000 sats for fees)","تعيين الحد الأقصى القابل للإنفاق (يترك 2000 ساتوشي للرسوم)","translated"
"builder.missingUnlocker","Missing unlocker!","مفقود مفتاح إلغاء القفل!","translated"
"builder.next","Next","التالي","translated"
"builder.nftCapability","NFT Capability","قدرة NFT","translated"
"builder.nftCommitment","NFT Commitment","التزام NFT","translated"
"builder.noContractAddresses","No contract addresses available.","لا توجد عناوين عقود متاحة.","translated"
"builder.noFundsSelected","No funds selected yet.","لم يتم تحديد أموال بعد.","translated"
"builder.none","None","لا شيء","translated"
"builder.nonFungibleTokens","Non-Fungible Tokens","الرموز غير القابلة للاستبدال","translated"
"builder.noOutputs","No outputs added yet.","لم تتم إضافة مخرجات بعد.","translated"
"builder.noQrCode","No QR code detected. Please try again.","لم يتم العثور على رمز QR. حاول مرة أخرى.","translated"
"builder.noSpendableBalance","No spendable balance after fee reserve","لا يوجد رصيد قابل للإنفاق بعد حجز الرسوم","translated"
"builder.noUtxosSelected","No UTXOs selected.","لم يتم تحديد UTXOs.","translated"
"builder.noWalletAddresses","No wallet addresses available.","لا توجد عناوين محفظة متاحة.","translated"
"builder.opReturnData","OP_RETURN Data","بيانات OP_RETURN","translated"
"builder.opReturnEmpty","OP_RETURN data cannot be empty.","لا يمكن أن تكون بيانات OP_RETURN فارغة.","translated"
"builder.opReturnOutput","OP_RETURN Output","مخرج OP_RETURN","translated"
"builder.opReturnPlaceholder","Enter space-separated ASCII words","أدخل كلمات ASCII مفصولة بمسافات","translated"
"builder.outputs","Outputs","المخرجات","translated"
"builder.paperWallet","Paper Wallet","محفظة ورقية","translated"
"builder.paperWalletUtxos","Paper Wallet UTXOs","UTXOs المحفظة الورقية","translated"
"builder.pickFunds","Pick funds","اختيار الأموال","translated"
"builder.pickFundsDescription","Select the BCH, tokens, or collectibles that will fund this transaction.","حدد BCH أو الرموز أو المقتنيات التي ستمول هذه المعاملة.","translated"
"builder.rawTransactionDetails","Raw Transaction Details","تفاصيل المعاملة الخام","translated"
"builder.ready","Ready","جاهز","translated"
"builder.recipient","{count} recipient","مستلم واحد ({count})","translated"
"builder.recipientAddress","Recipient Address","عنوان المستلم","translated"
"builder.recipientCount","{count} recipients","{count} مستلمين","translated"
"builder.recipients","Recipients","المستلمون","translated"
"builder.recipientsAdded","Recipients added","المستلمون المضافون","translated"
"builder.remove","Remove","إزالة","translated"
"builder.removeAllRecipients","Remove all recipients","إزالة جميع المستلمين","translated"
"builder.returnLeftover","Return leftover funds to","إعادة الفائض إلى","translated"
"builder.reviewAndSend","Review and send","مراجعة وإرسال","translated"
"builder.reviewAndSendDescription","Preview first, then send only when the summary looks right.","عاين أولًا، ثم أرسل فقط عندما يبدو الملخص صحيحًا.","translated"
"builder.reviewFunds","Review funds","مراجعة الأموال","translated"
"builder.reviewRecipients","Review recipients","مراجعة المستلمين","translated"
"builder.scanQrCode","Scan QR Code","مسح رمز QR","translated"
"builder.selectedFunds","Selected funds","الأموال المحددة","translated"
"builder.selectedItem","{count} selected item","عنصر محدد واحد ({count})","translated"
"builder.selectedItems","{count} selected items","{count} عناصر محددة","translated"
"builder.selectGenesisInput","Select genesis input","اختيار مدخل الإنشاء","translated"
"builder.selectSource","Select a source to continue.","حدد مصدرًا للمتابعة.","translated"
"builder.sendBch","Send BCH","إرسال BCH","translated"
"builder.sendTx","Send TX","إرسال المعاملة","translated"
"builder.sendWarning","You are about to send a transaction. Please confirm that all details are correct. This action cannot be undone.","أنت على وشك إرسال معاملة. تأكد من صحة جميع التفاصيل. لا يمكن التراجع عن هذا الإجراء.","translated"
"builder.sourcesChosen","Sources chosen","المصادر المختارة","translated"
"builder.step","Step {number}","الخطوة {number}","translated"
"builder.token","Token","الرمز","translated"
"builder.tokenAddress","Token address","عنوان الرمز","translated"
"builder.tokenAmount","Token Amount","كمية الرمز","translated"
"builder.tokenCategory","Token Category","فئة الرمز","translated"
"builder.tokenCategoryLabel","Token Category","فئة الرمز","translated"
"builder.tokensCollectibles","Tokens & collectibles","الرموز والمقتنيات","translated"
"builder.transactionError","Transaction Error","خطأ في المعاملة","translated"
"builder.transactionSubmitted","Transaction Submitted","تم إرسال المعاملة","translated"
"builder.transactionSubmittedDescription","Your transaction has been submitted. Use this txid as the reference and avoid sending it again.","تم إرسال معاملتك. استخدم معرّفها للرجوع إليه وتجنب إرسالها مرة أخرى.","translated"
"builder.transactionSuccessful","Transaction Successful","نجحت المعاملة","translated"
"builder.transferMinimum","Transfer amount must be at least {count}.","يجب ألا يقل مبلغ التحويل عن {count}.","translated"
"builder.tryAgain","Try Again","حاول مرة أخرى","translated"
"builder.txHash","Tx Hash","تجزئة المعاملة","translated"
"builder.txId","TX ID","معرّف المعاملة","translated"
"builder.viewExplorer","View on Explorer","عرض في المستكشف","translated"
"builder.wallet","Wallet","المحفظة","translated"
"builder.walletAssets","Wallet assets","أصول المحفظة","translated"
"builder.walletFunds","Wallet funds","أموال المحفظة","translated"
"builder.walletSourceCount","{count} wallet source(s)","{count} مصدر محفظة","translated"
"builder.walletSourcePlural","{count} wallet sources","{count} مصادر محفظة","translated"
"builder.walletSources","Wallet sources","مصادر المحفظة","translated"
"builder.walletSourceSingular","{count} wallet source","{count} مصدر محفظة","translated"
"builder.warning","⚠️ Warning","⚠️ تحذير","translated"
"camera.cancel","Cancel","إلغاء","translated"
"camera.scan","Scan QR with camera","مسح QR بالكاميرا","translated"
"camera.unavailable","Camera unavailable: {error}. Use Upload instead.","الكاميرا غير متاحة: {error}. استخدم الرفع بدلًا من ذلك.","translated"
"cauldron.active","active","نشطة","translated"
"cauldron.description","Detected from the active wallet receive/change/DeFi address set through the Cauldron indexer.","مكتشفة من مجموعة عناوين الاستلام والتغيير وDeFi النشطة للمحفظة عبر مفهرس Cauldron.","translated"
"cauldron.positions","Cauldron positions","مواضع Cauldron","translated"
"cauldron.tokenCategories","token categories","فئات الرموز","translated"
"chat.back","Back to conversations","العودة إلى المحادثات","translated"
"chat.choosePhoto","Choose photo","اختيار صورة","translated"
"chat.copyNpub","Copy npub","نسخ npub","translated"
"chat.displayName","Display name","اسم العرض","translated"
"chat.emptyDescription","Pick a conversation, or tap + to message someone by their npub. Messages are end-to-end encrypted over Nostr.","اختر محادثة أو اضغط + لمراسلة شخص عبر npub الخاص به. الرسائل مشفرة من الطرف إلى الطرف عبر Nostr.","translated"
"chat.encrypted","End-to-end encrypted","مشفرة من الطرف إلى الطرف","translated"
"chat.messagePlaceholder","Message…","رسالة…","stable-term"
"chat.newChat","New chat","محادثة جديدة","translated"
"chat.newConversation","New conversation","محادثة جديدة","translated"
"chat.noConversations","No conversations yet. Tap + to start one.","لا توجد محادثات بعد. اضغط + لبدء محادثة.","translated"
"chat.noMessages","No messages yet. Say hi — messages are end-to-end encrypted.","لا توجد رسائل بعد. ألقِ التحية — الرسائل مشفرة من الطرف إلى الطرف.","translated"
"chat.open","Open","فتح","translated"
"chat.privateConversations","Your private conversations","محادثاتك الخاصة","translated"
"chat.privateMessaging","Private Nostr messaging","مراسلة Nostr خاصة","translated"
"chat.profile","Profile","الملف الشخصي","translated"
"chat.profilePublished","Profile published ✓","تم نشر الملف الشخصي ✓","translated"
"chat.publishProfile","Publish profile","نشر الملف الشخصي","translated"
"chat.recipient","Recipient npub…","npub المستلم…","translated"
