"key","English (en)","Korean (ko)","Status"
"actions.quantumroot","Quantumroot","Quantumroot","stable-term"
"actions.quantumrootBadge","Beta production","베타 운영","translated"
"actions.quantumrootDescription","Quantum-ready vaults","양자 대비 금고","translated"
"actions.receive","Receive","받기","translated"
"actions.receiveDescription","Receive BCH or CashTokens","BCH 또는 CashTokens 받기","translated"
"actions.scanQr","Scan QR","QR 스캔","translated"
"actions.scanQrDescription","Sweep paper wallets","종이 지갑 스윕","translated"
"actions.send","Send","보내기","translated"
"actions.sendDescription","Send BCH or CashTokens","BCH 또는 CashTokens 보내기","translated"
"actions.subtitle","Simple wallet actions for everyday use","일상적인 지갑 사용을 위한 간단한 작업","translated"
"actions.taskMode","Task mode","작업 모드","translated"
"actions.taskModeDescription","Basic tasks first, advanced tools one step deeper","기본 작업부터 시작하고 고급 도구는 한 단계 더 들어가세요","translated"
"actions.title","Actions","작업","stable-term"
"actions.transactionBuilder","Transaction Builder","트랜잭션 빌더","translated"
"actions.transactionBuilderDescription","Build custom transactions","맞춤 트랜잭션 만들기","translated"
"actions.walletConnect","WalletConnect","WalletConnect","stable-term"
"actions.walletConnectDescription","Manage dApp sessions","dApp 세션 관리","translated"
"actions.wizardConnect","WizardConnect","WizardConnect","stable-term"
"actions.wizardConnectDescription","XPub-key-enabled dApp sessions","XPub 키를 사용하는 dApp 세션","translated"
"addons.description","Addons run in a sandboxed frame with no access to your wallet's keys or memory — they can only do what the permissions you approve allow.","애드온은 지갑 키나 메모리에 접근할 수 없는 샌드박스 프레임에서 실행되며 승인한 권한만 사용할 수 있습니다.","translated"
"addons.desktopOnly","Installing addons from a folder is only available on desktop.","폴더에서 애드온을 설치하는 기능은 데스크톱에서만 사용할 수 있습니다.","translated"
"addons.installed","Installed addons","설치된 애드온","translated"
"addons.installedStatus","Installed “{name}”. Restart the app to load it.","“{name}”을(를) 설치했습니다. 로드하려면 앱을 다시 시작하세요.","translated"
"addons.installFolder","Install from folder…","폴더에서 설치…","translated"
"addons.installing","Installing…","설치 중…","translated"
"addons.none","No addons installed.","설치된 애드온이 없습니다.","translated"
"addons.uninstall","Uninstall","제거","translated"
"addons.uninstalledStatus","Uninstalled. Restart the app for it to fully disappear.","제거했습니다. 완전히 사라지게 하려면 앱을 다시 시작하세요.","translated"
"app.back","Back","뒤로","translated"
"app.close","Close","닫기","translated"
"app.confirmLogout","Confirm Logout","로그아웃 확인","translated"
"app.confirmLogoutDescription","Confirm logout to remove this wallet from the device.","로그아웃하면 이 지갑이 기기에서 제거됩니다.","translated"
"app.help","Help","도움말","translated"
"app.language","Language","언어","translated"
"app.languageDescription","Choose the wallet interface language","지갑 인터페이스 언어를 선택하세요","translated"
"app.logOut","Log Out","로그아웃","translated"
"app.quickAccess","Quick access","빠른 실행","translated"
"app.settings","Settings","설정","translated"
"app.toggleTheme","Toggle theme","테마 전환","translated"
"appLock.cancel","Cancel","취소","translated"
"appLock.checking","Checking…","확인 중…","translated"
"appLock.confirm","Confirm","확인","translated"
"appLock.confirmPassword","Confirm password","비밀번호 확인","translated"
"appLock.incorrect","Incorrect passphrase. Try again.","문구가 올바르지 않습니다. 다시 시도하세요.","translated"
"appLock.password","Password","비밀번호","translated"
"appLock.revealBackup","Enter your password to reveal the backup phrase.","백업 문구를 보려면 비밀번호를 입력하세요.","translated"
"appLock.verificationFailed","Verification failed. Please try again.","확인하지 못했습니다. 다시 시도하세요.","translated"
"apps.addonLoadFailed","Addon failed to load","애드온을 불러오지 못했습니다","translated"
"apps.advanced","Advanced","고급","translated"
"apps.all","All","전체","translated"
"apps.allowCapabilities","Allow {name} capabilities?","{name}의 권한을 허용할까요?","translated"
"apps.allowOnce","Allow once","한 번 허용","translated"
"apps.allowSensitiveAction","Allow sensitive action?","민감한 작업을 허용할까요?","translated"
"apps.alwaysAllow","Always allow","항상 허용","translated"
"apps.appDefinition","App definition","앱 정의","translated"
"apps.approveCapabilities","Approve required capabilities to continue.","계속하려면 필요한 권한을 승인하세요.","translated"
"apps.back","Back","뒤로","translated"
"apps.browse","Browse apps","앱 둘러보기","translated"
"apps.browseSubtitle","Wallet first, then tokens, utils, and advanced platforms","지갑을 먼저 보고 토큰, 유틸리티 및 고급 플랫폼 확인","translated"
"apps.capabilitiesMessage","This addon app is requesting wallet capabilities before launch.","이 애드온 앱은 시작하기 전에 지갑 권한을 요청합니다.","translated"
"apps.capability","Capability:","권한:","translated"
"apps.capability.addOutputs","Construct transaction outputs","트랜잭션 출력 구성","translated"
"apps.capability.addressUtxosRead","Read UTXOs for wallet addresses","지갑 주소의 UTXO 읽기","translated"
"apps.capability.addressUtxosRefresh","Refresh and store UTXOs for wallet addresses","지갑 주소의 UTXO 새로 고침 및 저장","translated"
"apps.capability.broadcastTransactions","Broadcast transactions","트랜잭션 브로드캐스트","translated"
"apps.capability.buildTransactions","Build transactions","트랜잭션 생성","translated"
"apps.capability.fetchJson","Fetch JSON over HTTP","HTTP로 JSON 가져오기","translated"
"apps.capability.signatureTemplates","Create signature templates","서명 템플릿 생성","translated"
"apps.capability.signMessages","Sign messages with wallet keys","지갑 키로 메시지 서명","translated"
"apps.capability.tokenHoldersRead","Read TokenIndex holder lists","TokenIndex 보유자 목록 읽기","translated"
"apps.capability.tokenMetadataRead","Read CashToken metadata","CashToken 메타데이터 읽기","translated"
"apps.capability.walletAddressesRead","Read wallet addresses","지갑 주소 읽기","translated"
"apps.capability.walletContextRead","Read wallet context","지갑 컨텍스트 읽기","translated"
"apps.capability.walletUtxosRead","Read wallet UTXOs","지갑 UTXO 읽기","translated"
"apps.capabilityRequested","{name} requested: {capability}.","{name} 요청: {capability}.","translated"
"apps.cashFusionDescription","Private CoinJoin — server or P2P over Nostr + Tor","비공개 CoinJoin — Nostr + Tor를 통한 서버 또는 P2P","translated"
"apps.chatDescription","Private end-to-end encrypted Nostr messaging","종단 간 암호화된 비공개 Nostr 메시지","translated"
"apps.comingSoon","Coming soon","곧 제공","translated"
"apps.contractsDescription","Browse artifacts and manage deployed instances","아티팩트를 둘러보고 배포된 인스턴스 관리","translated"
"apps.deny","Deny","거부","translated"
"apps.empty","No apps in this category.","이 카테고리에는 앱이 없습니다.","translated"
"apps.expectedScreen","Expected config.screen (or app.id) to map to a built-in app implementation.","config.screen(또는 app.id)이 기본 앱 구현에 매핑되어야 합니다.","translated"
"apps.failedToLoad","Failed to load app","앱을 불러오지 못했습니다","translated"
"apps.goToLanding","Go to Landing","랜딩으로 이동","translated"
"apps.loadFailed","Failed to load addon apps","애드온 앱을 불러오지 못했습니다","translated"
"apps.loadingAddon","Loading addon…","애드온 로드 중…","translated"
"apps.loadingApp","Loading app…","앱 로드 중…","translated"
"apps.noWallet","No wallet selected","선택한 지갑 없음","translated"
"apps.permissionDenied","Permission denied. App launch was blocked.","권한이 거부되었습니다. 앱 실행이 차단되었습니다.","translated"
"apps.quantumrootDescription","Receive and recovery tools for advanced vaults","고급 볼트용 수신 및 복구 도구","translated"
"apps.resolvedScreenId","Resolved screen ID","확인된 화면 ID","translated"
"apps.subtitle","Extend your wallet with tools","도구로 지갑 확장","translated"
"apps.title","Apps","앱","translated"
"apps.token","Token","토큰","stable-term"
"apps.unsupportedAppKind","Unsupported app kind:","지원되지 않는 앱 종류:","translated"
"apps.unsupportedDeclarativeApp","Unsupported declarative app:","지원되지 않는 선언적 앱:","translated"
"apps.utils","Utils","유틸리티","translated"
"apps.waitingPermission","Waiting for app permission","앱 권한 대기 중","translated"
"apps.wallet","Wallet","지갑","stable-term"
"assets.advancedVaultDescription","Receive and recovery tools for advanced vaults","고급 볼트를 위한 수신 및 복구 도구","translated"
"assets.advancedVaultWorkspace","Advanced vault workspace","고급 볼트 작업 공간","translated"
"assets.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"assets.cashTokenHoldings","CashToken holdings","CashTokens 보유량","translated"
"assets.cashTokens","CashTokens","CashTokens","stable-term"
"assets.categories","categories","카테고리","translated"
"assets.chipnet","Chipnet","Chipnet","stable-term"
"assets.fungible","fungible","대체 가능","translated"
"assets.fungibleHoldings","Fungible token holdings","대체 가능 토큰 보유량","translated"
"assets.mintingNfts","Minting NFTs","발행용 NFT","translated"
"assets.mintingNftsDescription","Authority to mint additional NFTs in this category","이 카테고리에서 추가 NFT를 발행할 권한","translated"
"assets.mintTokens","Mint Tokens","토큰 발행","translated"
"assets.mutableNfts","Mutable NFTs","변경 가능한 NFT","translated"
"assets.mutableNftsDescription","Commitment may be changed by the holder","보유자가 커밋먼트를 변경할 수 있음","translated"
"assets.nfts","NFTs","NFT","stable-term"
"assets.noFungibleTokens","No fungible CashTokens found.","대체 가능 CashToken이 없습니다.","translated"
"assets.noNfts","No NFTs found.","NFT가 없습니다.","translated"
"assets.nonFungibleHoldings","Non-fungible holdings","대체 불가능 보유량","translated"
"assets.openVaults","Open vaults","볼트 열기","translated"
"assets.plainNfts","Plain NFTs","일반 NFT","translated"
"assets.plainNftsDescription","Fixed commitment; cannot be changed or used to mint","고정 커밋먼트로 변경하거나 발행에 사용할 수 없음","translated"
"assets.primaryBalance","Primary wallet balance","지갑 기본 잔액","translated"
"assets.quantumroot","Quantumroot","Quantumroot","stable-term"
"assets.quickInventory","Quick view of your wallet inventory","지갑 자산 빠른 보기","translated"
"assets.tabBch","BCH","BCH","stable-term"
"assets.tabNfts","NFTs","NFT","stable-term"
"assets.tabTokens","Tokens","토큰","stable-term"
"assets.title","Assets","자산","translated"
"assets.toggleBalance","Toggle BCH and USD balance","BCH 및 USD 잔액 전환","translated"
"assets.units","units","단위","translated"
"assets.usdPriceUnavailable","USD price unavailable","USD 가격을 사용할 수 없음","translated"
"assets.usdUnavailable","USD unavailable","USD 사용 불가","translated"
"assets.vaultWorkspace","Vault workspace","볼트 작업 공간","translated"
"bip37.addressesWithCoins","address(es) with coins","잔액이 있는 주소","translated"
"bip37.blocks","blocks","블록","stable-term"
"bip37.fromNode","BCH from the node ✓","노드의 BCH ✓","translated"
"bip37.height","height","높이","translated"
"bip37.inUse","● in use","● 사용 중","translated"
"bip37.node","Node","노드","stable-term"
"bip37.notServes","Does not serve BIP37 ✗ (bloom filtering off)","BIP37을 제공하지 않음 ✗(블룸 필터링 꺼짐)","translated"
"bip37.probe","Probe","확인","translated"
"bip37.probing","Probing…","확인 중…","translated"
"bip37.protocol","protocol","프로토콜","translated"
"bip37.remove","Remove","제거","translated"
"bip37.scanned","scanned","스캔됨","translated"
"bip37.serves","Serves BIP37 ✓","BIP37 제공 ✓","translated"
"bip37.sync","Sync","동기화","translated"
"bip37.syncing","Syncing…","동기화 중…","translated"
"bip37.syncingDetails","Syncing headers + scanning blocks via the node…","노드를 통해 헤더를 동기화하고 블록을 스캔하는 중…","translated"
"bip37.use","Use","사용","translated"
"bip37.useBalanceTitle","Derive this wallet's balance directly from the node (trustless SPV)","이 노드에서 지갑 잔액을 직접 파생(무신뢰 SPV)","translated"
"bip37.useNodeTitle","Use ONLY this node for wallet data (trustless; Electrum servers are not consulted)","지갑 데이터에 이 노드만 사용(무신뢰 방식, Electrum 서버는 사용하지 않음)","translated"
"bip37.verified","Verified trustlessly: every matched tx proven by its block's merkle proof.","무신뢰 방식으로 확인됨: 일치하는 모든 거래가 블록의 머클 증명으로 검증되었습니다.","translated"
"bip37.watching","watching","감시 중","translated"
"builder.addFirstRecipient","Add your first recipient","첫 수신자 추가","translated"
"builder.addOpReturnOutput","Add OP_RETURN Output","Add OP_RETURN Output","needs-review"
"builder.addOutput","Add Output","출력 추가","translated"
"builder.addRecipient","Add recipient","수신자 추가","translated"
"builder.addRecipients","Add recipients","수신자 추가","translated"
"builder.addRecipientsDescription","Add BCH recipients, token transfers, collectibles, or an optional message output.","BCH 수신자, 토큰 전송, 수집품 또는 선택적 메시지 출력을 추가하세요.","translated"
"builder.address","Address","Address","needs-review"
"builder.amount","Amount","Amount","needs-review"
"builder.amountToSend","Amount to send","보낼 금액","translated"
"builder.attachMessage","Attach message","메시지 첨부","translated"
"builder.back","Back","뒤로","translated"
"builder.bchAddress","BCH address","BCH 주소","translated"
"builder.bchAmountSats","BCH amount (sats)","BCH amount (sats)","needs-review"
"builder.bchFunds","BCH funds","BCH funds","needs-review"
"builder.broadcastedSuccess","Your transaction was broadcast successfully!","거래를 성공적으로 브로드캐스트했습니다!","translated"
"builder.buildTransaction","Build Transaction","거래 만들기","translated"
"builder.buildTx","Build TX","Build TX","needs-review"
"builder.capability","Capability","Capability","needs-review"
"builder.category","Category","Category","needs-review"
"builder.chooseSource","Choose a source","소스 선택","translated"
"builder.chooseSourceDescription","Pick wallet addresses for normal sends, or contracts for script spends.","일반 전송에는 지갑 주소를, 스크립트 지출에는 컨트랙트를 선택하세요.","translated"
"builder.chooseSourceHelp","Choose source","소스 선택","translated"
"builder.close","Close","닫기","translated"
"builder.collectibleAmount","Collectible amount","Collectible amount","needs-review"
"builder.commitment","Commitment","Commitment","needs-review"
"builder.configureCollectible","Configure collectible","Configure collectible","needs-review"
"builder.confirmAndSend","Confirm and Send Transaction","거래 확인 및 보내기","translated"
"builder.confirmTransaction","Confirm Transaction","거래 확인","translated"
"builder.contract","Contract","Contract","needs-review"
"builder.contractAddress","Contract address","컨트랙트 주소","translated"
"builder.contractAssets","Contract assets","Contract assets","needs-review"
"builder.contractFunction","Contract Function","Contract Function","needs-review"
"builder.contractFunds","Contract funds","Contract funds","needs-review"
"builder.contracts","Contracts","컨트랙트","translated"
"builder.contractSourceCount","{count} contract source(s)","{count} contract source(s)","needs-review"
"builder.contractSourcePlural","{count} contract sources","{count} contract sources","needs-review"
"builder.contractSources","Contract sources","컨트랙트 소스","translated"
"builder.contractSourceSingular","{count} contract source","{count} contract source","needs-review"
"builder.copyToClipboard","Copy to clipboard","클립보드에 복사","translated"
"builder.createCollectible","Create collectible","수집품 만들기","translated"
"builder.createToken","Create token","토큰 만들기","translated"
"builder.customSend","Custom Send","사용자 지정 보내기","translated"
"builder.decodeFailed","Unable to decode transaction. Showing raw hex:","거래를 디코딩할 수 없습니다. 원시 16진수를 표시합니다:","translated"
"builder.dragToConfirm","Drag to Confirm","끌어서 확인","translated"
"builder.enterTokenAmount","Enter amount (max {amount})","Enter amount (max {amount})","needs-review"
"builder.estimatedNetworkFee","Estimated network fee","예상 네트워크 수수료","translated"
"builder.feeReserve","Leaving a {count} sat fee reserve.","{count} sat의 수수료를 남깁니다.","translated"
"builder.flow","Flow","흐름","translated"
"builder.flowDescription","Pick a source, choose funds, add recipients, then preview the final transaction before sending.","소스를 선택하고 자금을 고른 다음 수신자를 추가한 뒤 보내기 전에 최종 거래를 미리 봅니다.","translated"
"builder.fundsSelected","Funds selected","자금 선택됨","translated"
"builder.fungibleAmount","Fungible Amount","Fungible Amount","needs-review"
"builder.fungibleTokens","Fungible Tokens","Fungible Tokens","needs-review"
"builder.genesisCollectible","Genesis input for this collectible","Genesis input for this collectible","needs-review"
"builder.genesisInput","Genesis input for this token","Genesis input for this token","needs-review"
"builder.help","Help","도움말","translated"
"builder.howWorks","How this works","작동 방식","translated"
"builder.inputs","Inputs","Inputs","needs-review"
"builder.leftoverBchPlaceholder","Wallet address for leftover BCH","남은 BCH를 받을 지갑 주소","translated"
"builder.max","Max","최대","translated"
"builder.maxSpendable","Set to maximum spendable (leaves 2000 sats for fees)","최대 사용 가능 금액으로 설정(수수료 2000 sats 남김)","translated"
"builder.missingUnlocker","Missing unlocker!","Unlocker가 없습니다!","translated"
"builder.next","Next","다음","translated"
"builder.nftCapability","NFT Capability","NFT Capability","needs-review"
"builder.nftCommitment","NFT Commitment","NFT Commitment","needs-review"
"builder.noContractAddresses","No contract addresses available.","사용 가능한 컨트랙트 주소가 없습니다.","translated"
"builder.noFundsSelected","No funds selected yet.","아직 자금을 선택하지 않았습니다.","translated"
"builder.none","None","None","needs-review"
"builder.nonFungibleTokens","Non-Fungible Tokens","Non-Fungible Tokens","needs-review"
"builder.noOutputs","No outputs added yet.","아직 출력을 추가하지 않았습니다.","translated"
"builder.noQrCode","No QR code detected. Please try again.","No QR code detected. Please try again.","needs-review"
"builder.noSpendableBalance","No spendable balance after fee reserve","수수료를 예약한 후 사용할 잔액이 없습니다.","translated"
"builder.noUtxosSelected","No UTXOs selected.","선택한 UTXO가 없습니다.","translated"
"builder.noWalletAddresses","No wallet addresses available.","사용 가능한 지갑 주소가 없습니다.","translated"
"builder.opReturnData","OP_RETURN Data","OP_RETURN Data","needs-review"
"builder.opReturnEmpty","OP_RETURN data cannot be empty.","OP_RETURN data cannot be empty.","needs-review"
"builder.opReturnOutput","OP_RETURN Output","OP_RETURN Output","needs-review"
"builder.opReturnPlaceholder","Enter space-separated ASCII words","Enter space-separated ASCII words","needs-review"
"builder.outputs","Outputs","Outputs","needs-review"
"builder.paperWallet","Paper Wallet","Paper Wallet","needs-review"
"builder.paperWalletUtxos","Paper Wallet UTXOs","Paper Wallet UTXOs","needs-review"
"builder.pickFunds","Pick funds","자금 선택","translated"
"builder.pickFundsDescription","Select the BCH, tokens, or collectibles that will fund this transaction.","이 거래에 사용할 BCH, 토큰 또는 수집품을 선택하세요.","translated"
"builder.rawTransactionDetails","Raw Transaction Details","원시 거래 세부 정보","translated"
"builder.ready","Ready","준비됨","translated"
"builder.recipient","{count} recipient","{count} recipient","needs-review"
"builder.recipientAddress","Recipient Address","수신자 주소","translated"
"builder.recipientCount","{count} recipients","{count} recipients","needs-review"
"builder.recipients","Recipients","수신자","translated"
"builder.recipientsAdded","Recipients added","수신자 추가됨","translated"
"builder.remove","Remove","제거","translated"
"builder.removeAllRecipients","Remove all recipients","모든 수신자 제거","translated"
"builder.returnLeftover","Return leftover funds to","남은 자금 반환 대상","translated"
"builder.reviewAndSend","Review and send","검토 후 보내기","translated"
"builder.reviewAndSendDescription","Preview first, then send only when the summary looks right.","먼저 미리 보고 요약이 맞을 때만 보내세요.","translated"
"builder.reviewFunds","Review funds","자금 검토","translated"
"builder.reviewRecipients","Review recipients","수신자 검토","translated"
"builder.scanQrCode","Scan QR Code","QR 코드 스캔","translated"
"builder.selectedFunds","Selected funds","선택한 자금","translated"
"builder.selectedItem","{count} selected item","{count} selected item","needs-review"
"builder.selectedItems","{count} selected items","{count} selected items","needs-review"
"builder.selectGenesisInput","Select genesis input","Select genesis input","needs-review"
"builder.selectSource","Select a source to continue.","계속하려면 소스를 선택하세요.","translated"
"builder.sendBch","Send BCH","BCH 보내기","translated"
"builder.sendTx","Send TX","Send TX","needs-review"
"builder.sendWarning","You are about to send a transaction. Please confirm that all details are correct. This action cannot be undone.","거래를 보내려고 합니다. 모든 세부 정보가 올바른지 확인하세요. 이 작업은 취소할 수 없습니다.","translated"
"builder.sourcesChosen","Sources chosen","소스 선택됨","translated"
"builder.step","Step {number}","{number}단계","translated"
"builder.token","Token","Token","needs-review"
"builder.tokenAddress","Token address","토큰 주소","translated"
"builder.tokenAmount","Token Amount","Token Amount","needs-review"
"builder.tokenCategory","Token Category","Token Category","needs-review"
"builder.tokenCategoryLabel","Token Category","Token Category","needs-review"
"builder.tokensCollectibles","Tokens & collectibles","Tokens & collectibles","needs-review"
"builder.transactionError","Transaction Error","거래 오류","translated"
"builder.transactionSubmitted","Transaction Submitted","거래 제출됨","translated"
"builder.transactionSubmittedDescription","Your transaction has been submitted. Use this txid as the reference and avoid sending it again.","거래를 제출했습니다. 이 txid를 참조로 사용하고 다시 보내지 마세요.","translated"
"builder.transactionSuccessful","Transaction Successful","거래 성공","translated"
"builder.transferMinimum","Transfer amount must be at least {count}.","Transfer amount must be at least {count}.","needs-review"
"builder.tryAgain","Try Again","다시 시도","translated"
"builder.txHash","Tx Hash","Tx Hash","needs-review"
"builder.txId","TX ID","TX ID","needs-review"
"builder.viewExplorer","View on Explorer","탐색기에서 보기","translated"
"builder.wallet","Wallet","Wallet","needs-review"
"builder.walletAssets","Wallet assets","Wallet assets","needs-review"
"builder.walletFunds","Wallet funds","지갑 자금","translated"
"builder.walletSourceCount","{count} wallet source(s)","{count} wallet source(s)","needs-review"
"builder.walletSourcePlural","{count} wallet sources","{count} wallet sources","needs-review"
"builder.walletSources","Wallet sources","지갑 소스","translated"
"builder.walletSourceSingular","{count} wallet source","{count} wallet source","needs-review"
"builder.warning","⚠️ Warning","⚠️ 경고","translated"
"camera.cancel","Cancel","취소","translated"
"camera.scan","Scan QR with camera","카메라로 QR 스캔","translated"
"camera.unavailable","Camera unavailable: {error}. Use Upload instead.","카메라를 사용할 수 없음: {error}. 업로드를 사용하세요.","translated"
"cauldron.active","active","활성","translated"
"cauldron.description","Detected from the active wallet receive/change/DeFi address set through the Cauldron indexer.","Cauldron 인덱서가 활성 지갑의 수신·잔돈·DeFi 주소 집합에서 감지했습니다.","translated"
"cauldron.positions","Cauldron positions","Cauldron 포지션","translated"
"cauldron.tokenCategories","token categories","토큰 카테고리","translated"
"chat.back","Back to conversations","대화로 돌아가기","translated"
"chat.choosePhoto","Choose photo","사진 선택","translated"
"chat.copyNpub","Copy npub","npub 복사","translated"
"chat.displayName","Display name","표시 이름","translated"
"chat.emptyDescription","Pick a conversation, or tap + to message someone by their npub. Messages are end-to-end encrypted over Nostr.","대화를 선택하거나 +를 눌러 npub으로 누군가에게 메시지를 보내세요. 메시지는 Nostr에서 종단 간 암호화됩니다.","translated"
"chat.encrypted","End-to-end encrypted","종단 간 암호화","translated"
"chat.messagePlaceholder","Message…","메시지…","stable-term"
"chat.newChat","New chat","새 채팅","translated"
"chat.newConversation","New conversation","새 대화","translated"
"chat.noConversations","No conversations yet. Tap + to start one.","아직 대화가 없습니다. +를 눌러 시작하세요.","translated"
"chat.noMessages","No messages yet. Say hi — messages are end-to-end encrypted.","아직 메시지가 없습니다. 인사를 건네 보세요. 메시지는 종단 간 암호화됩니다.","translated"
"chat.open","Open","열기","translated"
"chat.privateConversations","Your private conversations","내 비공개 대화","translated"
"chat.privateMessaging","Private Nostr messaging","비공개 Nostr 메시지","translated"
"chat.profile","Profile","프로필","translated"
"chat.profilePublished","Profile published ✓","프로필 게시됨 ✓","translated"
"chat.publishProfile","Publish profile","프로필 게시","translated"
"chat.recipient","Recipient npub…","수신자 npub…","translated"
"chat.searchConversations","Search conversations","대화 검색","translated"
"chat.send","Send","전송","translated"
"chat.setup","Nostr setup","Nostr 설정","translated"
"chat.title","Chat","채팅","translated"
"chat.youPrefix","You: ","나: ","translated"
"chat.yourNpub","Your npub","내 npub","translated"
"confirm.action","Confirm action","작업 확인","translated"
"confirm.cancel","Cancel","취소","translated"
"confirm.ok","OK","확인","stable-term"
"console.appLog","App Log","앱 로그","translated"
"console.clear","Clear","지우기","translated"
"console.noEntries","No log entries yet.","아직 로그 항목이 없습니다.","translated"
"console.placeholder","method [params…]","method [params…]","stable-term"
"console.rpc","Electrum RPC","Electrum RPC","stable-term"
"console.send","Send","보내기","translated"
"console.sending","…","…","stable-term"
"console.typeHint","Type: method param1 param2 — e.g. server.version or blockchain.headers.subscribe","입력: 메서드 매개변수1 매개변수2 — 예: server.version 또는 blockchain.headers.subscribe","translated"
"contract.arbiter","Arbiter: A trusted party who authorizes release of funds.","중재자: 자금 지급을 승인하는 신뢰할 수 있는 당사자입니다.","translated"
"contract.available","Available Contracts","사용 가능한 컨트랙트","translated"
"contract.bip38","BIP38 (Password-Protected Private Keys)","BIP38(비밀번호로 보호되는 개인 키)","translated"
