"key","English (en)","Chinese (Simplified) (zh-CN)","Status"
"about.overviewText","The OPTN Wallet App gives you direct control and security over your digital assets. Bitcoin covenants let you set custom rules for how funds can be spent, so your wallet can match your preferences.","OPTN Wallet 为你提供对数字资产的直接控制和安全保护。Bitcoin covenant 允许你为资金使用设置自定义规则，让钱包符合你的偏好。","translated"
"about.security","Security","安全","translated"
"about.securityText","Bitcoin covenant features help protect assets from unauthorized transactions.","Bitcoin covenant 功能有助于保护资产免受未经授权的交易影响。","translated"
"about.unmatched","Unmatched Security","出色的安全性","translated"
"about.unmatchedText","Define exactly how funds can be spent with Bitcoin covenants.","通过 Bitcoin covenant 明确定义资金的使用方式。","translated"
"about.viewing","Viewing Covenants","查看 Covenant","translated"
"about.viewingText","Review the rules that govern transactions so you can understand how your funds are protected.","查看交易规则，了解资金如何受到保护。","translated"
"about.why","Why Choose OPTN Wallet?","为什么选择 OPTN Wallet？","translated"
"about.wiki","Bitcoin Covenants Wiki","Bitcoin Covenant Wiki","translated"
"actions.advanced","Advanced","进阶","translated"
"actions.advancedActions","Advanced Actions","进阶操作","translated"
"actions.basic","Basic","基础","translated"
"actions.basicActions","Basic Actions","基础操作","translated"
"actions.cashTokens","CashTokens","CashTokens","stable-term"
"actions.cashTokensDescription","Manage token families","管理代币系列","translated"
"actions.commonWalletTasks","Common wallet tasks","常用钱包任务","translated"
"actions.contracts","Contracts","合约","translated"
"actions.contractsDescription","Manage contract instances","管理合约实例","translated"
"actions.deeperTools","Deeper tools and workflows","深入工具和工作流","translated"
"actions.newAddress","New Address","新地址","translated"
"actions.newAddressDescription","Generate a new address","生成新地址","translated"
"actions.quantumroot","Quantumroot","Quantumroot","stable-term"
"actions.quantumrootBadge","Beta production","生产测试版","translated"
"actions.quantumrootDescription","Quantum-ready vaults","面向量子的保险库","translated"
"actions.receive","Receive","接收","translated"
"actions.receiveDescription","Receive BCH or CashTokens","接收 BCH 或 CashTokens","translated"
"actions.scanQr","Scan QR","扫描二维码","translated"
"actions.scanQrDescription","Sweep paper wallets","扫描纸钱包","translated"
"actions.send","Send","发送","translated"
"actions.sendDescription","Send BCH or CashTokens","发送 BCH 或 CashTokens","translated"
"actions.subtitle","Simple wallet actions for everyday use","日常使用的钱包快捷操作","translated"
"actions.taskMode","Task mode","任务模式","translated"
"actions.taskModeDescription","Basic tasks first, advanced tools one step deeper","先处理基础任务，进阶工具位于下一层","translated"
"actions.title","Actions","操作","stable-term"
"actions.transactionBuilder","Transaction Builder","交易构建器","translated"
"actions.transactionBuilderDescription","Build custom transactions","构建自定义交易","translated"
"actions.walletConnect","WalletConnect","WalletConnect","stable-term"
"actions.walletConnectDescription","Manage dApp sessions","管理 dApp 会话","translated"
"actions.wizardConnect","WizardConnect","WizardConnect","stable-term"
"actions.wizardConnectDescription","XPub-key-enabled dApp sessions","支持 XPub 的 dApp 会话","translated"
"addons.description","Addons run in a sandboxed frame with no access to your wallet's keys or memory — they can only do what the permissions you approve allow.","插件在沙盒框架中运行，无法访问钱包密钥或内存；它们只能执行你批准的权限允许的操作。","translated"
"addons.desktopOnly","Installing addons from a folder is only available on desktop.","只能在桌面端从文件夹安装插件。","translated"
"addons.installed","Installed addons","已安装的插件","translated"
"addons.installedStatus","Installed “{name}”. Restart the app to load it.","已安装“{name}”。重启应用以加载它。","translated"
"addons.installFolder","Install from folder…","从文件夹安装…","translated"
"addons.installing","Installing…","安装中…","translated"
"addons.none","No addons installed.","未安装插件。","translated"
"addons.uninstall","Uninstall","卸载","translated"
"addons.uninstalledStatus","Uninstalled. Restart the app for it to fully disappear.","已卸载。重启应用后才会完全消失。","translated"
"app.back","Back","返回","translated"
"app.close","Close","关闭","translated"
"app.confirmLogout","Confirm Logout","确认退出","translated"
"app.confirmLogoutDescription","Confirm logout to remove this wallet from the device.","确认退出以从设备中移除此钱包。","translated"
"app.help","Help","帮助","translated"
"app.language","Language","语言","translated"
"app.languageDescription","Choose the wallet interface language","选择钱包界面语言","translated"
"app.logOut","Log Out","退出登录","translated"
"app.quickAccess","Quick access","快捷访问","translated"
"app.settings","Settings","设置","translated"
"app.toggleTheme","Toggle theme","切换主题","translated"
"appLock.cancel","Cancel","取消","translated"
"appLock.checking","Checking…","检查中…","translated"
"appLock.confirm","Confirm","确认","translated"
"appLock.confirmPassword","Confirm password","确认密码","translated"
"appLock.incorrect","Incorrect passphrase. Try again.","密码不正确，请重试。","translated"
"appLock.password","Password","密码","translated"
"appLock.revealBackup","Enter your password to reveal the backup phrase.","输入密码以显示备份短语。","translated"
"appLock.verificationFailed","Verification failed. Please try again.","验证失败，请重试。","translated"
"apps.addonLoadFailed","Addon failed to load","插件加载失败","translated"
"apps.advanced","Advanced","高级","translated"
"apps.all","All","全部","translated"
"apps.allowCapabilities","Allow {name} capabilities?","允许 {name} 使用这些钱包权限吗？","translated"
"apps.allowOnce","Allow once","仅允许一次","translated"
"apps.allowSensitiveAction","Allow sensitive action?","允许敏感操作吗？","translated"
"apps.alwaysAllow","Always allow","始终允许","translated"
"apps.appDefinition","App definition","应用定义","translated"
"apps.approveCapabilities","Approve required capabilities to continue.","请批准所需权限以继续。","translated"
"apps.back","Back","返回","translated"
"apps.browse","Browse apps","浏览应用","translated"
"apps.browseSubtitle","Wallet first, then tokens, utils, and advanced platforms","先看钱包，再看代币、工具和高级平台","translated"
"apps.capabilitiesMessage","This addon app is requesting wallet capabilities before launch.","此插件应用在启动前请求钱包权限。","translated"
"apps.capability","Capability:","权限：","translated"
"apps.capability.addOutputs","Construct transaction outputs","构造交易输出","translated"
"apps.capability.addressUtxosRead","Read UTXOs for wallet addresses","读取钱包地址对应的 UTXO","translated"
"apps.capability.addressUtxosRefresh","Refresh and store UTXOs for wallet addresses","刷新并保存钱包地址对应的 UTXO","translated"
"apps.capability.broadcastTransactions","Broadcast transactions","广播交易","translated"
"apps.capability.buildTransactions","Build transactions","构建交易","translated"
"apps.capability.fetchJson","Fetch JSON over HTTP","通过 HTTP 获取 JSON","translated"
"apps.capability.signatureTemplates","Create signature templates","创建签名模板","translated"
"apps.capability.signMessages","Sign messages with wallet keys","使用钱包密钥签名消息","translated"
"apps.capability.tokenHoldersRead","Read TokenIndex holder lists","读取 TokenIndex 持有者列表","translated"
"apps.capability.tokenMetadataRead","Read CashToken metadata","读取 CashToken 元数据","translated"
"apps.capability.walletAddressesRead","Read wallet addresses","读取钱包地址","translated"
"apps.capability.walletContextRead","Read wallet context","读取钱包上下文","translated"
"apps.capability.walletUtxosRead","Read wallet UTXOs","读取钱包 UTXO","translated"
"apps.capabilityRequested","{name} requested: {capability}.","{name} 请求：{capability}。","translated"
"apps.cashFusionDescription","Private CoinJoin — server or P2P over Nostr + Tor","私密 CoinJoin — 通过服务器或 Nostr + Tor 使用 P2P","translated"
"apps.chatDescription","Private end-to-end encrypted Nostr messaging","Nostr 端到端加密私密消息","translated"
"apps.comingSoon","Coming soon","即将推出","translated"
"apps.contractsDescription","Browse artifacts and manage deployed instances","浏览合约构件并管理已部署实例","translated"
"apps.deny","Deny","拒绝","translated"
"apps.empty","No apps in this category.","此类别中没有应用。","translated"
"apps.expectedScreen","Expected config.screen (or app.id) to map to a built-in app implementation.","config.screen（或 app.id）必须对应内置应用实现。","translated"
"apps.failedToLoad","Failed to load app","应用加载失败","translated"
"apps.goToLanding","Go to Landing","前往首页","translated"
"apps.loadFailed","Failed to load addon apps","加载插件应用失败","translated"
"apps.loadingAddon","Loading addon…","正在加载插件…","translated"
"apps.loadingApp","Loading app…","正在加载应用…","translated"
"apps.noWallet","No wallet selected","未选择钱包","translated"
"apps.permissionDenied","Permission denied. App launch was blocked.","权限被拒绝，应用启动已阻止。","translated"
"apps.quantumrootDescription","Receive and recovery tools for advanced vaults","高级金库的收款和恢复工具","translated"
"apps.resolvedScreenId","Resolved screen ID","解析后的屏幕 ID","translated"
"apps.subtitle","Extend your wallet with tools","使用工具扩展钱包","translated"
"apps.title","Apps","应用","translated"
"apps.token","Token","代币","stable-term"
"apps.unsupportedAppKind","Unsupported app kind:","不支持的应用类型：","translated"
"apps.unsupportedDeclarativeApp","Unsupported declarative app:","不支持的声明式应用：","translated"
"apps.utils","Utils","工具","translated"
"apps.waitingPermission","Waiting for app permission","正在等待应用权限","translated"
"apps.wallet","Wallet","钱包","stable-term"
"assets.advancedVaultDescription","Receive and recovery tools for advanced vaults","高级保险库的接收和恢复工具","translated"
"assets.advancedVaultWorkspace","Advanced vault workspace","高级保险库工作区","translated"
"assets.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"assets.cashTokenHoldings","CashToken holdings","CashToken 持仓","translated"
"assets.cashTokens","CashTokens","CashTokens","stable-term"
"assets.categories","categories","类别","translated"
"assets.chipnet","Chipnet","Chipnet","stable-term"
"assets.fungible","fungible","同质化","translated"
"assets.fungibleHoldings","Fungible token holdings","同质化代币持仓","translated"
"assets.mintingNfts","Minting NFTs","铸造型 NFT","translated"
"assets.mintingNftsDescription","Authority to mint additional NFTs in this category","拥有在此类别中铸造更多 NFT 的权限","translated"
"assets.mintTokens","Mint Tokens","铸造代币","translated"
"assets.mutableNfts","Mutable NFTs","可变 NFT","translated"
"assets.mutableNftsDescription","Commitment may be changed by the holder","持有者可以更改承诺值","translated"
"assets.nfts","NFTs","NFT","stable-term"
"assets.noFungibleTokens","No fungible CashTokens found.","未找到同质化 CashToken。","translated"
"assets.noNfts","No NFTs found.","未找到 NFT。","translated"
"assets.nonFungibleHoldings","Non-fungible holdings","非同质化资产持仓","translated"
"assets.openVaults","Open vaults","打开保险库","translated"
"assets.plainNfts","Plain NFTs","普通 NFT","translated"
"assets.plainNftsDescription","Fixed commitment; cannot be changed or used to mint","承诺值固定，无法更改或用于铸造","translated"
"assets.primaryBalance","Primary wallet balance","钱包主余额","translated"
"assets.quantumroot","Quantumroot","Quantumroot","stable-term"
"assets.quickInventory","Quick view of your wallet inventory","快速查看钱包资产","translated"
"assets.tabBch","BCH","BCH","stable-term"
"assets.tabNfts","NFTs","NFT","stable-term"
"assets.tabTokens","Tokens","代币","stable-term"
"assets.title","Assets","资产","translated"
"assets.toggleBalance","Toggle BCH and USD balance","切换 BCH 和 USD 余额","translated"
"assets.units","units","单位","translated"
"assets.usdPriceUnavailable","USD price unavailable","USD 价格不可用","translated"
"assets.usdUnavailable","USD unavailable","USD 不可用","translated"
"assets.vaultWorkspace","Vault workspace","保险库工作区","translated"
"bip37.addressesWithCoins","address(es) with coins","个有余额的地址","translated"
"bip37.blocks","blocks","个区块","stable-term"
"bip37.fromNode","BCH from the node ✓","来自节点的 BCH ✓","translated"
"bip37.height","height","高度","translated"
"bip37.inUse","● in use","● 使用中","translated"
"bip37.node","Node","节点","stable-term"
"bip37.notServes","Does not serve BIP37 ✗ (bloom filtering off)","不支持 BIP37 ✗（Bloom 过滤已关闭）","translated"
"bip37.probe","Probe","探测","translated"
"bip37.probing","Probing…","探测中…","translated"
"bip37.protocol","protocol","协议","translated"
"bip37.remove","Remove","移除","translated"
"bip37.scanned","scanned","已扫描","translated"
"bip37.serves","Serves BIP37 ✓","支持 BIP37 ✓","translated"
"bip37.sync","Sync","同步","translated"
"bip37.syncing","Syncing…","同步中…","translated"
"bip37.syncingDetails","Syncing headers + scanning blocks via the node…","正在同步区块头并通过节点扫描区块…","translated"
"bip37.use","Use","使用","translated"
"bip37.useBalanceTitle","Derive this wallet's balance directly from the node (trustless SPV)","直接从节点推导钱包余额（无需信任的 SPV）","translated"
"bip37.useNodeTitle","Use ONLY this node for wallet data (trustless; Electrum servers are not consulted)","仅使用此节点获取钱包数据（无需信任；不会查询 Electrum 服务器）","translated"
"bip37.verified","Verified trustlessly: every matched tx proven by its block's merkle proof.","已验证，无需信任：每笔匹配交易都由其区块的 Merkle 证明确认。","translated"
"bip37.watching","watching","监视","translated"
"builder.addFirstRecipient","Add your first recipient","添加第一个收款人","translated"
"builder.addOpReturnOutput","Add OP_RETURN Output","添加 OP_RETURN 输出","translated"
"builder.addOutput","Add Output","添加输出","translated"
"builder.addRecipient","Add recipient","添加收款人","translated"
"builder.addRecipients","Add recipients","添加收款人","translated"
"builder.addRecipientsDescription","Add BCH recipients, token transfers, collectibles, or an optional message output.","添加 BCH 收款人、代币转账、收藏品或可选的消息输出。","translated"
"builder.address","Address","地址","translated"
"builder.amount","Amount","金额","translated"
"builder.amountToSend","Amount to send","发送金额","translated"
"builder.attachMessage","Attach message","附加消息","translated"
"builder.back","Back","返回","translated"
"builder.bchAddress","BCH address","BCH 地址","translated"
"builder.bchAmountSats","BCH amount (sats)","BCH 金额（sat）","translated"
"builder.bchFunds","BCH funds","BCH 资金","translated"
"builder.broadcastedSuccess","Your transaction was broadcast successfully!","交易已成功广播！","translated"
"builder.buildTransaction","Build Transaction","构建交易","translated"
"builder.buildTx","Build TX","构建 TX","translated"
"builder.capability","Capability","能力","translated"
"builder.category","Category","类别","translated"
"builder.chooseSource","Choose a source","选择来源","translated"
"builder.chooseSourceDescription","Pick wallet addresses for normal sends, or contracts for script spends.","普通发送请选择钱包地址，脚本花费请选择合约。","translated"
"builder.chooseSourceHelp","Choose source","选择来源","translated"
"builder.close","Close","关闭","translated"
"builder.collectibleAmount","Collectible amount","收藏品数量","translated"
"builder.commitment","Commitment","承诺值","translated"
"builder.configureCollectible","Configure collectible","配置收藏品","translated"
"builder.confirmAndSend","Confirm and Send Transaction","确认并发送交易","translated"
"builder.confirmTransaction","Confirm Transaction","确认交易","translated"
"builder.contract","Contract","合约","translated"
"builder.contractAddress","Contract address","合约地址","translated"
"builder.contractAssets","Contract assets","合约资产","translated"
"builder.contractFunction","Contract Function","合约函数","translated"
"builder.contractFunds","Contract funds","合约资金","translated"
"builder.contracts","Contracts","合约","translated"
"builder.contractSourceCount","{count} contract source(s)","合约来源 {count} 个","translated"
"builder.contractSourcePlural","{count} contract sources","合约来源 {count} 个","translated"
"builder.contractSources","Contract sources","合约来源","translated"
"builder.contractSourceSingular","{count} contract source","合约来源 {count} 个","translated"
"builder.copyToClipboard","Copy to clipboard","复制到剪贴板","translated"
"builder.createCollectible","Create collectible","创建收藏品","translated"
"builder.createToken","Create token","创建代币","translated"
"builder.customSend","Custom Send","自定义发送","translated"
"builder.decodeFailed","Unable to decode transaction. Showing raw hex:","无法解码交易，正在显示原始十六进制：","translated"
"builder.dragToConfirm","Drag to Confirm","拖动以确认","translated"
"builder.enterTokenAmount","Enter amount (max {amount})","输入数量（最大 {amount}）","translated"
"builder.estimatedNetworkFee","Estimated network fee","预计网络费用","translated"
"builder.feeReserve","Leaving a {count} sat fee reserve.","预留 {count} sat 作为费用。","translated"
"builder.flow","Flow","流程","translated"
"builder.flowDescription","Pick a source, choose funds, add recipients, then preview the final transaction before sending.","选择来源、选择资金、添加收款人，然后在发送前预览最终交易。","translated"
"builder.fundsSelected","Funds selected","已选资金","translated"
"builder.fungibleAmount","Fungible Amount","同质化代币数量","translated"
"builder.fungibleTokens","Fungible Tokens","同质化代币","translated"
"builder.genesisCollectible","Genesis input for this collectible","此收藏品的创世输入","translated"
"builder.genesisInput","Genesis input for this token","此代币的创世输入","translated"
"builder.help","Help","帮助","translated"
"builder.howWorks","How this works","使用方式","translated"
"builder.inputs","Inputs","输入","translated"
"builder.leftoverBchPlaceholder","Wallet address for leftover BCH","剩余 BCH 的钱包地址","translated"
"builder.max","Max","最大值","translated"
"builder.maxSpendable","Set to maximum spendable (leaves 2000 sats for fees)","设置为最大可用金额（为费用保留 2000 sat）","translated"
"builder.missingUnlocker","Missing unlocker!","缺少解锁器！","translated"
"builder.next","Next","下一步","translated"
"builder.nftCapability","NFT Capability","NFT 能力","translated"
"builder.nftCommitment","NFT Commitment","NFT 承诺值","translated"
"builder.noContractAddresses","No contract addresses available.","没有可用的合约地址。","translated"
"builder.noFundsSelected","No funds selected yet.","尚未选择资金。","translated"
"builder.none","None","无","translated"
"builder.nonFungibleTokens","Non-Fungible Tokens","非同质化代币","translated"
"builder.noOutputs","No outputs added yet.","尚未添加输出。","translated"
"builder.noQrCode","No QR code detected. Please try again.","未检测到二维码，请重试。","translated"
"builder.noSpendableBalance","No spendable balance after fee reserve","预留费用后没有可花费余额","translated"
"builder.noUtxosSelected","No UTXOs selected.","尚未选择 UTXO。","translated"
"builder.noWalletAddresses","No wallet addresses available.","没有可用的钱包地址。","translated"
"builder.opReturnData","OP_RETURN Data","OP_RETURN 数据","translated"
"builder.opReturnEmpty","OP_RETURN data cannot be empty.","OP_RETURN 数据不能为空。","translated"
"builder.opReturnOutput","OP_RETURN Output","OP_RETURN 输出","translated"
"builder.opReturnPlaceholder","Enter space-separated ASCII words","输入以空格分隔的 ASCII 单词","translated"
"builder.outputs","Outputs","输出","translated"
"builder.paperWallet","Paper Wallet","纸钱包","translated"
"builder.paperWalletUtxos","Paper Wallet UTXOs","纸钱包 UTXO","translated"
"builder.pickFunds","Pick funds","选择资金","translated"
"builder.pickFundsDescription","Select the BCH, tokens, or collectibles that will fund this transaction.","选择用于支付本次交易的 BCH、代币或收藏品。","translated"
"builder.rawTransactionDetails","Raw Transaction Details","原始交易详情","translated"
"builder.ready","Ready","就绪","translated"
"builder.recipient","{count} recipient","收款人 {count} 个","translated"
"builder.recipientAddress","Recipient Address","收款人地址","translated"
"builder.recipientCount","{count} recipients","收款人 {count} 个","translated"
"builder.recipients","Recipients","收款人","translated"
"builder.recipientsAdded","Recipients added","已添加收款人","translated"
"builder.remove","Remove","移除","translated"
"builder.removeAllRecipients","Remove all recipients","移除所有收款人","translated"
"builder.returnLeftover","Return leftover funds to","将剩余资金退回到","translated"
"builder.reviewAndSend","Review and send","检查并发送","translated"
"builder.reviewAndSendDescription","Preview first, then send only when the summary looks right.","先预览，确认摘要无误后再发送。","translated"
"builder.reviewFunds","Review funds","检查资金","translated"
"builder.reviewRecipients","Review recipients","检查收款人","translated"
"builder.scanQrCode","Scan QR Code","扫描二维码","translated"
"builder.selectedFunds","Selected funds","已选资金","translated"
"builder.selectedItem","{count} selected item","已选择 {count} 个项目","translated"
"builder.selectedItems","{count} selected items","已选择 {count} 个项目","translated"
"builder.selectGenesisInput","Select genesis input","选择创世输入","translated"
"builder.selectSource","Select a source to continue.","请选择来源继续。","translated"
"builder.sendBch","Send BCH","发送 BCH","translated"
"builder.sendTx","Send TX","发送 TX","translated"
"builder.sendWarning","You are about to send a transaction. Please confirm that all details are correct. This action cannot be undone.","你即将发送交易，请确认所有详情正确。此操作无法撤销。","translated"
"builder.sourcesChosen","Sources chosen","已选来源","translated"
"builder.step","Step {number}","步骤 {number}","translated"
"builder.token","Token","代币","translated"
"builder.tokenAddress","Token address","代币地址","translated"
"builder.tokenAmount","Token Amount","代币数量","translated"
"builder.tokenCategory","Token Category","代币类别","translated"
"builder.tokenCategoryLabel","Token Category","代币类别","translated"
"builder.tokensCollectibles","Tokens & collectibles","代币和收藏品","translated"
"builder.transactionError","Transaction Error","交易错误","translated"
"builder.transactionSubmitted","Transaction Submitted","交易已提交","translated"
"builder.transactionSubmittedDescription","Your transaction has been submitted. Use this txid as the reference and avoid sending it again.","交易已提交。请保留此 txid 作为参考，避免重复发送。","translated"
"builder.transactionSuccessful","Transaction Successful","交易成功","translated"
"builder.transferMinimum","Transfer amount must be at least {count}.","转账金额必须至少为 {count}。","translated"
"builder.tryAgain","Try Again","重试","translated"
"builder.txHash","Tx Hash","交易哈希","translated"
"builder.txId","TX ID","交易 ID","translated"
"builder.viewExplorer","View on Explorer","在浏览器中查看","translated"
"builder.wallet","Wallet","钱包","translated"
"builder.walletAssets","Wallet assets","钱包资产","translated"
"builder.walletFunds","Wallet funds","钱包资金","translated"
"builder.walletSourceCount","{count} wallet source(s)","钱包来源 {count} 个","translated"
"builder.walletSourcePlural","{count} wallet sources","钱包来源 {count} 个","translated"
"builder.walletSources","Wallet sources","钱包来源","translated"
"builder.walletSourceSingular","{count} wallet source","钱包来源 {count} 个","translated"
"builder.warning","⚠️ Warning","⚠️ 警告","translated"
"camera.cancel","Cancel","取消","translated"
"camera.scan","Scan QR with camera","使用相机扫描二维码","translated"
"camera.unavailable","Camera unavailable: {error}. Use Upload instead.","相机不可用：{error}。请改用上传。","translated"
"cauldron.active","active","活跃","translated"
"cauldron.description","Detected from the active wallet receive/change/DeFi address set through the Cauldron indexer.","通过 Cauldron 索引器，从当前钱包的接收、找零和 DeFi 地址集合中检测。","translated"
"cauldron.positions","Cauldron positions","Cauldron 仓位","translated"
"cauldron.tokenCategories","token categories","代币类别","translated"
"chat.back","Back to conversations","返回会话列表","translated"
"chat.choosePhoto","Choose photo","选择照片","translated"
"chat.copyNpub","Copy npub","复制 npub","translated"
"chat.displayName","Display name","显示名称","translated"
"chat.emptyDescription","Pick a conversation, or tap + to message someone by their npub. Messages are end-to-end encrypted over Nostr.","选择一个会话，或点击 + 通过 npub 给某人发消息。消息通过 Nostr 端到端加密。","translated"
"chat.encrypted","End-to-end encrypted","端到端加密","translated"
"chat.messagePlaceholder","Message…","消息…","stable-term"
"chat.newChat","New chat","新聊天","translated"
"chat.newConversation","New conversation","新会话","translated"
"chat.noConversations","No conversations yet. Tap + to start one.","暂无会话。点击 + 开始聊天。","translated"
"chat.noMessages","No messages yet. Say hi — messages are end-to-end encrypted.","暂无消息。打个招呼吧——消息已端到端加密。","translated"
"chat.open","Open","打开","translated"
"chat.privateConversations","Your private conversations","你的私密会话","translated"
"chat.privateMessaging","Private Nostr messaging","Nostr 私密消息","translated"
"chat.profile","Profile","个人资料","translated"
"chat.profilePublished","Profile published ✓","个人资料已发布 ✓","translated"
"chat.publishProfile","Publish profile","发布个人资料","translated"
"chat.recipient","Recipient npub…","收件人 npub…","translated"
"chat.searchConversations","Search conversations","搜索会话","translated"
"chat.send","Send","发送","translated"
"chat.setup","Nostr setup","Nostr 设置","translated"
"chat.title","Chat","聊天","translated"
"chat.youPrefix","You: ","你：","translated"
"chat.yourNpub","Your npub","你的 npub","translated"
"confirm.action","Confirm action","确认操作","translated"
"confirm.cancel","Cancel","取消","translated"
"confirm.ok","OK","确定","stable-term"
"console.appLog","App Log","应用日志","translated"
"console.clear","Clear","清除","translated"
"console.noEntries","No log entries yet.","暂无日志条目。","translated"
"console.placeholder","method [params…]","方法 [参数…]","stable-term"
"console.rpc","Electrum RPC","Electrum RPC","stable-term"
"console.send","Send","发送","translated"
"console.sending","…","…","stable-term"
"console.typeHint","Type: method param1 param2 — e.g. server.version or blockchain.headers.subscribe","输入：方法 参数1 参数2 — 例如 server.version 或 blockchain.headers.subscribe","translated"
"contract.arbiter","Arbiter: A trusted party who authorizes release of funds.","仲裁者：授权释放资金的可信方。","translated"
"contract.available","Available Contracts","可用合约","translated"
"contract.bip38","BIP38 (Password-Protected Private Keys)","BIP38（密码保护的私钥）","translated"
"contract.bip38Desc","The BIP38 contract secures private keys with a password. Its UTXOs require both the correct password and a valid signature.","BIP38 合约使用密码保护私钥。其 UTXO 需要正确密码和有效签名才能使用。","translated"
"contract.bip38Spending","Spending Requirements: Provide a valid owner signature and a data signature verifying the password.","支出要求：提供有效的所有者签名和验证密码的数据签名。","translated"
"contract.bip38UseCase","Use Case: Ideal for protecting private keys against theft or unauthorized access, especially for long-term storage.","用途：适合防止私钥被盗或未经授权访问，尤其适用于长期存储。","translated"
"contract.enhancedTrust","Enhanced Trust: Useful for transactions requiring multiple trusted parties.","增强信任：适合需要多方可信参与者的复杂交易。","translated"
"contract.escrow","Escrow","托管","stable-term"
"contract.escrowDesc","The Escrow contract supports secure transactions between a buyer and seller with a trusted arbiter. Funds are released only with the arbiter’s approval.","托管合约在买方、卖方和可信仲裁者之间提供安全交易。只有仲裁者批准后资金才会释放。","translated"
"contract.escrowMS2","EscrowMS2 (Multi-Party Escrow)","EscrowMS2（多方托管）","stable-term"
"contract.escrowMS2Desc","EscrowMS2 extends escrow with two arbiters. Funds can be released with one arbiter’s approval or both arbiters’ combined approval.","EscrowMS2 在基础托管上支持两名仲裁者。资金可以由一名仲裁者批准，或由两名仲裁者共同批准后释放。","translated"
"contract.escrowMS2Spending","Spending Requirements: One arbiter or both arbiters provide valid signatures, and the full amount goes to the buyer or seller.","支出要求：一名或两名仲裁者提供有效签名，全部金额发送给买方或卖方。","translated"
"contract.escrowSecurity","Security: Funds remain locked until the arbiter approves, helping prevent fraud or disputes.","安全性：资金在仲裁者批准前保持锁定，有助于防止欺诈或争议。","translated"
"contract.escrowSpending","Spending Requirements: The arbiter provides a valid signature and the full amount goes to the buyer’s or seller’s public-key-hash address.","支出要求：仲裁者提供有效签名，全部金额发送到买方或卖方的公钥哈希地址。","translated"
"contract.howToUse","How to Use Covenant Contracts","如何使用 Covenant 合约","translated"
"contract.howToUseText","Open the Contracts section, choose a contract type, configure its conditions, and deploy it. To spend from contract UTXOs, meet the specific spending requirements above. Detailed instructions and examples are available in the app documentation.","打开“合约”部分，选择合约类型，配置条件并部署。要从合约 UTXO 支出，请满足上述具体要求。应用文档提供了详细说明和示例。","translated"
"contract.intro","Covenant contracts in the OPTN Wallet are smart contracts that enforce rules for spending digital assets. Each contract locks funds in UTXOs that can only be spent by meeting predefined conditions.","OPTN Wallet 中的 covenant 合约是对数字资产支出规则进行约束的智能合约。每个合约都会将资金锁定在 UTXO 中，只有满足预定义条件才能使用。","translated"
"contract.msvault","MSVault (Multi-Signature Vault)","MSVault（多签金库）","stable-term"
"contract.msvaultDesc","MSVault creates a secure shared or long-term vault requiring multiple signatures and a password. It enforces a minimum balance and time lock.","MSVault 创建用于长期或共享存储的安全金库，需要多重签名和密码，并强制最低余额和时间锁。","translated"
