"key","English (en)","Portuguese (Brazil) (pt-BR)","Status"
"about.security","Security","Segurança","translated"
"about.securityText","Bitcoin covenant features help protect assets from unauthorized transactions.","Os recursos de covenant do Bitcoin ajudam a proteger ativos contra transações não autorizadas.","translated"
"about.unmatched","Unmatched Security","Segurança incomparável","translated"
"about.unmatchedText","Define exactly how funds can be spent with Bitcoin covenants.","Defina exatamente como os fundos podem ser gastos com covenants Bitcoin.","translated"
"about.viewing","Viewing Covenants","Visualizar covenants","translated"
"about.viewingText","Review the rules that govern transactions so you can understand how your funds are protected.","Revise as regras que controlam as transações para entender como seus fundos são protegidos.","translated"
"about.why","Why Choose OPTN Wallet?","Por que escolher o OPTN Wallet?","translated"
"about.wiki","Bitcoin Covenants Wiki","Wiki de covenants Bitcoin","translated"
"actions.advanced","Advanced","Avançado","translated"
"actions.advancedActions","Advanced Actions","Ações avançadas","translated"
"actions.basic","Basic","Básico","translated"
"actions.basicActions","Basic Actions","Ações básicas","translated"
"actions.cashTokens","CashTokens","CashTokens","stable-term"
"actions.cashTokensDescription","Manage token families","Gerenciar famílias de tokens","translated"
"actions.commonWalletTasks","Common wallet tasks","Tarefas comuns da carteira","translated"
"actions.contracts","Contracts","Contratos","translated"
"actions.contractsDescription","Manage contract instances","Gerenciar instâncias de contratos","translated"
"actions.deeperTools","Deeper tools and workflows","Ferramentas e fluxos avançados","translated"
"actions.newAddress","New Address","Novo endereço","translated"
"actions.newAddressDescription","Generate a new address","Gerar um novo endereço","translated"
"actions.quantumroot","Quantumroot","Quantumroot","stable-term"
"actions.quantumrootBadge","Beta production","Beta em produção","translated"
"actions.quantumrootDescription","Quantum-ready vaults","Cofres preparados para o pós-quântico","translated"
"actions.receive","Receive","Receber","translated"
"actions.receiveDescription","Receive BCH or CashTokens","Receber BCH ou CashTokens","translated"
"actions.scanQr","Scan QR","Ler QR","translated"
"actions.scanQrDescription","Sweep paper wallets","Varrer carteiras de papel","translated"
"actions.send","Send","Enviar","translated"
"actions.sendDescription","Send BCH or CashTokens","Enviar BCH ou CashTokens","translated"
"actions.subtitle","Simple wallet actions for everyday use","Ações simples para o uso diário da carteira","translated"
"actions.taskMode","Task mode","Modo de tarefas","translated"
"actions.taskModeDescription","Basic tasks first, advanced tools one step deeper","Comece pelas tarefas básicas; as ferramentas avançadas ficam um nível abaixo","translated"
"actions.title","Actions","Ações","stable-term"
"actions.transactionBuilder","Transaction Builder","Construtor de transações","translated"
"actions.transactionBuilderDescription","Build custom transactions","Criar transações personalizadas","translated"
"actions.walletConnect","WalletConnect","WalletConnect","stable-term"
"actions.walletConnectDescription","Manage dApp sessions","Gerenciar sessões de dApps","translated"
"actions.wizardConnect","WizardConnect","WizardConnect","stable-term"
"actions.wizardConnectDescription","XPub-key-enabled dApp sessions","Sessões de dApps habilitadas por chave XPub","translated"
"addons.description","Addons run in a sandboxed frame with no access to your wallet's keys or memory — they can only do what the permissions you approve allow.","Add-ons executam em um frame isolado, sem acesso às chaves ou à memória da carteira — só podem fazer o que as permissões aprovadas permitem.","translated"
"addons.desktopOnly","Installing addons from a folder is only available on desktop.","Instalar add-ons de uma pasta só está disponível no desktop.","translated"
"addons.installed","Installed addons","Add-ons instalados","translated"
"addons.installedStatus","Installed “{name}”. Restart the app to load it.","“{name}” instalado. Reinicie o app para carregá-lo.","translated"
"addons.installFolder","Install from folder…","Instalar de uma pasta…","translated"
"addons.installing","Installing…","Instalando…","translated"
"addons.none","No addons installed.","Nenhum add-on instalado.","translated"
"addons.uninstall","Uninstall","Desinstalar","translated"
"addons.uninstalledStatus","Uninstalled. Restart the app for it to fully disappear.","Desinstalado. Reinicie o app para removê-lo completamente.","translated"
"app.back","Back","Voltar","translated"
"app.close","Close","Fechar","translated"
"app.confirmLogout","Confirm Logout","Confirmar saída","translated"
"app.confirmLogoutDescription","Confirm logout to remove this wallet from the device.","Confirme a saída para remover esta carteira do dispositivo.","translated"
"app.help","Help","Ajuda","translated"
"app.language","Language","Idioma","translated"
"app.languageDescription","Choose the wallet interface language","Escolha o idioma da interface da carteira","translated"
"app.logOut","Log Out","Sair","translated"
"app.quickAccess","Quick access","Acesso rápido","translated"
"app.settings","Settings","Configurações","translated"
"app.toggleTheme","Toggle theme","Alternar tema","translated"
"appLock.cancel","Cancel","Cancelar","translated"
"appLock.checking","Checking…","Verificando…","translated"
"appLock.confirm","Confirm","Confirmar","translated"
"appLock.confirmPassword","Confirm password","Confirmar senha","translated"
"appLock.incorrect","Incorrect passphrase. Try again.","Frase incorreta. Tente novamente.","translated"
"appLock.password","Password","Senha","translated"
"appLock.revealBackup","Enter your password to reveal the backup phrase.","Digite sua senha para revelar a frase de backup.","translated"
"appLock.verificationFailed","Verification failed. Please try again.","Falha na verificação. Tente novamente.","translated"
"apps.addonLoadFailed","Addon failed to load","Falha ao carregar o add-on","translated"
"apps.advanced","Advanced","Avançados","translated"
"apps.all","All","Todos","translated"
"apps.allowCapabilities","Allow {name} capabilities?","Permitir as capacidades de {name}?","translated"
"apps.allowOnce","Allow once","Permitir uma vez","translated"
"apps.allowSensitiveAction","Allow sensitive action?","Permitir ação sensível?","translated"
"apps.alwaysAllow","Always allow","Permitir sempre","translated"
"apps.appDefinition","App definition","Definição do app","translated"
"apps.approveCapabilities","Approve required capabilities to continue.","Aprove as capacidades necessárias para continuar.","translated"
"apps.back","Back","Voltar","translated"
"apps.browse","Browse apps","Explorar apps","translated"
"apps.browseSubtitle","Wallet first, then tokens, utils, and advanced platforms","Primeiro a carteira, depois tokens, utilitários e plataformas avançadas","translated"
"apps.capabilitiesMessage","This addon app is requesting wallet capabilities before launch.","Este app de add-on está solicitando capacidades da carteira antes de iniciar.","translated"
"apps.capability","Capability:","Capacidade:","translated"
"apps.capability.addOutputs","Construct transaction outputs","Construir saídas de transação","translated"
"apps.capability.addressUtxosRead","Read UTXOs for wallet addresses","Ler UTXOs dos endereços da carteira","translated"
"apps.capability.addressUtxosRefresh","Refresh and store UTXOs for wallet addresses","Atualizar e armazenar UTXOs dos endereços da carteira","translated"
"apps.capability.broadcastTransactions","Broadcast transactions","Transmitir transações","translated"
"apps.capability.buildTransactions","Build transactions","Construir transações","translated"
"apps.capability.fetchJson","Fetch JSON over HTTP","Buscar JSON por HTTP","translated"
"apps.capability.signatureTemplates","Create signature templates","Criar modelos de assinatura","translated"
"apps.capability.signMessages","Sign messages with wallet keys","Assinar mensagens com as chaves da carteira","translated"
"apps.capability.tokenHoldersRead","Read TokenIndex holder lists","Ler listas de detentores do TokenIndex","translated"
"apps.capability.tokenMetadataRead","Read CashToken metadata","Ler metadados de CashToken","translated"
"apps.capability.walletAddressesRead","Read wallet addresses","Ler endereços da carteira","translated"
"apps.capability.walletContextRead","Read wallet context","Ler contexto da carteira","translated"
"apps.capability.walletUtxosRead","Read wallet UTXOs","Ler UTXOs da carteira","translated"
"apps.capabilityRequested","{name} requested: {capability}.","{name} solicitou: {capability}.","translated"
"apps.cashFusionDescription","Private CoinJoin — server or P2P over Nostr + Tor","CoinJoin privado — servidor ou P2P via Nostr + Tor","translated"
"apps.chatDescription","Private end-to-end encrypted Nostr messaging","Mensagens Nostr privadas e criptografadas de ponta a ponta","translated"
"apps.comingSoon","Coming soon","Em breve","translated"
"apps.contractsDescription","Browse artifacts and manage deployed instances","Explorar artefatos e gerenciar instâncias implantadas","translated"
"apps.deny","Deny","Negar","translated"
"apps.empty","No apps in this category.","Nenhum app nesta categoria.","translated"
"apps.expectedScreen","Expected config.screen (or app.id) to map to a built-in app implementation.","config.screen (ou app.id) deveria mapear para uma implementação interna de app.","translated"
"apps.failedToLoad","Failed to load app","Falha ao carregar o app","translated"
"apps.goToLanding","Go to Landing","Ir para a tela inicial","translated"
"apps.loadFailed","Failed to load addon apps","Falha ao carregar apps de add-on","translated"
"apps.loadingAddon","Loading addon…","Carregando add-on…","translated"
"apps.loadingApp","Loading app…","Carregando app…","translated"
"apps.noWallet","No wallet selected","Nenhuma carteira selecionada","translated"
"apps.permissionDenied","Permission denied. App launch was blocked.","Permissão negada. O início do app foi bloqueado.","translated"
"apps.quantumrootDescription","Receive and recovery tools for advanced vaults","Ferramentas de recebimento e recuperação para cofres avançados","translated"
"apps.resolvedScreenId","Resolved screen ID","ID de tela resolvido","translated"
"apps.subtitle","Extend your wallet with tools","Estenda sua carteira com ferramentas","translated"
"apps.title","Apps","Aplicativos","translated"
"apps.token","Token","Token","stable-term"
"apps.unsupportedAppKind","Unsupported app kind:","Tipo de app não compatível:","translated"
"apps.unsupportedDeclarativeApp","Unsupported declarative app:","App declarativo não compatível:","translated"
"apps.utils","Utils","Utilitários","translated"
"apps.waitingPermission","Waiting for app permission","Aguardando permissão do app","translated"
"apps.wallet","Wallet","Carteira","stable-term"
"assets.advancedVaultDescription","Receive and recovery tools for advanced vaults","Ferramentas de recebimento e recuperação para cofres avançados","translated"
"assets.advancedVaultWorkspace","Advanced vault workspace","Área de trabalho avançada do cofre","translated"
"assets.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"assets.cashTokenHoldings","CashToken holdings","Saldo de CashTokens","translated"
"assets.cashTokens","CashTokens","CashTokens","stable-term"
"assets.categories","categories","categorias","translated"
"assets.chipnet","Chipnet","Chipnet","stable-term"
"assets.fungible","fungible","fungíveis","translated"
"assets.fungibleHoldings","Fungible token holdings","Tokens fungíveis","translated"
"assets.mintingNfts","Minting NFTs","NFTs de emissão","translated"
"assets.mintingNftsDescription","Authority to mint additional NFTs in this category","Autoridade para emitir NFTs adicionais nesta categoria","translated"
"assets.mintTokens","Mint Tokens","Emitir tokens","translated"
"assets.mutableNfts","Mutable NFTs","NFTs mutáveis","translated"
"assets.mutableNftsDescription","Commitment may be changed by the holder","O compromisso pode ser alterado pelo titular","translated"
"assets.nfts","NFTs","NFTs","stable-term"
"assets.noFungibleTokens","No fungible CashTokens found.","Nenhum CashToken fungível encontrado.","translated"
"assets.noNfts","No NFTs found.","Nenhum NFT encontrado.","translated"
"assets.nonFungibleHoldings","Non-fungible holdings","Ativos não fungíveis","translated"
"assets.openVaults","Open vaults","Abrir cofres","translated"
"assets.plainNfts","Plain NFTs","NFTs simples","translated"
"assets.plainNftsDescription","Fixed commitment; cannot be changed or used to mint","Compromisso fixo; não pode ser alterado nem usado para emitir","translated"
"assets.primaryBalance","Primary wallet balance","Saldo principal da carteira","translated"
"assets.quantumroot","Quantumroot","Quantumroot","stable-term"
"assets.quickInventory","Quick view of your wallet inventory","Visão rápida dos ativos da carteira","translated"
"assets.tabBch","BCH","BCH","stable-term"
"assets.tabNfts","NFTs","NFTs","stable-term"
"assets.tabTokens","Tokens","Tokens","stable-term"
"assets.title","Assets","Ativos","translated"
"assets.toggleBalance","Toggle BCH and USD balance","Alternar saldo em BCH e USD","translated"
"assets.units","units","unidades","translated"
"assets.usdPriceUnavailable","USD price unavailable","Preço em USD indisponível","translated"
"assets.usdUnavailable","USD unavailable","USD indisponível","translated"
"assets.vaultWorkspace","Vault workspace","Área de trabalho do cofre","translated"
"bip37.addressesWithCoins","address(es) with coins","endereço(s) com moedas","translated"
"bip37.blocks","blocks","blocos","stable-term"
"bip37.fromNode","BCH from the node ✓","BCH do nó ✓","translated"
"bip37.height","height","altura","translated"
"bip37.inUse","● in use","● em uso","translated"
"bip37.node","Node","Nó","stable-term"
"bip37.notServes","Does not serve BIP37 ✗ (bloom filtering off)","Não oferece BIP37 ✗ (filtro Bloom desativado)","translated"
"bip37.probe","Probe","Testar","translated"
"bip37.probing","Probing…","Testando…","translated"
"bip37.protocol","protocol","protocolo","translated"
"bip37.remove","Remove","Remover","translated"
"bip37.scanned","scanned","examinados","translated"
"bip37.serves","Serves BIP37 ✓","Oferece BIP37 ✓","translated"
"bip37.sync","Sync","Sincronizar","translated"
"bip37.syncing","Syncing…","Sincronizando…","translated"
"bip37.syncingDetails","Syncing headers + scanning blocks via the node…","Sincronizando cabeçalhos e examinando blocos pelo nó…","translated"
"bip37.use","Use","Usar","translated"
"bip37.useBalanceTitle","Derive this wallet's balance directly from the node (trustless SPV)","Derivar o saldo desta carteira diretamente do nó (SPV sem confiança)","translated"
"bip37.useNodeTitle","Use ONLY this node for wallet data (trustless; Electrum servers are not consulted)","Usar SOMENTE este nó para os dados da carteira (sem confiança; servidores Electrum não são consultados)","translated"
"bip37.verified","Verified trustlessly: every matched tx proven by its block's merkle proof.","Verificado sem confiança: cada transação encontrada é provada pela prova de Merkle do bloco.","translated"
"bip37.watching","watching","observando","translated"
"builder.addFirstRecipient","Add your first recipient","Adicione seu primeiro destinatário","translated"
"builder.addOpReturnOutput","Add OP_RETURN Output","Add OP_RETURN Output","needs-review"
"builder.addOutput","Add Output","Adicionar saída","translated"
"builder.addRecipient","Add recipient","Adicionar destinatário","translated"
"builder.addRecipients","Add recipients","Adicionar destinatários","translated"
"builder.addRecipientsDescription","Add BCH recipients, token transfers, collectibles, or an optional message output.","Adicione destinatários de BCH, transferências de tokens, colecionáveis ou uma saída de mensagem opcional.","translated"
"builder.address","Address","Address","needs-review"
"builder.amount","Amount","Amount","needs-review"
"builder.amountToSend","Amount to send","Valor a enviar","translated"
"builder.attachMessage","Attach message","Anexar mensagem","translated"
"builder.back","Back","Voltar","translated"
"builder.bchAddress","BCH address","Endereço BCH","translated"
"builder.bchAmountSats","BCH amount (sats)","BCH amount (sats)","needs-review"
"builder.bchFunds","BCH funds","BCH funds","needs-review"
"builder.broadcastedSuccess","Your transaction was broadcast successfully!","Sua transação foi transmitida com sucesso!","translated"
"builder.buildTransaction","Build Transaction","Criar transação","translated"
"builder.buildTx","Build TX","Build TX","needs-review"
"builder.capability","Capability","Capability","needs-review"
"builder.category","Category","Category","needs-review"
"builder.chooseSource","Choose a source","Escolher uma fonte","translated"
"builder.chooseSourceDescription","Pick wallet addresses for normal sends, or contracts for script spends.","Escolha endereços da carteira para envios normais ou contratos para gastos de script.","translated"
"builder.chooseSourceHelp","Choose source","Escolha a fonte","translated"
"builder.close","Close","Fechar","translated"
"builder.collectibleAmount","Collectible amount","Collectible amount","needs-review"
"builder.commitment","Commitment","Commitment","needs-review"
"builder.configureCollectible","Configure collectible","Configure collectible","needs-review"
"builder.confirmAndSend","Confirm and Send Transaction","Confirmar e enviar transação","translated"
"builder.confirmTransaction","Confirm Transaction","Confirmar transação","translated"
"builder.contract","Contract","Contract","needs-review"
"builder.contractAddress","Contract address","Endereço do contrato","translated"
"builder.contractAssets","Contract assets","Contract assets","needs-review"
"builder.contractFunction","Contract Function","Contract Function","needs-review"
"builder.contractFunds","Contract funds","Contract funds","needs-review"
"builder.contracts","Contracts","Contratos","translated"
"builder.contractSourceCount","{count} contract source(s)","{count} contract source(s)","needs-review"
"builder.contractSourcePlural","{count} contract sources","{count} contract sources","needs-review"
"builder.contractSources","Contract sources","Fontes de contrato","translated"
"builder.contractSourceSingular","{count} contract source","{count} contract source","needs-review"
"builder.copyToClipboard","Copy to clipboard","Copiar para a área de transferência","translated"
"builder.createCollectible","Create collectible","Criar colecionável","translated"
"builder.createToken","Create token","Criar token","translated"
"builder.customSend","Custom Send","Envio personalizado","translated"
"builder.decodeFailed","Unable to decode transaction. Showing raw hex:","Não foi possível decodificar a transação. Exibindo hexadecimal bruto:","translated"
"builder.dragToConfirm","Drag to Confirm","Arraste para confirmar","translated"
"builder.enterTokenAmount","Enter amount (max {amount})","Enter amount (max {amount})","needs-review"
"builder.estimatedNetworkFee","Estimated network fee","Taxa de rede estimada","translated"
"builder.feeReserve","Leaving a {count} sat fee reserve.","Deixando uma reserva de taxa de {count} sat.","translated"
"builder.flow","Flow","Fluxo","translated"
"builder.flowDescription","Pick a source, choose funds, add recipients, then preview the final transaction before sending.","Escolha uma fonte, selecione os fundos, adicione destinatários e visualize a transação final antes de enviar.","translated"
"builder.fundsSelected","Funds selected","Fundos selecionados","translated"
"builder.fungibleAmount","Fungible Amount","Fungible Amount","needs-review"
"builder.fungibleTokens","Fungible Tokens","Fungible Tokens","needs-review"
"builder.genesisCollectible","Genesis input for this collectible","Genesis input for this collectible","needs-review"
"builder.genesisInput","Genesis input for this token","Genesis input for this token","needs-review"
"builder.help","Help","Ajuda","translated"
"builder.howWorks","How this works","Como funciona","translated"
"builder.inputs","Inputs","Inputs","needs-review"
"builder.leftoverBchPlaceholder","Wallet address for leftover BCH","Endereço da carteira para o BCH restante","translated"
"builder.max","Max","Máximo","translated"
"builder.maxSpendable","Set to maximum spendable (leaves 2000 sats for fees)","Definir o máximo gastável (deixa 2000 sats para taxas)","translated"
"builder.missingUnlocker","Missing unlocker!","Unlocker ausente!","translated"
"builder.next","Next","Avançar","translated"
"builder.nftCapability","NFT Capability","NFT Capability","needs-review"
"builder.nftCommitment","NFT Commitment","NFT Commitment","needs-review"
"builder.noContractAddresses","No contract addresses available.","Nenhum endereço de contrato disponível.","translated"
"builder.noFundsSelected","No funds selected yet.","Nenhum fundo selecionado ainda.","translated"
"builder.none","None","None","needs-review"
"builder.nonFungibleTokens","Non-Fungible Tokens","Non-Fungible Tokens","needs-review"
"builder.noOutputs","No outputs added yet.","Nenhuma saída adicionada ainda.","translated"
"builder.noQrCode","No QR code detected. Please try again.","No QR code detected. Please try again.","needs-review"
"builder.noSpendableBalance","No spendable balance after fee reserve","Não há saldo gastável após reservar a taxa","translated"
"builder.noUtxosSelected","No UTXOs selected.","Nenhum UTXO selecionado.","translated"
"builder.noWalletAddresses","No wallet addresses available.","Nenhum endereço de carteira disponível.","translated"
"builder.opReturnData","OP_RETURN Data","OP_RETURN Data","needs-review"
"builder.opReturnEmpty","OP_RETURN data cannot be empty.","OP_RETURN data cannot be empty.","needs-review"
"builder.opReturnOutput","OP_RETURN Output","OP_RETURN Output","needs-review"
"builder.opReturnPlaceholder","Enter space-separated ASCII words","Enter space-separated ASCII words","needs-review"
"builder.outputs","Outputs","Outputs","needs-review"
"builder.paperWallet","Paper Wallet","Paper Wallet","needs-review"
"builder.paperWalletUtxos","Paper Wallet UTXOs","Paper Wallet UTXOs","needs-review"
"builder.pickFunds","Pick funds","Selecionar fundos","translated"
"builder.pickFundsDescription","Select the BCH, tokens, or collectibles that will fund this transaction.","Selecione o BCH, tokens ou colecionáveis que financiarão esta transação.","translated"
"builder.rawTransactionDetails","Raw Transaction Details","Detalhes brutos da transação","translated"
"builder.ready","Ready","Pronto","translated"
"builder.recipient","{count} recipient","{count} recipient","needs-review"
"builder.recipientAddress","Recipient Address","Endereço do destinatário","translated"
"builder.recipientCount","{count} recipients","{count} recipients","needs-review"
"builder.recipients","Recipients","Destinatários","translated"
"builder.recipientsAdded","Recipients added","Destinatários adicionados","translated"
"builder.remove","Remove","Remover","translated"
"builder.removeAllRecipients","Remove all recipients","Remover todos os destinatários","translated"
"builder.returnLeftover","Return leftover funds to","Devolver o saldo restante para","translated"
"builder.reviewAndSend","Review and send","Revisar e enviar","translated"
"builder.reviewAndSendDescription","Preview first, then send only when the summary looks right.","Visualize primeiro e envie somente quando o resumo estiver correto.","translated"
"builder.reviewFunds","Review funds","Revisar fundos","translated"
"builder.reviewRecipients","Review recipients","Revisar destinatários","translated"
"builder.scanQrCode","Scan QR Code","Escanear código QR","translated"
"builder.selectedFunds","Selected funds","Fundos selecionados","translated"
"builder.selectedItem","{count} selected item","{count} selected item","needs-review"
"builder.selectedItems","{count} selected items","{count} selected items","needs-review"
"builder.selectGenesisInput","Select genesis input","Select genesis input","needs-review"
"builder.selectSource","Select a source to continue.","Selecione uma fonte para continuar.","translated"
"builder.sendBch","Send BCH","Enviar BCH","translated"
"builder.sendTx","Send TX","Send TX","needs-review"
"builder.sendWarning","You are about to send a transaction. Please confirm that all details are correct. This action cannot be undone.","Você está prestes a enviar uma transação. Confirme que todos os detalhes estão corretos. Esta ação não pode ser desfeita.","translated"
"builder.sourcesChosen","Sources chosen","Fontes escolhidas","translated"
"builder.step","Step {number}","Etapa {number}","translated"
"builder.token","Token","Token","needs-review"
"builder.tokenAddress","Token address","Endereço do token","translated"
"builder.tokenAmount","Token Amount","Token Amount","needs-review"
"builder.tokenCategory","Token Category","Token Category","needs-review"
"builder.tokenCategoryLabel","Token Category","Token Category","needs-review"
"builder.tokensCollectibles","Tokens & collectibles","Tokens & collectibles","needs-review"
"builder.transactionError","Transaction Error","Erro na transação","translated"
"builder.transactionSubmitted","Transaction Submitted","Transação enviada","translated"
"builder.transactionSubmittedDescription","Your transaction has been submitted. Use this txid as the reference and avoid sending it again.","Sua transação foi enviada. Use este txid como referência e evite enviá-la novamente.","translated"
"builder.transactionSuccessful","Transaction Successful","Transação concluída","translated"
"builder.transferMinimum","Transfer amount must be at least {count}.","Transfer amount must be at least {count}.","needs-review"
"builder.tryAgain","Try Again","Tentar novamente","translated"
"builder.txHash","Tx Hash","Tx Hash","needs-review"
"builder.txId","TX ID","TX ID","needs-review"
"builder.viewExplorer","View on Explorer","Ver no explorer","translated"
"builder.wallet","Wallet","Wallet","needs-review"
"builder.walletAssets","Wallet assets","Wallet assets","needs-review"
"builder.walletFunds","Wallet funds","Fundos da carteira","translated"
"builder.walletSourceCount","{count} wallet source(s)","{count} wallet source(s)","needs-review"
"builder.walletSourcePlural","{count} wallet sources","{count} wallet sources","needs-review"
"builder.walletSources","Wallet sources","Fontes da carteira","translated"
"builder.walletSourceSingular","{count} wallet source","{count} wallet source","needs-review"
"builder.warning","⚠️ Warning","⚠️ Aviso","translated"
"camera.cancel","Cancel","Cancelar","translated"
"camera.scan","Scan QR with camera","Ler QR com a câmera","translated"
"camera.unavailable","Camera unavailable: {error}. Use Upload instead.","Câmera indisponível: {error}. Use o upload.","translated"
"cauldron.active","active","ativas","translated"
"cauldron.description","Detected from the active wallet receive/change/DeFi address set through the Cauldron indexer.","Detectadas no conjunto ativo de endereços de recebimento, troco e DeFi da carteira pelo indexador do Cauldron.","translated"
"cauldron.positions","Cauldron positions","Posições do Cauldron","translated"
"cauldron.tokenCategories","token categories","categorias de tokens","translated"
"chat.back","Back to conversations","Voltar às conversas","translated"
"chat.choosePhoto","Choose photo","Escolher foto","translated"
"chat.copyNpub","Copy npub","Copiar npub","translated"
"chat.displayName","Display name","Nome de exibição","translated"
"chat.emptyDescription","Pick a conversation, or tap + to message someone by their npub. Messages are end-to-end encrypted over Nostr.","Escolha uma conversa ou toque em + para enviar uma mensagem a alguém pelo npub. As mensagens são criptografadas de ponta a ponta no Nostr.","translated"
"chat.encrypted","End-to-end encrypted","Criptografia de ponta a ponta","translated"
"chat.messagePlaceholder","Message…","Mensagem…","stable-term"
"chat.newChat","New chat","Novo chat","translated"
"chat.newConversation","New conversation","Nova conversa","translated"
"chat.noConversations","No conversations yet. Tap + to start one.","Ainda não há conversas. Toque em + para iniciar uma.","translated"
"chat.noMessages","No messages yet. Say hi — messages are end-to-end encrypted.","Ainda não há mensagens. Diga olá — as mensagens são criptografadas de ponta a ponta.","translated"
"chat.open","Open","Abrir","translated"
"chat.privateConversations","Your private conversations","Suas conversas privadas","translated"
"chat.privateMessaging","Private Nostr messaging","Mensagens privadas Nostr","translated"
"chat.profile","Profile","Perfil","translated"
"chat.profilePublished","Profile published ✓","Perfil publicado ✓","translated"
"chat.publishProfile","Publish profile","Publicar perfil","translated"
"chat.recipient","Recipient npub…","npub do destinatário…","translated"
"chat.searchConversations","Search conversations","Pesquisar conversas","translated"
"chat.send","Send","Enviar","translated"
"chat.setup","Nostr setup","Configuração do Nostr","translated"
"chat.title","Chat","Bate-papo","translated"
"chat.youPrefix","You: ","Você: ","translated"
"chat.yourNpub","Your npub","Seu npub","translated"
"confirm.action","Confirm action","Confirmar ação","translated"
"confirm.cancel","Cancel","Cancelar","translated"
"confirm.ok","OK","OK","stable-term"
"console.appLog","App Log","Registro do app","translated"
"console.clear","Clear","Limpar","translated"
"console.noEntries","No log entries yet.","Ainda não há entradas no registro.","translated"
"console.placeholder","method [params…]","method [params…]","stable-term"
"console.rpc","Electrum RPC","Electrum RPC","stable-term"
"console.send","Send","Enviar","translated"
"console.sending","…","…","stable-term"
"console.typeHint","Type: method param1 param2 — e.g. server.version or blockchain.headers.subscribe","Digite: método parâmetro1 parâmetro2 — por exemplo, server.version ou blockchain.headers.subscribe","translated"
"contract.arbiter","Arbiter: A trusted party who authorizes release of funds.","Árbitro: parte confiável que autoriza a liberação dos fundos.","translated"
"contract.available","Available Contracts","Contratos disponíveis","translated"
"contract.bip38","BIP38 (Password-Protected Private Keys)","BIP38 (chaves privadas protegidas por senha)","translated"
"contract.bip38Desc","The BIP38 contract secures private keys with a password. Its UTXOs require both the correct password and a valid signature.","O contrato BIP38 protege chaves privadas com uma senha. Seus UTXOs exigem a senha correta e uma assinatura válida.","translated"
"contract.bip38Spending","Spending Requirements: Provide a valid owner signature and a data signature verifying the password.","Requisitos de gasto: forneça uma assinatura válida do proprietário e uma assinatura de dados que confirme a senha.","translated"
"contract.bip38UseCase","Use Case: Ideal for protecting private keys against theft or unauthorized access, especially for long-term storage.","Uso: ideal para proteger chaves privadas contra roubo ou acesso não autorizado, especialmente em armazenamento de longo prazo.","translated"
"contract.enhancedTrust","Enhanced Trust: Useful for transactions requiring multiple trusted parties.","Confiança reforçada: útil para transações que exigem várias partes confiáveis.","translated"
