"key","English (en)","French (fr)","Status"
"addons.desktopOnly","Installing addons from a folder is only available on desktop.","L’installation d’extensions depuis un dossier est réservée à l’ordinateur.","translated"
"addons.installed","Installed addons","Extensions installées","translated"
"addons.installedStatus","Installed “{name}”. Restart the app to load it.","« {name} » installé. Redémarrez l’application pour le charger.","translated"
"addons.installFolder","Install from folder…","Installer depuis un dossier…","translated"
"addons.installing","Installing…","Installation…","translated"
"addons.none","No addons installed.","Aucune extension installée.","translated"
"addons.uninstall","Uninstall","Désinstaller","translated"
"addons.uninstalledStatus","Uninstalled. Restart the app for it to fully disappear.","Désinstallé. Redémarrez l’application pour le supprimer complètement.","translated"
"app.back","Back","Retour","translated"
"app.close","Close","Fermer","translated"
"app.confirmLogout","Confirm Logout","Confirmer la déconnexion","translated"
"app.confirmLogoutDescription","Confirm logout to remove this wallet from the device.","Confirmez la déconnexion pour supprimer ce portefeuille de l’appareil.","translated"
"app.help","Help","Aide","translated"
"app.language","Language","Langue","translated"
"app.languageDescription","Choose the wallet interface language","Choisissez la langue de l’interface du portefeuille","translated"
"app.logOut","Log Out","Se déconnecter","translated"
"app.quickAccess","Quick access","Accès rapide","translated"
"app.settings","Settings","Paramètres","translated"
"app.toggleTheme","Toggle theme","Changer de thème","translated"
"appLock.cancel","Cancel","Annuler","translated"
"appLock.checking","Checking…","Vérification…","translated"
"appLock.confirm","Confirm","Confirmer","translated"
"appLock.confirmPassword","Confirm password","Confirmer le mot de passe","translated"
"appLock.incorrect","Incorrect passphrase. Try again.","Phrase incorrecte. Réessayez.","translated"
"appLock.password","Password","Mot de passe","translated"
"appLock.revealBackup","Enter your password to reveal the backup phrase.","Saisissez votre mot de passe pour révéler la phrase de sauvegarde.","translated"
"appLock.verificationFailed","Verification failed. Please try again.","Échec de la vérification. Réessayez.","translated"
"apps.addonLoadFailed","Addon failed to load","Échec du chargement de l’extension","translated"
"apps.advanced","Advanced","Avancées","translated"
"apps.all","All","Toutes","translated"
"apps.allowCapabilities","Allow {name} capabilities?","Autoriser les autorisations de {name} ?","translated"
"apps.allowOnce","Allow once","Autoriser une fois","translated"
"apps.allowSensitiveAction","Allow sensitive action?","Autoriser l’action sensible ?","translated"
"apps.alwaysAllow","Always allow","Toujours autoriser","translated"
"apps.appDefinition","App definition","Définition de l’application","translated"
"apps.approveCapabilities","Approve required capabilities to continue.","Approuvez les autorisations requises pour continuer.","translated"
"apps.back","Back","Retour","translated"
"apps.browse","Browse apps","Parcourir les applications","translated"
"apps.browseSubtitle","Wallet first, then tokens, utils, and advanced platforms","D’abord le portefeuille, puis les tokens, utilitaires et plateformes avancées","translated"
"apps.capabilitiesMessage","This addon app is requesting wallet capabilities before launch.","Cette application complémentaire demande des autorisations du portefeuille avant son lancement.","translated"
"apps.capability","Capability:","Autorisation :","translated"
"apps.capability.addOutputs","Construct transaction outputs","Construire les sorties de transaction","translated"
"apps.capability.addressUtxosRead","Read UTXOs for wallet addresses","Lire les UTXO des adresses du portefeuille","translated"
"apps.capability.addressUtxosRefresh","Refresh and store UTXOs for wallet addresses","Actualiser et stocker les UTXO des adresses","translated"
"apps.capability.broadcastTransactions","Broadcast transactions","Diffuser des transactions","translated"
"apps.capability.buildTransactions","Build transactions","Construire des transactions","translated"
"apps.capability.fetchJson","Fetch JSON over HTTP","Récupérer du JSON via HTTP","translated"
"apps.capability.signatureTemplates","Create signature templates","Créer des modèles de signature","translated"
"apps.capability.signMessages","Sign messages with wallet keys","Signer des messages avec les clés du portefeuille","translated"
"apps.capability.tokenHoldersRead","Read TokenIndex holder lists","Lire les listes de détenteurs TokenIndex","translated"
"apps.capability.tokenMetadataRead","Read CashToken metadata","Lire les métadonnées CashToken","translated"
"apps.capability.walletAddressesRead","Read wallet addresses","Lire les adresses du portefeuille","translated"
"apps.capability.walletContextRead","Read wallet context","Lire le contexte du portefeuille","translated"
"apps.capability.walletUtxosRead","Read wallet UTXOs","Lire les UTXO du portefeuille","translated"
"apps.capabilityRequested","{name} requested: {capability}.","{name} a demandé : {capability}.","translated"
"apps.cashFusionDescription","Private CoinJoin — server or P2P over Nostr + Tor","CoinJoin privé — serveur ou P2P via Nostr + Tor","translated"
"apps.chatDescription","Private end-to-end encrypted Nostr messaging","Messagerie Nostr privée chiffrée de bout en bout","translated"
"apps.comingSoon","Coming soon","Bientôt disponible","translated"
"apps.contractsDescription","Browse artifacts and manage deployed instances","Parcourir les artefacts et gérer les instances déployées","translated"
"apps.deny","Deny","Refuser","translated"
"apps.empty","No apps in this category.","Aucune application dans cette catégorie.","translated"
"apps.expectedScreen","Expected config.screen (or app.id) to map to a built-in app implementation.","config.screen (ou app.id) devait correspondre à une implémentation intégrée.","translated"
"apps.failedToLoad","Failed to load app","Échec du chargement de l’application","translated"
"apps.goToLanding","Go to Landing","Aller à l’accueil","translated"
"apps.loadFailed","Failed to load addon apps","Échec du chargement des applications complémentaires","translated"
"apps.loadingAddon","Loading addon…","Chargement de l’extension…","translated"
"apps.loadingApp","Loading app…","Chargement de l’application…","translated"
"apps.noWallet","No wallet selected","Aucun portefeuille sélectionné","translated"
"apps.permissionDenied","Permission denied. App launch was blocked.","Autorisation refusée. Le lancement est bloqué.","translated"
"apps.quantumrootDescription","Receive and recovery tools for advanced vaults","Outils de réception et de récupération pour les coffres avancés","translated"
"apps.resolvedScreenId","Resolved screen ID","ID d’écran résolu","translated"
"apps.subtitle","Extend your wallet with tools","Étendez votre portefeuille avec des outils","translated"
"apps.title","Apps","Applications","translated"
"apps.token","Token","Token","stable-term"
"apps.unsupportedAppKind","Unsupported app kind:","Type d’application non pris en charge :","translated"
"apps.unsupportedDeclarativeApp","Unsupported declarative app:","Application déclarative non prise en charge :","translated"
"apps.utils","Utils","Utilitaires","translated"
"apps.waitingPermission","Waiting for app permission","En attente de l’autorisation de l’application","translated"
"apps.wallet","Wallet","Portefeuille","stable-term"
"assets.advancedVaultDescription","Receive and recovery tools for advanced vaults","Outils de réception et de récupération pour les coffres avancés","translated"
"assets.advancedVaultWorkspace","Advanced vault workspace","Espace de travail avancé du coffre","translated"
"assets.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"assets.cashTokenHoldings","CashToken holdings","Avoirs en CashTokens","translated"
"assets.cashTokens","CashTokens","CashTokens","stable-term"
"assets.categories","categories","catégories","translated"
"assets.chipnet","Chipnet","Chipnet","stable-term"
"assets.fungible","fungible","fongibles","translated"
"assets.fungibleHoldings","Fungible token holdings","Avoirs en tokens fongibles","translated"
"assets.mintingNfts","Minting NFTs","NFT d’émission","translated"
"assets.mintingNftsDescription","Authority to mint additional NFTs in this category","Autorité permettant d’émettre d’autres NFT dans cette catégorie","translated"
"assets.mintTokens","Mint Tokens","Émettre des tokens","translated"
"assets.mutableNfts","Mutable NFTs","NFT modifiables","translated"
"assets.mutableNftsDescription","Commitment may be changed by the holder","L’engagement peut être modifié par le détenteur","translated"
"assets.nfts","NFTs","NFTs","stable-term"
"assets.noFungibleTokens","No fungible CashTokens found.","Aucun CashToken fongible trouvé.","translated"
"assets.noNfts","No NFTs found.","Aucun NFT trouvé.","translated"
"assets.nonFungibleHoldings","Non-fungible holdings","Avoirs non fongibles","translated"
"assets.openVaults","Open vaults","Ouvrir les coffres","translated"
"assets.plainNfts","Plain NFTs","NFT simples","translated"
"assets.plainNftsDescription","Fixed commitment; cannot be changed or used to mint","Engagement fixe ; ne peut pas être modifié ni utilisé pour émettre","translated"
"assets.primaryBalance","Primary wallet balance","Solde principal du portefeuille","translated"
"assets.quantumroot","Quantumroot","Quantumroot","stable-term"
"assets.quickInventory","Quick view of your wallet inventory","Vue rapide du contenu de votre portefeuille","translated"
"assets.tabBch","BCH","BCH","stable-term"
"assets.tabNfts","NFTs","NFTs","stable-term"
"assets.tabTokens","Tokens","Jetons","stable-term"
"assets.title","Assets","Actifs","translated"
"assets.toggleBalance","Toggle BCH and USD balance","Basculer entre les soldes BCH et USD","translated"
"assets.units","units","unités","translated"
"assets.usdPriceUnavailable","USD price unavailable","Prix en USD indisponible","translated"
"assets.usdUnavailable","USD unavailable","USD indisponible","translated"
"assets.vaultWorkspace","Vault workspace","Espace de travail du coffre","translated"
"bip37.addressesWithCoins","address(es) with coins","adresse(s) avec des coins","translated"
"bip37.blocks","blocks","blocs","stable-term"
"bip37.fromNode","BCH from the node ✓","BCH du nœud ✓","translated"
"bip37.height","height","hauteur","translated"
"bip37.inUse","● in use","● utilisé","translated"
"bip37.node","Node","Nœud","stable-term"
"bip37.notServes","Does not serve BIP37 ✗ (bloom filtering off)","Ne fournit pas BIP37 ✗ (filtrage Bloom désactivé)","translated"
"bip37.probe","Probe","Sonder","translated"
"bip37.probing","Probing…","Sondage…","translated"
"bip37.protocol","protocol","protocole","translated"
"bip37.remove","Remove","Supprimer","translated"
"bip37.scanned","scanned","analysés","translated"
"bip37.serves","Serves BIP37 ✓","Fournit BIP37 ✓","translated"
"bip37.sync","Sync","Synchroniser","translated"
"bip37.syncing","Syncing…","Synchronisation…","translated"
"bip37.syncingDetails","Syncing headers + scanning blocks via the node…","Synchronisation des en-têtes et analyse des blocs via le nœud…","translated"
"bip37.use","Use","Utiliser","translated"
"bip37.useBalanceTitle","Derive this wallet's balance directly from the node (trustless SPV)","Dériver le solde directement du nœud (SPV sans confiance)","translated"
"bip37.useNodeTitle","Use ONLY this node for wallet data (trustless; Electrum servers are not consulted)","Utiliser UNIQUEMENT ce nœud pour les données du portefeuille (sans confiance ; les serveurs Electrum ne sont pas consultés)","translated"
"bip37.verified","Verified trustlessly: every matched tx proven by its block's merkle proof.","Vérifié sans confiance : chaque transaction correspondante est prouvée par la preuve de Merkle de son bloc.","translated"
"bip37.watching","watching","surveillées","translated"
"builder.addFirstRecipient","Add your first recipient","Ajoutez votre premier destinataire","translated"
"builder.addOpReturnOutput","Add OP_RETURN Output","Add OP_RETURN Output","needs-review"
"builder.addOutput","Add Output","Ajouter une sortie","translated"
"builder.addRecipient","Add recipient","Ajouter un destinataire","translated"
"builder.addRecipients","Add recipients","Ajouter des destinataires","translated"
"builder.addRecipientsDescription","Add BCH recipients, token transfers, collectibles, or an optional message output.","Ajoutez des destinataires BCH, des transferts de tokens, des objets de collection ou une sortie de message facultative.","translated"
"builder.address","Address","Address","needs-review"
"builder.amount","Amount","Amount","needs-review"
"builder.amountToSend","Amount to send","Montant à envoyer","translated"
"builder.attachMessage","Attach message","Joindre un message","translated"
"builder.back","Back","Retour","translated"
"builder.bchAddress","BCH address","Adresse BCH","translated"
"builder.bchAmountSats","BCH amount (sats)","BCH amount (sats)","needs-review"
"builder.bchFunds","BCH funds","BCH funds","needs-review"
"builder.broadcastedSuccess","Your transaction was broadcast successfully!","Votre transaction a été diffusée !","translated"
"builder.buildTransaction","Build Transaction","Construire la transaction","translated"
"builder.buildTx","Build TX","Build TX","needs-review"
"builder.capability","Capability","Capability","needs-review"
"builder.category","Category","Category","needs-review"
"builder.chooseSource","Choose a source","Choisir une source","translated"
"builder.chooseSourceDescription","Pick wallet addresses for normal sends, or contracts for script spends.","Choisissez des adresses de portefeuille pour les envois ordinaires, ou des contrats pour les dépenses par script.","translated"
"builder.chooseSourceHelp","Choose source","Choisir une source","translated"
"builder.close","Close","Fermer","translated"
"builder.collectibleAmount","Collectible amount","Collectible amount","needs-review"
"builder.commitment","Commitment","Commitment","needs-review"
"builder.configureCollectible","Configure collectible","Configure collectible","needs-review"
"builder.confirmAndSend","Confirm and Send Transaction","Confirmer et envoyer la transaction","translated"
"builder.confirmTransaction","Confirm Transaction","Confirmer la transaction","translated"
"builder.contract","Contract","Contract","needs-review"
"builder.contractAddress","Contract address","Adresse du contrat","translated"
"builder.contractAssets","Contract assets","Contract assets","needs-review"
"builder.contractFunction","Contract Function","Contract Function","needs-review"
"builder.contractFunds","Contract funds","Contract funds","needs-review"
"builder.contracts","Contracts","Contrats","translated"
"builder.contractSourceCount","{count} contract source(s)","{count} contract source(s)","needs-review"
"builder.contractSourcePlural","{count} contract sources","{count} contract sources","needs-review"
"builder.contractSources","Contract sources","Sources de contrat","translated"
"builder.contractSourceSingular","{count} contract source","{count} contract source","needs-review"
"builder.copyToClipboard","Copy to clipboard","Copier dans le presse-papiers","translated"
"builder.createCollectible","Create collectible","Créer un objet de collection","translated"
"builder.createToken","Create token","Créer un token","translated"
"builder.customSend","Custom Send","Envoi personnalisé","translated"
"builder.decodeFailed","Unable to decode transaction. Showing raw hex:","Impossible de décoder la transaction. Hexadécimal brut affiché :","translated"
"builder.dragToConfirm","Drag to Confirm","Faites glisser pour confirmer","translated"
"builder.enterTokenAmount","Enter amount (max {amount})","Enter amount (max {amount})","needs-review"
"builder.estimatedNetworkFee","Estimated network fee","Frais réseau estimés","translated"
"builder.feeReserve","Leaving a {count} sat fee reserve.","Réserve de frais de {count} sat.","translated"
"builder.flow","Flow","Parcours","translated"
"builder.flowDescription","Pick a source, choose funds, add recipients, then preview the final transaction before sending.","Choisissez une source, sélectionnez les fonds, ajoutez des destinataires, puis prévisualisez la transaction finale avant l’envoi.","translated"
"builder.fundsSelected","Funds selected","Fonds sélectionnés","translated"
"builder.fungibleAmount","Fungible Amount","Fungible Amount","needs-review"
"builder.fungibleTokens","Fungible Tokens","Fungible Tokens","needs-review"
"builder.genesisCollectible","Genesis input for this collectible","Genesis input for this collectible","needs-review"
"builder.genesisInput","Genesis input for this token","Genesis input for this token","needs-review"
"builder.help","Help","Aide","translated"
"builder.howWorks","How this works","Fonctionnement","translated"
"builder.inputs","Inputs","Inputs","needs-review"
"builder.leftoverBchPlaceholder","Wallet address for leftover BCH","Adresse de portefeuille pour le BCH restant","translated"
"builder.max","Max","Max","needs-review"
"builder.maxSpendable","Set to maximum spendable (leaves 2000 sats for fees)","Définir le maximum dépensable (conserve 2000 sats pour les frais)","translated"
"builder.missingUnlocker","Missing unlocker!","Unlocker manquant !","translated"
"builder.next","Next","Suivant","translated"
"builder.nftCapability","NFT Capability","NFT Capability","needs-review"
"builder.nftCommitment","NFT Commitment","NFT Commitment","needs-review"
"builder.noContractAddresses","No contract addresses available.","Aucune adresse de contrat disponible.","translated"
"builder.noFundsSelected","No funds selected yet.","Aucun fonds sélectionné pour le moment.","translated"
"builder.none","None","None","needs-review"
"builder.nonFungibleTokens","Non-Fungible Tokens","Non-Fungible Tokens","needs-review"
"builder.noOutputs","No outputs added yet.","Aucune sortie ajoutée pour le moment.","translated"
"builder.noQrCode","No QR code detected. Please try again.","No QR code detected. Please try again.","needs-review"
"builder.noSpendableBalance","No spendable balance after fee reserve","Aucun solde dépensable après la réserve de frais","translated"
"builder.noUtxosSelected","No UTXOs selected.","Aucun UTXO sélectionné.","translated"
"builder.noWalletAddresses","No wallet addresses available.","Aucune adresse de portefeuille disponible.","translated"
"builder.opReturnData","OP_RETURN Data","OP_RETURN Data","needs-review"
"builder.opReturnEmpty","OP_RETURN data cannot be empty.","OP_RETURN data cannot be empty.","needs-review"
"builder.opReturnOutput","OP_RETURN Output","OP_RETURN Output","needs-review"
"builder.opReturnPlaceholder","Enter space-separated ASCII words","Enter space-separated ASCII words","needs-review"
"builder.outputs","Outputs","Outputs","needs-review"
"builder.paperWallet","Paper Wallet","Paper Wallet","needs-review"
"builder.paperWalletUtxos","Paper Wallet UTXOs","Paper Wallet UTXOs","needs-review"
"builder.pickFunds","Pick funds","Choisir les fonds","translated"
"builder.pickFundsDescription","Select the BCH, tokens, or collectibles that will fund this transaction.","Sélectionnez les BCH, tokens ou objets de collection qui financeront cette transaction.","translated"
"builder.rawTransactionDetails","Raw Transaction Details","Détails bruts de la transaction","translated"
"builder.ready","Ready","Prêt","translated"
"builder.recipient","{count} recipient","{count} recipient","needs-review"
"builder.recipientAddress","Recipient Address","Adresse du destinataire","translated"
"builder.recipientCount","{count} recipients","{count} recipients","needs-review"
"builder.recipients","Recipients","Destinataires","translated"
"builder.recipientsAdded","Recipients added","Destinataires ajoutés","translated"
"builder.remove","Remove","Supprimer","translated"
"builder.removeAllRecipients","Remove all recipients","Supprimer tous les destinataires","translated"
"builder.returnLeftover","Return leftover funds to","Renvoyer le solde restant à","translated"
"builder.reviewAndSend","Review and send","Vérifier et envoyer","translated"
"builder.reviewAndSendDescription","Preview first, then send only when the summary looks right.","Prévisualisez d’abord, puis envoyez seulement lorsque le résumé est correct.","translated"
"builder.reviewFunds","Review funds","Vérifier les fonds","translated"
"builder.reviewRecipients","Review recipients","Vérifier les destinataires","translated"
"builder.scanQrCode","Scan QR Code","Scanner le QR code","translated"
"builder.selectedFunds","Selected funds","Fonds sélectionnés","translated"
"builder.selectedItem","{count} selected item","{count} selected item","needs-review"
"builder.selectedItems","{count} selected items","{count} selected items","needs-review"
"builder.selectGenesisInput","Select genesis input","Select genesis input","needs-review"
"builder.selectSource","Select a source to continue.","Sélectionnez une source pour continuer.","translated"
"builder.sendBch","Send BCH","Envoyer des BCH","translated"
"builder.sendTx","Send TX","Send TX","needs-review"
"builder.sendWarning","You are about to send a transaction. Please confirm that all details are correct. This action cannot be undone.","Vous êtes sur le point d’envoyer une transaction. Vérifiez que tous les détails sont corrects. Cette action est irréversible.","translated"
"builder.sourcesChosen","Sources chosen","Sources choisies","translated"
"builder.step","Step {number}","Étape {number}","translated"
"builder.token","Token","Token","needs-review"
"builder.tokenAddress","Token address","Adresse du token","translated"
"builder.tokenAmount","Token Amount","Token Amount","needs-review"
"builder.tokenCategory","Token Category","Token Category","needs-review"
"builder.tokenCategoryLabel","Token Category","Token Category","needs-review"
"builder.tokensCollectibles","Tokens & collectibles","Tokens & collectibles","needs-review"
"builder.transactionError","Transaction Error","Erreur de transaction","translated"
"builder.transactionSubmitted","Transaction Submitted","Transaction envoyée","translated"
"builder.transactionSubmittedDescription","Your transaction has been submitted. Use this txid as the reference and avoid sending it again.","Votre transaction a été envoyée. Utilisez ce txid comme référence et évitez de la renvoyer.","translated"
"builder.transactionSuccessful","Transaction Successful","Transaction réussie","translated"
"builder.transferMinimum","Transfer amount must be at least {count}.","Transfer amount must be at least {count}.","needs-review"
"builder.tryAgain","Try Again","Réessayer","translated"
"builder.txHash","Tx Hash","Tx Hash","needs-review"
"builder.txId","TX ID","TX ID","needs-review"
"builder.viewExplorer","View on Explorer","Voir dans l’explorateur","translated"
"builder.wallet","Wallet","Wallet","needs-review"
"builder.walletAssets","Wallet assets","Wallet assets","needs-review"
"builder.walletFunds","Wallet funds","Fonds du portefeuille","translated"
"builder.walletSourceCount","{count} wallet source(s)","{count} wallet source(s)","needs-review"
"builder.walletSourcePlural","{count} wallet sources","{count} wallet sources","needs-review"
"builder.walletSources","Wallet sources","Sources du portefeuille","translated"
"builder.walletSourceSingular","{count} wallet source","{count} wallet source","needs-review"
"builder.warning","⚠️ Warning","⚠️ Avertissement","translated"
"camera.cancel","Cancel","Annuler","translated"
"camera.scan","Scan QR with camera","Scanner un QR avec la caméra","translated"
"camera.unavailable","Camera unavailable: {error}. Use Upload instead.","Caméra indisponible : {error}. Utilisez l’envoi de fichier.","translated"
"cauldron.active","active","actives","translated"
"cauldron.description","Detected from the active wallet receive/change/DeFi address set through the Cauldron indexer.","Détectées par l’indexeur Cauldron dans l’ensemble actif d’adresses de réception, de monnaie et DeFi du portefeuille.","translated"
"cauldron.positions","Cauldron positions","Positions Cauldron","translated"
"cauldron.tokenCategories","token categories","catégories de tokens","translated"
"chat.back","Back to conversations","Retour aux conversations","translated"
"chat.choosePhoto","Choose photo","Choisir une photo","translated"
"chat.copyNpub","Copy npub","Copier le npub","translated"
"chat.displayName","Display name","Nom affiché","translated"
"chat.emptyDescription","Pick a conversation, or tap + to message someone by their npub. Messages are end-to-end encrypted over Nostr.","Choisissez une conversation ou touchez + pour écrire à quelqu’un avec son npub. Les messages sont chiffrés de bout en bout via Nostr.","translated"
"chat.encrypted","End-to-end encrypted","Chiffrement de bout en bout","translated"
"chat.messagePlaceholder","Message…","Message…","stable-term"
"chat.newChat","New chat","Nouveau chat","translated"
"chat.newConversation","New conversation","Nouvelle conversation","translated"
"chat.noConversations","No conversations yet. Tap + to start one.","Aucune conversation. Touchez + pour commencer.","translated"
"chat.noMessages","No messages yet. Say hi — messages are end-to-end encrypted.","Aucun message. Dites bonjour — les messages sont chiffrés de bout en bout.","translated"
"chat.open","Open","Ouvrir","translated"
"chat.privateConversations","Your private conversations","Vos conversations privées","translated"
"chat.privateMessaging","Private Nostr messaging","Messagerie Nostr privée","translated"
"chat.profile","Profile","Profil","translated"
"chat.profilePublished","Profile published ✓","Profil publié ✓","translated"
"chat.publishProfile","Publish profile","Publier le profil","translated"
"chat.recipient","Recipient npub…","npub du destinataire…","translated"
"chat.searchConversations","Search conversations","Rechercher des conversations","translated"
"chat.send","Send","Envoyer","translated"
"chat.setup","Nostr setup","Configuration Nostr","translated"
"chat.title","Chat","Discussion","translated"
"chat.youPrefix","You: ","Vous : ","translated"
"chat.yourNpub","Your npub","Votre npub","translated"
"confirm.action","Confirm action","Confirmer l’action","translated"
"confirm.cancel","Cancel","Annuler","translated"
"confirm.ok","OK","OK","stable-term"
"console.appLog","App Log","Journal de l’application","translated"
"console.clear","Clear","Effacer","translated"
"console.noEntries","No log entries yet.","Aucune entrée de journal pour le moment.","translated"
"console.placeholder","method [params…]","method [params…]","stable-term"
"console.rpc","Electrum RPC","Electrum RPC","stable-term"
"console.send","Send","Envoyer","translated"
"console.sending","…","…","stable-term"
"console.typeHint","Type: method param1 param2 — e.g. server.version or blockchain.headers.subscribe","Saisissez : méthode paramètre1 paramètre2 — par exemple server.version ou blockchain.headers.subscribe","translated"
"contract.arbiter","Arbiter: A trusted party who authorizes release of funds.","Arbitre : partie de confiance qui autorise la libération des fonds.","translated"
"contract.available","Available Contracts","Contrats disponibles","translated"
"contract.bip38","BIP38 (Password-Protected Private Keys)","BIP38 (clés privées protégées par mot de passe)","translated"
"contract.bip38Desc","The BIP38 contract secures private keys with a password. Its UTXOs require both the correct password and a valid signature.","Le contrat BIP38 protège les clés privées avec un mot de passe. Ses UTXO exigent le bon mot de passe et une signature valide.","translated"
