"key","English (en)","Russian (ru)","Status"
"about.learnText","Explore these resources to deepen your understanding of Bitcoin covenants:","Изучите эти материалы, чтобы глубже понять Bitcoin covenant:","translated"
"about.overview","Overview","Обзор","translated"
"about.overviewText","The OPTN Wallet App gives you direct control and security over your digital assets. Bitcoin covenants let you set custom rules for how funds can be spent, so your wallet can match your preferences.","Приложение OPTN Wallet даёт прямой контроль и защиту цифровых активов. Bitcoin covenant позволяют задавать правила расходования средств.","translated"
"about.security","Security","Безопасность","translated"
"about.securityText","Bitcoin covenant features help protect assets from unauthorized transactions.","Возможности Bitcoin covenant помогают защищать активы от несанкционированных транзакций.","translated"
"about.unmatched","Unmatched Security","Непревзойдённая безопасность","translated"
"about.unmatchedText","Define exactly how funds can be spent with Bitcoin covenants.","Точно определяйте способы расходования средств с помощью Bitcoin covenant.","translated"
"about.viewing","Viewing Covenants","Просмотр covenant","translated"
"about.viewingText","Review the rules that govern transactions so you can understand how your funds are protected.","Изучайте правила транзакций, чтобы понимать, как защищены ваши средства.","translated"
"about.why","Why Choose OPTN Wallet?","Почему стоит выбрать OPTN Wallet?","translated"
"about.wiki","Bitcoin Covenants Wiki","Wiki Bitcoin covenant","translated"
"actions.advanced","Advanced","Расширенные","translated"
"actions.advancedActions","Advanced Actions","Расширенные действия","translated"
"actions.basic","Basic","Основные","translated"
"actions.basicActions","Basic Actions","Основные действия","translated"
"actions.cashTokens","CashTokens","CashTokens","stable-term"
"actions.cashTokensDescription","Manage token families","Управлять семействами токенов","translated"
"actions.commonWalletTasks","Common wallet tasks","Обычные задачи кошелька","translated"
"actions.contracts","Contracts","Контракты","translated"
"actions.contractsDescription","Manage contract instances","Управлять экземплярами контрактов","translated"
"actions.deeperTools","Deeper tools and workflows","Расширенные инструменты и процессы","translated"
"actions.newAddress","New Address","Новый адрес","translated"
"actions.newAddressDescription","Generate a new address","Создать новый адрес","translated"
"actions.quantumroot","Quantumroot","Quantumroot","stable-term"
"actions.quantumrootBadge","Beta production","Бета в рабочем режиме","translated"
"actions.quantumrootDescription","Quantum-ready vaults","Хранилища с защитой от квантовых угроз","translated"
"actions.receive","Receive","Получить","translated"
"actions.receiveDescription","Receive BCH or CashTokens","Получить BCH или CashTokens","translated"
"actions.scanQr","Scan QR","Сканировать QR","translated"
"actions.scanQrDescription","Sweep paper wallets","Сканировать бумажный кошелёк","translated"
"actions.send","Send","Отправить","translated"
"actions.sendDescription","Send BCH or CashTokens","Отправить BCH или CashTokens","translated"
"actions.subtitle","Simple wallet actions for everyday use","Простые действия для повседневного использования кошелька","translated"
"actions.taskMode","Task mode","Режим задач","translated"
"actions.taskModeDescription","Basic tasks first, advanced tools one step deeper","Сначала основные задачи, расширенные инструменты — уровнем глубже","translated"
"actions.title","Actions","Действия","stable-term"
"actions.transactionBuilder","Transaction Builder","Конструктор транзакций","translated"
"actions.transactionBuilderDescription","Build custom transactions","Создавать пользовательские транзакции","translated"
"actions.walletConnect","WalletConnect","WalletConnect","stable-term"
"actions.walletConnectDescription","Manage dApp sessions","Управлять сессиями dApp","translated"
"actions.wizardConnect","WizardConnect","WizardConnect","stable-term"
"actions.wizardConnectDescription","XPub-key-enabled dApp sessions","Сессии dApp с поддержкой ключей XPub","translated"
"addons.description","Addons run in a sandboxed frame with no access to your wallet's keys or memory — they can only do what the permissions you approve allow.","Дополнения работают в изолированном фрейме без доступа к ключам или памяти кошелька и могут делать только разрешённое вами.","translated"
"addons.desktopOnly","Installing addons from a folder is only available on desktop.","Установка дополнений из папки доступна только на компьютере.","translated"
"addons.installed","Installed addons","Установленные дополнения","translated"
"addons.installedStatus","Installed “{name}”. Restart the app to load it.","«{name}» установлено. Перезапустите приложение для загрузки.","translated"
"addons.installFolder","Install from folder…","Установить из папки…","translated"
"addons.installing","Installing…","Установка…","translated"
"addons.none","No addons installed.","Дополнения не установлены.","translated"
"addons.uninstall","Uninstall","Удалить","translated"
"addons.uninstalledStatus","Uninstalled. Restart the app for it to fully disappear.","Удалено. Перезапустите приложение, чтобы оно исчезло полностью.","translated"
"app.back","Back","Назад","translated"
"app.close","Close","Закрыть","translated"
"app.confirmLogout","Confirm Logout","Подтвердить выход","translated"
"app.confirmLogoutDescription","Confirm logout to remove this wallet from the device.","После выхода этот кошелёк будет удалён с устройства.","translated"
"app.help","Help","Помощь","translated"
"app.language","Language","Язык","translated"
"app.languageDescription","Choose the wallet interface language","Выберите язык интерфейса кошелька","translated"
"app.logOut","Log Out","Выйти","translated"
"app.quickAccess","Quick access","Быстрый доступ","translated"
"app.settings","Settings","Настройки","translated"
"app.toggleTheme","Toggle theme","Сменить тему","translated"
"appLock.cancel","Cancel","Отмена","translated"
"appLock.checking","Checking…","Проверка…","translated"
"appLock.confirm","Confirm","Подтвердить","translated"
"appLock.confirmPassword","Confirm password","Подтвердите пароль","translated"
"appLock.incorrect","Incorrect passphrase. Try again.","Неверная фраза. Повторите попытку.","translated"
"appLock.password","Password","Пароль","translated"
"appLock.revealBackup","Enter your password to reveal the backup phrase.","Введите пароль, чтобы показать резервную фразу.","translated"
"appLock.verificationFailed","Verification failed. Please try again.","Проверка не удалась. Повторите попытку.","translated"
"apps.addonLoadFailed","Addon failed to load","Не удалось загрузить дополнение","translated"
"apps.advanced","Advanced","Расширенные","translated"
"apps.all","All","Все","translated"
"apps.allowCapabilities","Allow {name} capabilities?","Разрешить приложению {name} эти возможности?","translated"
"apps.allowOnce","Allow once","Разрешить один раз","translated"
"apps.allowSensitiveAction","Allow sensitive action?","Разрешить чувствительное действие?","translated"
"apps.alwaysAllow","Always allow","Всегда разрешать","translated"
"apps.appDefinition","App definition","Определение приложения","translated"
"apps.approveCapabilities","Approve required capabilities to continue.","Одобрите необходимые разрешения, чтобы продолжить.","translated"
"apps.back","Back","Назад","translated"
"apps.browse","Browse apps","Обзор приложений","translated"
"apps.browseSubtitle","Wallet first, then tokens, utils, and advanced platforms","Сначала кошелёк, затем токены, утилиты и расширенные платформы","translated"
"apps.capabilitiesMessage","This addon app is requesting wallet capabilities before launch.","Это приложение-дополнение запрашивает разрешения кошелька перед запуском.","translated"
"apps.capability","Capability:","Возможность:","translated"
"apps.capability.addOutputs","Construct transaction outputs","Создавать выходы транзакций","translated"
"apps.capability.addressUtxosRead","Read UTXOs for wallet addresses","Читать UTXO адресов кошелька","translated"
"apps.capability.addressUtxosRefresh","Refresh and store UTXOs for wallet addresses","Обновлять и хранить UTXO адресов кошелька","translated"
"apps.capability.broadcastTransactions","Broadcast transactions","Транслировать транзакции","translated"
"apps.capability.buildTransactions","Build transactions","Создавать транзакции","translated"
"apps.capability.fetchJson","Fetch JSON over HTTP","Получать JSON по HTTP","translated"
"apps.capability.signatureTemplates","Create signature templates","Создавать шаблоны подписей","translated"
"apps.capability.signMessages","Sign messages with wallet keys","Подписывать сообщения ключами кошелька","translated"
"apps.capability.tokenHoldersRead","Read TokenIndex holder lists","Читать списки держателей TokenIndex","translated"
"apps.capability.tokenMetadataRead","Read CashToken metadata","Читать метаданные CashToken","translated"
"apps.capability.walletAddressesRead","Read wallet addresses","Читать адреса кошелька","translated"
"apps.capability.walletContextRead","Read wallet context","Читать контекст кошелька","translated"
"apps.capability.walletUtxosRead","Read wallet UTXOs","Читать UTXO кошелька","translated"
"apps.capabilityRequested","{name} requested: {capability}.","{name} запросил: {capability}.","translated"
"apps.cashFusionDescription","Private CoinJoin — server or P2P over Nostr + Tor","Приватный CoinJoin — сервер или P2P через Nostr + Tor","translated"
"apps.chatDescription","Private end-to-end encrypted Nostr messaging","Приватные сквозные зашифрованные сообщения Nostr","translated"
"apps.comingSoon","Coming soon","Скоро","translated"
"apps.contractsDescription","Browse artifacts and manage deployed instances","Просмотр артефактов и управление развёрнутыми экземплярами","translated"
"apps.deny","Deny","Запретить","translated"
"apps.empty","No apps in this category.","В этой категории нет приложений.","translated"
"apps.expectedScreen","Expected config.screen (or app.id) to map to a built-in app implementation.","config.screen (или app.id) должен соответствовать встроенной реализации приложения.","translated"
"apps.failedToLoad","Failed to load app","Не удалось загрузить приложение","translated"
"apps.goToLanding","Go to Landing","На главный экран","translated"
"apps.loadFailed","Failed to load addon apps","Не удалось загрузить приложения дополнений","translated"
"apps.loadingAddon","Loading addon…","Загрузка дополнения…","translated"
"apps.loadingApp","Loading app…","Загрузка приложения…","translated"
"apps.noWallet","No wallet selected","Кошелёк не выбран","translated"
"apps.permissionDenied","Permission denied. App launch was blocked.","Доступ запрещён. Запуск приложения заблокирован.","translated"
"apps.quantumrootDescription","Receive and recovery tools for advanced vaults","Инструменты получения и восстановления расширенных хранилищ","translated"
"apps.resolvedScreenId","Resolved screen ID","Разрешённый ID экрана","translated"
"apps.subtitle","Extend your wallet with tools","Расширяйте кошелёк с помощью инструментов","translated"
"apps.title","Apps","Приложения","translated"
"apps.token","Token","Токен","stable-term"
"apps.unsupportedAppKind","Unsupported app kind:","Неподдерживаемый тип приложения:","translated"
"apps.unsupportedDeclarativeApp","Unsupported declarative app:","Неподдерживаемое декларативное приложение:","translated"
"apps.utils","Utils","Утилиты","translated"
"apps.waitingPermission","Waiting for app permission","Ожидание разрешения приложения","translated"
"apps.wallet","Wallet","Кошелёк","stable-term"
"assets.advancedVaultDescription","Receive and recovery tools for advanced vaults","Инструменты получения и восстановления для расширенных хранилищ","translated"
"assets.advancedVaultWorkspace","Advanced vault workspace","Расширенная рабочая область хранилища","translated"
"assets.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"assets.cashTokenHoldings","CashToken holdings","Баланс CashTokens","translated"
"assets.cashTokens","CashTokens","CashTokens","stable-term"
"assets.categories","categories","категории","translated"
"assets.chipnet","Chipnet","Chipnet","stable-term"
"assets.fungible","fungible","взаимозаменяемые","translated"
"assets.fungibleHoldings","Fungible token holdings","Баланс взаимозаменяемых токенов","translated"
"assets.mintingNfts","Minting NFTs","NFT для выпуска","translated"
"assets.mintingNftsDescription","Authority to mint additional NFTs in this category","Полномочие выпускать дополнительные NFT в этой категории","translated"
"assets.mintTokens","Mint Tokens","Выпустить токены","translated"
"assets.mutableNfts","Mutable NFTs","Изменяемые NFT","translated"
"assets.mutableNftsDescription","Commitment may be changed by the holder","Владелец может изменить обязательство","translated"
"assets.nfts","NFTs","NFT","stable-term"
"assets.noFungibleTokens","No fungible CashTokens found.","Взаимозаменяемые CashTokens не найдены.","translated"
"assets.noNfts","No NFTs found.","NFT не найдены.","translated"
"assets.nonFungibleHoldings","Non-fungible holdings","Баланс невзаимозаменяемых активов","translated"
"assets.openVaults","Open vaults","Открыть хранилища","translated"
"assets.plainNfts","Plain NFTs","Обычные NFT","translated"
"assets.plainNftsDescription","Fixed commitment; cannot be changed or used to mint","Фиксированное обязательство; нельзя изменить или использовать для выпуска","translated"
"assets.primaryBalance","Primary wallet balance","Основной баланс кошелька","translated"
"assets.quantumroot","Quantumroot","Quantumroot","stable-term"
"assets.quickInventory","Quick view of your wallet inventory","Быстрый обзор активов кошелька","translated"
"assets.tabBch","BCH","BCH","stable-term"
"assets.tabNfts","NFTs","NFT","stable-term"
"assets.tabTokens","Tokens","Токены","stable-term"
"assets.title","Assets","Активы","translated"
"assets.toggleBalance","Toggle BCH and USD balance","Переключить баланс BCH и USD","translated"
"assets.units","units","единицы","translated"
"assets.usdPriceUnavailable","USD price unavailable","Цена в USD недоступна","translated"
"assets.usdUnavailable","USD unavailable","USD недоступен","translated"
"assets.vaultWorkspace","Vault workspace","Рабочая область хранилища","translated"
"bip37.addressesWithCoins","address(es) with coins","адресов со средствами","translated"
"bip37.blocks","blocks","блоков","stable-term"
"bip37.fromNode","BCH from the node ✓","BCH из узла ✓","translated"
"bip37.height","height","высота","translated"
"bip37.inUse","● in use","● используется","translated"
"bip37.node","Node","Узел","stable-term"
"bip37.notServes","Does not serve BIP37 ✗ (bloom filtering off)","Не поддерживает BIP37 ✗ (фильтрация Блума отключена)","translated"
"bip37.probe","Probe","Проверить","translated"
"bip37.probing","Probing…","Проверка…","translated"
"bip37.protocol","protocol","протокол","translated"
"bip37.remove","Remove","Удалить","translated"
"bip37.scanned","scanned","просканировано","translated"
"bip37.serves","Serves BIP37 ✓","Поддерживает BIP37 ✓","translated"
"bip37.sync","Sync","Синхронизировать","translated"
"bip37.syncing","Syncing…","Синхронизация…","translated"
"bip37.syncingDetails","Syncing headers + scanning blocks via the node…","Синхронизация заголовков и сканирование блоков через узел…","translated"
"bip37.use","Use","Использовать","translated"
"bip37.useBalanceTitle","Derive this wallet's balance directly from the node (trustless SPV)","Получать баланс кошелька напрямую из узла (SPV без доверия)","translated"
"bip37.useNodeTitle","Use ONLY this node for wallet data (trustless; Electrum servers are not consulted)","Использовать ТОЛЬКО этот узел для данных кошелька (без доверия; серверы Electrum не используются)","translated"
"bip37.verified","Verified trustlessly: every matched tx proven by its block's merkle proof.","Проверено без доверия: каждая найденная транзакция подтверждена меркль-доказательством блока.","translated"
"bip37.watching","watching","отслеживается","translated"
"builder.addFirstRecipient","Add your first recipient","Добавьте первого получателя","translated"
"builder.addOpReturnOutput","Add OP_RETURN Output","Add OP_RETURN Output","needs-review"
"builder.addOutput","Add Output","Добавить выход","translated"
"builder.addRecipient","Add recipient","Добавить получателя","translated"
"builder.addRecipients","Add recipients","Добавить получателей","translated"
"builder.addRecipientsDescription","Add BCH recipients, token transfers, collectibles, or an optional message output.","Добавьте получателей BCH, переводы токенов, коллекционные предметы или необязательный выход сообщения.","translated"
"builder.address","Address","Address","needs-review"
"builder.amount","Amount","Amount","needs-review"
"builder.amountToSend","Amount to send","Сумма отправки","translated"
"builder.attachMessage","Attach message","Прикрепить сообщение","translated"
"builder.back","Back","Назад","translated"
"builder.bchAddress","BCH address","Адрес BCH","translated"
"builder.bchAmountSats","BCH amount (sats)","BCH amount (sats)","needs-review"
"builder.bchFunds","BCH funds","BCH funds","needs-review"
"builder.broadcastedSuccess","Your transaction was broadcast successfully!","Транзакция успешно транслирована!","translated"
"builder.buildTransaction","Build Transaction","Создать транзакцию","translated"
"builder.buildTx","Build TX","Build TX","needs-review"
"builder.capability","Capability","Capability","needs-review"
"builder.category","Category","Category","needs-review"
"builder.chooseSource","Choose a source","Выбрать источник","translated"
"builder.chooseSourceDescription","Pick wallet addresses for normal sends, or contracts for script spends.","Для обычной отправки выберите адреса кошелька, а для расходов скрипта — контракты.","translated"
"builder.chooseSourceHelp","Choose source","Выберите источник","translated"
"builder.close","Close","Закрыть","translated"
"builder.collectibleAmount","Collectible amount","Collectible amount","needs-review"
"builder.commitment","Commitment","Commitment","needs-review"
"builder.configureCollectible","Configure collectible","Configure collectible","needs-review"
"builder.confirmAndSend","Confirm and Send Transaction","Подтвердить и отправить транзакцию","translated"
"builder.confirmTransaction","Confirm Transaction","Подтвердить транзакцию","translated"
"builder.contract","Contract","Contract","needs-review"
"builder.contractAddress","Contract address","Адрес контракта","translated"
"builder.contractAssets","Contract assets","Contract assets","needs-review"
"builder.contractFunction","Contract Function","Contract Function","needs-review"
"builder.contractFunds","Contract funds","Contract funds","needs-review"
"builder.contracts","Contracts","Контракты","translated"
"builder.contractSourceCount","{count} contract source(s)","{count} contract source(s)","needs-review"
"builder.contractSourcePlural","{count} contract sources","{count} contract sources","needs-review"
"builder.contractSources","Contract sources","Источники контрактов","translated"
"builder.contractSourceSingular","{count} contract source","{count} contract source","needs-review"
"builder.copyToClipboard","Copy to clipboard","Копировать в буфер обмена","translated"
"builder.createCollectible","Create collectible","Создать коллекционный предмет","translated"
"builder.createToken","Create token","Создать токен","translated"
"builder.customSend","Custom Send","Настраиваемая отправка","translated"
"builder.decodeFailed","Unable to decode transaction. Showing raw hex:","Не удалось декодировать транзакцию. Показаны исходные hex-данные:","translated"
"builder.dragToConfirm","Drag to Confirm","Перетащите для подтверждения","translated"
"builder.enterTokenAmount","Enter amount (max {amount})","Enter amount (max {amount})","needs-review"
"builder.estimatedNetworkFee","Estimated network fee","Расчётная комиссия сети","translated"
"builder.feeReserve","Leaving a {count} sat fee reserve.","Резерв комиссии: {count} sat.","translated"
"builder.flow","Flow","Процесс","translated"
"builder.flowDescription","Pick a source, choose funds, add recipients, then preview the final transaction before sending.","Выберите источник и средства, добавьте получателей, затем просмотрите итоговую транзакцию перед отправкой.","translated"
"builder.fundsSelected","Funds selected","Средства выбраны","translated"
"builder.fungibleAmount","Fungible Amount","Fungible Amount","needs-review"
"builder.fungibleTokens","Fungible Tokens","Fungible Tokens","needs-review"
"builder.genesisCollectible","Genesis input for this collectible","Genesis input for this collectible","needs-review"
"builder.genesisInput","Genesis input for this token","Genesis input for this token","needs-review"
"builder.help","Help","Справка","translated"
"builder.howWorks","How this works","Как это работает","translated"
"builder.inputs","Inputs","Inputs","needs-review"
"builder.leftoverBchPlaceholder","Wallet address for leftover BCH","Адрес кошелька для остатка BCH","translated"
"builder.max","Max","Максимум","translated"
"builder.maxSpendable","Set to maximum spendable (leaves 2000 sats for fees)","Установить максимальную сумму (оставить 2000 sats на комиссию)","translated"
"builder.missingUnlocker","Missing unlocker!","Нет unlocker!","translated"
"builder.next","Next","Далее","translated"
"builder.nftCapability","NFT Capability","NFT Capability","needs-review"
"builder.nftCommitment","NFT Commitment","NFT Commitment","needs-review"
"builder.noContractAddresses","No contract addresses available.","Нет доступных адресов контрактов.","translated"
"builder.noFundsSelected","No funds selected yet.","Средства ещё не выбраны.","translated"
"builder.none","None","None","needs-review"
"builder.nonFungibleTokens","Non-Fungible Tokens","Non-Fungible Tokens","needs-review"
"builder.noOutputs","No outputs added yet.","Выходы ещё не добавлены.","translated"
"builder.noQrCode","No QR code detected. Please try again.","No QR code detected. Please try again.","needs-review"
"builder.noSpendableBalance","No spendable balance after fee reserve","После резерва комиссии нет доступного баланса","translated"
"builder.noUtxosSelected","No UTXOs selected.","UTXO не выбраны.","translated"
"builder.noWalletAddresses","No wallet addresses available.","Нет доступных адресов кошелька.","translated"
"builder.opReturnData","OP_RETURN Data","OP_RETURN Data","needs-review"
"builder.opReturnEmpty","OP_RETURN data cannot be empty.","OP_RETURN data cannot be empty.","needs-review"
"builder.opReturnOutput","OP_RETURN Output","OP_RETURN Output","needs-review"
"builder.opReturnPlaceholder","Enter space-separated ASCII words","Enter space-separated ASCII words","needs-review"
"builder.outputs","Outputs","Outputs","needs-review"
"builder.paperWallet","Paper Wallet","Paper Wallet","needs-review"
"builder.paperWalletUtxos","Paper Wallet UTXOs","Paper Wallet UTXOs","needs-review"
"builder.pickFunds","Pick funds","Выбрать средства","translated"
"builder.pickFundsDescription","Select the BCH, tokens, or collectibles that will fund this transaction.","Выберите BCH, токены или коллекционные предметы для финансирования транзакции.","translated"
"builder.rawTransactionDetails","Raw Transaction Details","Подробности сырой транзакции","translated"
"builder.ready","Ready","Готово","translated"
"builder.recipient","{count} recipient","{count} recipient","needs-review"
"builder.recipientAddress","Recipient Address","Адрес получателя","translated"
"builder.recipientCount","{count} recipients","{count} recipients","needs-review"
"builder.recipients","Recipients","Получатели","translated"
"builder.recipientsAdded","Recipients added","Получатели добавлены","translated"
"builder.remove","Remove","Удалить","translated"
"builder.removeAllRecipients","Remove all recipients","Удалить всех получателей","translated"
"builder.returnLeftover","Return leftover funds to","Вернуть остаток на","translated"
"builder.reviewAndSend","Review and send","Проверить и отправить","translated"
"builder.reviewAndSendDescription","Preview first, then send only when the summary looks right.","Сначала просмотрите данные и отправляйте только после проверки сводки.","translated"
"builder.reviewFunds","Review funds","Проверить средства","translated"
"builder.reviewRecipients","Review recipients","Проверить получателей","translated"
"builder.scanQrCode","Scan QR Code","Сканировать QR-код","translated"
"builder.selectedFunds","Selected funds","Выбранные средства","translated"
"builder.selectedItem","{count} selected item","{count} selected item","needs-review"
"builder.selectedItems","{count} selected items","{count} selected items","needs-review"
"builder.selectGenesisInput","Select genesis input","Select genesis input","needs-review"
"builder.selectSource","Select a source to continue.","Выберите источник, чтобы продолжить.","translated"
"builder.sendBch","Send BCH","Отправить BCH","translated"
"builder.sendTx","Send TX","Send TX","needs-review"
"builder.sendWarning","You are about to send a transaction. Please confirm that all details are correct. This action cannot be undone.","Вы собираетесь отправить транзакцию. Убедитесь, что все сведения верны. Это действие нельзя отменить.","translated"
"builder.sourcesChosen","Sources chosen","Источники выбраны","translated"
"builder.step","Step {number}","Шаг {number}","translated"
"builder.token","Token","Token","needs-review"
"builder.tokenAddress","Token address","Адрес токена","translated"
"builder.tokenAmount","Token Amount","Token Amount","needs-review"
"builder.tokenCategory","Token Category","Token Category","needs-review"
"builder.tokenCategoryLabel","Token Category","Token Category","needs-review"
"builder.tokensCollectibles","Tokens & collectibles","Tokens & collectibles","needs-review"
"builder.transactionError","Transaction Error","Ошибка транзакции","translated"
"builder.transactionSubmitted","Transaction Submitted","Транзакция отправлена","translated"
"builder.transactionSubmittedDescription","Your transaction has been submitted. Use this txid as the reference and avoid sending it again.","Транзакция отправлена. Используйте этот txid как ссылку и не отправляйте её повторно.","translated"
"builder.transactionSuccessful","Transaction Successful","Транзакция выполнена","translated"
"builder.transferMinimum","Transfer amount must be at least {count}.","Transfer amount must be at least {count}.","needs-review"
"builder.tryAgain","Try Again","Повторить","translated"
"builder.txHash","Tx Hash","Tx Hash","needs-review"
"builder.txId","TX ID","TX ID","needs-review"
"builder.viewExplorer","View on Explorer","Открыть в обозревателе","translated"
"builder.wallet","Wallet","Wallet","needs-review"
"builder.walletAssets","Wallet assets","Wallet assets","needs-review"
"builder.walletFunds","Wallet funds","Средства кошелька","translated"
"builder.walletSourceCount","{count} wallet source(s)","{count} wallet source(s)","needs-review"
"builder.walletSourcePlural","{count} wallet sources","{count} wallet sources","needs-review"
"builder.walletSources","Wallet sources","Источники кошелька","translated"
"builder.walletSourceSingular","{count} wallet source","{count} wallet source","needs-review"
"builder.warning","⚠️ Warning","⚠️ Предупреждение","translated"
"camera.cancel","Cancel","Отмена","translated"
"camera.scan","Scan QR with camera","Сканировать QR камерой","translated"
"camera.unavailable","Camera unavailable: {error}. Use Upload instead.","Камера недоступна: {error}. Используйте загрузку.","translated"
"cauldron.active","active","активны","translated"
"cauldron.description","Detected from the active wallet receive/change/DeFi address set through the Cauldron indexer.","Обнаружены индексатором Cauldron в активном наборе адресов получения, сдачи и DeFi кошелька.","translated"
"cauldron.positions","Cauldron positions","Позиции Cauldron","translated"
"cauldron.tokenCategories","token categories","категории токенов","translated"
"chat.back","Back to conversations","Назад к беседам","translated"
"chat.choosePhoto","Choose photo","Выбрать фото","translated"
"chat.copyNpub","Copy npub","Копировать npub","translated"
"chat.displayName","Display name","Отображаемое имя","translated"
"chat.emptyDescription","Pick a conversation, or tap + to message someone by their npub. Messages are end-to-end encrypted over Nostr.","Выберите беседу или нажмите +, чтобы написать кому-то по npub. Сообщения шифруются сквозным шифрованием через Nostr.","translated"
"chat.encrypted","End-to-end encrypted","Сквозное шифрование","translated"
"chat.messagePlaceholder","Message…","Сообщение…","stable-term"
"chat.newChat","New chat","Новый чат","translated"
"chat.newConversation","New conversation","Новая беседа","translated"
"chat.noConversations","No conversations yet. Tap + to start one.","Бесед пока нет. Нажмите +, чтобы начать.","translated"
"chat.noMessages","No messages yet. Say hi — messages are end-to-end encrypted.","Сообщений пока нет. Поздоровайтесь — сообщения шифруются сквозным шифрованием.","translated"
"chat.open","Open","Открыть","translated"
"chat.privateConversations","Your private conversations","Ваши приватные беседы","translated"
"chat.privateMessaging","Private Nostr messaging","Приватные сообщения Nostr","translated"
"chat.profile","Profile","Профиль","translated"
"chat.profilePublished","Profile published ✓","Профиль опубликован ✓","translated"
"chat.publishProfile","Publish profile","Опубликовать профиль","translated"
"chat.recipient","Recipient npub…","npub получателя…","translated"
"chat.searchConversations","Search conversations","Поиск бесед","translated"
"chat.send","Send","Отправить","translated"
"chat.setup","Nostr setup","Настройка Nostr","translated"
"chat.title","Chat","Чат","translated"
"chat.youPrefix","You: ","Вы: ","translated"
"chat.yourNpub","Your npub","Ваш npub","translated"
"confirm.action","Confirm action","Подтвердить действие","translated"
"confirm.cancel","Cancel","Отмена","translated"
"confirm.ok","OK","ОК","stable-term"
"console.appLog","App Log","Журнал приложения","translated"
"console.clear","Clear","Очистить","translated"
"console.noEntries","No log entries yet.","Записей в журнале пока нет.","translated"
"console.placeholder","method [params…]","method [params…]","stable-term"
"console.rpc","Electrum RPC","Electrum RPC","stable-term"
"console.send","Send","Отправить","translated"
"console.sending","…","…","stable-term"
"console.typeHint","Type: method param1 param2 — e.g. server.version or blockchain.headers.subscribe","Введите: метод параметр1 параметр2 — например server.version или blockchain.headers.subscribe","translated"
"contract.arbiter","Arbiter: A trusted party who authorizes release of funds.","Арбитр: доверенная сторона, разрешающая выпуск средств.","translated"
"contract.available","Available Contracts","Доступные контракты","translated"
"contract.bip38","BIP38 (Password-Protected Private Keys)","BIP38 (закрытые ключи, защищённые паролем)","translated"
"contract.bip38Desc","The BIP38 contract secures private keys with a password. Its UTXOs require both the correct password and a valid signature.","Контракт BIP38 защищает закрытые ключи паролем. Для его UTXO нужны правильный пароль и действительная подпись.","translated"
"contract.bip38Spending","Spending Requirements: Provide a valid owner signature and a data signature verifying the password.","Условия расходования: действительная подпись владельца и подпись данных, подтверждающая пароль.","translated"
"contract.bip38UseCase","Use Case: Ideal for protecting private keys against theft or unauthorized access, especially for long-term storage.","Применение: подходит для защиты закрытых ключей от кражи или несанкционированного доступа, особенно при долгосрочном хранении.","translated"
"contract.enhancedTrust","Enhanced Trust: Useful for transactions requiring multiple trusted parties.","Повышенное доверие: полезно для сделок, требующих нескольких доверенных сторон.","translated"
"contract.escrow","Escrow","Escrow","stable-term"
