"key","English (en)","Hausa (Nigeria) (ha-NG)","Status"
"about.learnText","Explore these resources to deepen your understanding of Bitcoin covenants:","Binciki waɗannan albarkatu don ƙara fahimtar Bitcoin covenants:","translated"
"about.overview","Overview","Bayani gaba ɗaya","translated"
"about.overviewText","The OPTN Wallet App gives you direct control and security over your digital assets. Bitcoin covenants let you set custom rules for how funds can be spent, so your wallet can match your preferences.","Manhajar OPTN Wallet tana ba ka iko kai tsaye da tsaron kadarorin dijital. Bitcoin covenants suna ba ka damar saita ƙa’idodin kashe kuɗi na musamman.","translated"
"about.security","Security","Tsaro","translated"
"about.securityText","Bitcoin covenant features help protect assets from unauthorized transactions.","Fasalolin Bitcoin covenant suna taimakawa kare kadarori daga ciniki marar izini.","translated"
"about.unmatched","Unmatched Security","Tsaro na musamman","translated"
"about.unmatchedText","Define exactly how funds can be spent with Bitcoin covenants.","Ƙayyade ainihin yadda za a kashe kuɗi ta Bitcoin covenants.","translated"
"about.viewing","Viewing Covenants","Duba covenants","translated"
"about.viewingText","Review the rules that govern transactions so you can understand how your funds are protected.","Duba ƙa’idodin ciniki domin fahimtar yadda ake kare kuɗinka.","translated"
"about.why","Why Choose OPTN Wallet?","Me ya sa za ka zaɓi OPTN Wallet?","translated"
"about.wiki","Bitcoin Covenants Wiki","Wiki na Bitcoin covenants","translated"
"actions.advanced","Advanced","Na ci gaba","translated"
"actions.advancedActions","Advanced Actions","Ayyukan ci gaba","translated"
"actions.basic","Basic","Asali","translated"
"actions.basicActions","Basic Actions","Ayyukan asali","translated"
"actions.cashTokens","CashTokens","CashTokens","stable-term"
"actions.cashTokensDescription","Manage token families","Sarrafa rukunin token","translated"
"actions.commonWalletTasks","Common wallet tasks","Ayyukan walat da aka saba yi","translated"
"actions.contracts","Contracts","Kwangiloli","translated"
"actions.contractsDescription","Manage contract instances","Sarrafa misalan kwangila","translated"
"actions.deeperTools","Deeper tools and workflows","Kayan aiki da hanyoyin aiki na ci gaba","translated"
"actions.newAddress","New Address","Sabon adireshi","translated"
"actions.newAddressDescription","Generate a new address","Ƙirƙiri sabon adireshi","translated"
"actions.quantumroot","Quantumroot","Quantumroot","stable-term"
"actions.quantumrootBadge","Beta production","Beta mai aiki","translated"
"actions.quantumrootDescription","Quantum-ready vaults","Taskokin da aka tanada don zamanin quantum","translated"
"actions.receive","Receive","Karɓa","translated"
"actions.receiveDescription","Receive BCH or CashTokens","Karɓi BCH ko CashTokens","translated"
"actions.scanQr","Scan QR","Duba QR","translated"
"actions.scanQrDescription","Sweep paper wallets","Kwato walat ɗin takarda","translated"
"actions.send","Send","Aika","translated"
"actions.sendDescription","Send BCH or CashTokens","Aika BCH ko CashTokens","translated"
"actions.subtitle","Simple wallet actions for everyday use","Sauƙaƙan ayyukan walat don amfanin yau da kullum","translated"
"actions.taskMode","Task mode","Yanayin aiki","translated"
"actions.taskModeDescription","Basic tasks first, advanced tools one step deeper","Ayyukan asali da farko, kayan aiki na ci gaba a mataki na gaba","translated"
"actions.title","Actions","Ayyuka","stable-term"
"actions.transactionBuilder","Transaction Builder","Mai gina ma’amala","translated"
"actions.transactionBuilderDescription","Build custom transactions","Gina ma’amaloli na musamman","translated"
"actions.walletConnect","WalletConnect","WalletConnect","stable-term"
"actions.walletConnectDescription","Manage dApp sessions","Sarrafa zaman dApp","translated"
"actions.wizardConnect","WizardConnect","WizardConnect","stable-term"
"actions.wizardConnectDescription","XPub-key-enabled dApp sessions","Zaman dApp masu amfani da makullin XPub","translated"
"addons.description","Addons run in a sandboxed frame with no access to your wallet's keys or memory — they can only do what the permissions you approve allow.","Add-ons suna aiki a frame mai sandbox ba tare da damar maɓallan ko ƙwaƙwalwar wallet ba — suna yin abin da izinin da ka amince da shi kawai.","translated"
"addons.desktopOnly","Installing addons from a folder is only available on desktop.","Girka add-ons daga babban fayil yana samuwa a kwamfuta kawai.","translated"
"addons.installed","Installed addons","Add-ons da aka girka","translated"
"addons.installedStatus","Installed “{name}”. Restart the app to load it.","An girka “{name}”. Sake kunna manhaja don lodawa.","translated"
"addons.installFolder","Install from folder…","Girka daga babban fayil…","translated"
"addons.installing","Installing…","Ana girkawa…","translated"
"addons.none","No addons installed.","Babu add-on da aka girka.","translated"
"addons.uninstall","Uninstall","Cire girka","translated"
"addons.uninstalledStatus","Uninstalled. Restart the app for it to fully disappear.","An cire girka. Sake kunna manhaja don ya ɓace gaba ɗaya.","translated"
"app.back","Back","Koma","translated"
"app.close","Close","Rufe","translated"
"app.confirmLogout","Confirm Logout","Tabbatar da fita","translated"
"app.confirmLogoutDescription","Confirm logout to remove this wallet from the device.","Tabbatar da fita don cire wannan walat daga na’urar.","translated"
"app.help","Help","Taimako","translated"
"app.language","Language","Harshe","translated"
"app.languageDescription","Choose the wallet interface language","Zaɓi harshen fuskar walat ɗin ku","translated"
"app.logOut","Log Out","Fita","translated"
"app.quickAccess","Quick access","Samun sauri","translated"
"app.settings","Settings","Saituna","translated"
"app.toggleTheme","Toggle theme","Canza salo","translated"
"appLock.cancel","Cancel","Soke","translated"
"appLock.checking","Checking…","Ana dubawa…","translated"
"appLock.confirm","Confirm","Tabbatar","translated"
"appLock.confirmPassword","Confirm password","Tabbatar da kalmar sirri","translated"
"appLock.incorrect","Incorrect passphrase. Try again.","Jumlar ba daidai ba ce. Sake gwadawa.","translated"
"appLock.password","Password","Kalmar sirri","translated"
"appLock.revealBackup","Enter your password to reveal the backup phrase.","Shigar da kalmar sirri don nuna jumlar ajiya.","translated"
"appLock.verificationFailed","Verification failed. Please try again.","Tabbatarwa ta gaza. Sake gwadawa.","translated"
"apps.addonLoadFailed","Addon failed to load","Add-on ya kasa loda","translated"
"apps.advanced","Advanced","Na ci gaba","translated"
"apps.all","All","Duka","translated"
"apps.allowCapabilities","Allow {name} capabilities?","A ba {name} damar amfani da waɗannan iko?","translated"
"apps.allowOnce","Allow once","Bada sau ɗaya","translated"
"apps.allowSensitiveAction","Allow sensitive action?","A ba da izinin aiki mai muhimmanci?","translated"
"apps.alwaysAllow","Always allow","Bada koyaushe","translated"
"apps.appDefinition","App definition","Ma’anar manhaja","translated"
"apps.approveCapabilities","Approve required capabilities to continue.","Amince da ikon da ake buƙata don ci gaba.","translated"
"apps.back","Back","Koma","translated"
"apps.browse","Browse apps","Duba manhajoji","translated"
"apps.browseSubtitle","Wallet first, then tokens, utils, and advanced platforms","Wallet da farko, sai tokens, kayan amfani da dandamali na ci gaba","translated"
"apps.capabilitiesMessage","This addon app is requesting wallet capabilities before launch.","Wannan add-on yana neman ikon wallet kafin farawa.","translated"
"apps.capability","Capability:","Iko:","translated"
"apps.capability.addOutputs","Construct transaction outputs","Gina fitarwar ciniki","translated"
"apps.capability.addressUtxosRead","Read UTXOs for wallet addresses","Karanta UTXO na adireshin wallet","translated"
"apps.capability.addressUtxosRefresh","Refresh and store UTXOs for wallet addresses","Sabunta da adana UTXO na adireshin wallet","translated"
"apps.capability.broadcastTransactions","Broadcast transactions","Watsa ciniki","translated"
"apps.capability.buildTransactions","Build transactions","Gina ciniki","translated"
"apps.capability.fetchJson","Fetch JSON over HTTP","Samo JSON ta HTTP","translated"
"apps.capability.signatureTemplates","Create signature templates","Ƙirƙiri samfuran sa hannu","translated"
"apps.capability.signMessages","Sign messages with wallet keys","Sa hannu kan saƙonni da maɓallan wallet","translated"
"apps.capability.tokenHoldersRead","Read TokenIndex holder lists","Karanta jerin masu TokenIndex","translated"
"apps.capability.tokenMetadataRead","Read CashToken metadata","Karanta bayanan CashToken","translated"
"apps.capability.walletAddressesRead","Read wallet addresses","Karanta adireshin wallet","translated"
"apps.capability.walletContextRead","Read wallet context","Karanta mahallin wallet","translated"
"apps.capability.walletUtxosRead","Read wallet UTXOs","Karanta UTXO na wallet","translated"
"apps.capabilityRequested","{name} requested: {capability}.","{name} ya nema: {capability}.","translated"
"apps.cashFusionDescription","Private CoinJoin — server or P2P over Nostr + Tor","CoinJoin na sirri — server ko P2P ta Nostr + Tor","translated"
"apps.chatDescription","Private end-to-end encrypted Nostr messaging","Saƙon Nostr na sirri mai rufin sirri daga ƙarshe zuwa ƙarshe","translated"
"apps.comingSoon","Coming soon","Zai zo nan gaba","translated"
"apps.contractsDescription","Browse artifacts and manage deployed instances","Duba artifacts da sarrafa abubuwan da aka tura","translated"
"apps.deny","Deny","Ƙi","translated"
"apps.empty","No apps in this category.","Babu manhaja a wannan rukunin.","translated"
"apps.expectedScreen","Expected config.screen (or app.id) to map to a built-in app implementation.","config.screen (ko app.id) ya kamata ya nuna ga manhajar da aka gina a ciki.","translated"
"apps.failedToLoad","Failed to load app","An kasa loda manhaja","translated"
"apps.goToLanding","Go to Landing","Je shafin farko","translated"
"apps.loadFailed","Failed to load addon apps","An kasa loda manhajojin add-on","translated"
"apps.loadingAddon","Loading addon…","Ana loda add-on…","translated"
"apps.loadingApp","Loading app…","Ana loda manhaja…","translated"
"apps.noWallet","No wallet selected","Ba a zaɓi wallet ba","translated"
"apps.permissionDenied","Permission denied. App launch was blocked.","An ƙi izini. An toshe farawar manhaja.","translated"
"apps.quantumrootDescription","Receive and recovery tools for advanced vaults","Kayan karɓa da dawo da vault na ci gaba","translated"
"apps.resolvedScreenId","Resolved screen ID","ID ɗin allo da aka warware","translated"
"apps.subtitle","Extend your wallet with tools","Faɗaɗa wallet da kayan aiki","translated"
"apps.title","Apps","Manhajoji","translated"
"apps.token","Token","Token","stable-term"
"apps.unsupportedAppKind","Unsupported app kind:","Nau’in manhaja da ba a goyan baya:","translated"
"apps.unsupportedDeclarativeApp","Unsupported declarative app:","Manhajar bayani da ba a goyan baya:","translated"
"apps.utils","Utils","Kayan amfani","translated"
"apps.waitingPermission","Waiting for app permission","Ana jiran izinin manhaja","translated"
"apps.wallet","Wallet","Wallet","stable-term"
"assets.advancedVaultDescription","Receive and recovery tools for advanced vaults","Kayan karɓa da dawo da vaults masu ci gaba","translated"
"assets.advancedVaultWorkspace","Advanced vault workspace","Wurin aiki na vault mai ci gaba","translated"
"assets.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"assets.cashTokenHoldings","CashToken holdings","CashTokens da ke cikin wallet","translated"
"assets.cashTokens","CashTokens","CashTokens","stable-term"
"assets.categories","categories","rukuni","translated"
"assets.chipnet","Chipnet","Chipnet","stable-term"
"assets.fungible","fungible","masu musanyawa","translated"
"assets.fungibleHoldings","Fungible token holdings","Token masu musanyawa da ke cikin wallet","translated"
"assets.mintingNfts","Minting NFTs","NFT na fitarwa","translated"
"assets.mintingNftsDescription","Authority to mint additional NFTs in this category","Ikon fitar da ƙarin NFT a wannan rukuni","translated"
"assets.mintTokens","Mint Tokens","Fitar da tokens","translated"
"assets.mutableNfts","Mutable NFTs","NFT masu canzawa","translated"
"assets.mutableNftsDescription","Commitment may be changed by the holder","Mai riƙewa zai iya canja alƙawarin","translated"
"assets.nfts","NFTs","NFT","stable-term"
"assets.noFungibleTokens","No fungible CashTokens found.","Ba a sami CashToken mai musanyawa ba.","translated"
"assets.noNfts","No NFTs found.","Ba a sami NFT ba.","translated"
"assets.nonFungibleHoldings","Non-fungible holdings","Kadarorin da ba sa musanyawa","translated"
"assets.openVaults","Open vaults","Buɗe vaults","translated"
"assets.plainNfts","Plain NFTs","NFT na yau da kullum","translated"
"assets.plainNftsDescription","Fixed commitment; cannot be changed or used to mint","Alƙawari tabbatacce; ba za a iya canja shi ko amfani da shi wajen fitarwa ba","translated"
"assets.primaryBalance","Primary wallet balance","Babban ma’aunin walat","translated"
"assets.quantumroot","Quantumroot","Quantumroot","stable-term"
"assets.quickInventory","Quick view of your wallet inventory","Saurin duba kadarorin wallet","translated"
"assets.tabBch","BCH","BCH","stable-term"
"assets.tabNfts","NFTs","NFT","stable-term"
"assets.tabTokens","Tokens","Token","stable-term"
"assets.title","Assets","Kadarori","translated"
"assets.toggleBalance","Toggle BCH and USD balance","Canja tsakanin ma’aunin BCH da USD","translated"
"assets.units","units","raka’a","translated"
"assets.usdPriceUnavailable","USD price unavailable","Farashin USD ba ya samuwa","translated"
"assets.usdUnavailable","USD unavailable","USD ba ya samuwa","translated"
"assets.vaultWorkspace","Vault workspace","Wurin aiki na vault","translated"
"bip37.addressesWithCoins","address(es) with coins","adireshi masu kuɗi","translated"
"bip37.blocks","blocks","blocks","stable-term"
"bip37.fromNode","BCH from the node ✓","BCH daga node ✓","translated"
"bip37.height","height","tsawo","translated"
"bip37.inUse","● in use","● ana amfani da shi","translated"
"bip37.node","Node","Node","stable-term"
"bip37.notServes","Does not serve BIP37 ✗ (bloom filtering off)","Ba ya hidimar BIP37 ✗ (an kashe bloom filtering)","translated"
"bip37.probe","Probe","Bincika","translated"
"bip37.probing","Probing…","Ana bincika…","translated"
"bip37.protocol","protocol","yarjejeniya","translated"
"bip37.remove","Remove","Cire","translated"
"bip37.scanned","scanned","an bincika","translated"
"bip37.serves","Serves BIP37 ✓","Yana hidimar BIP37 ✓","translated"
"bip37.sync","Sync","Daidaita","translated"
"bip37.syncing","Syncing…","Ana daidaitawa…","translated"
"bip37.syncingDetails","Syncing headers + scanning blocks via the node…","Ana daidaita headers da binciken blocks ta node…","translated"
"bip37.use","Use","Yi amfani","translated"
"bip37.useBalanceTitle","Derive this wallet's balance directly from the node (trustless SPV)","Fitar da ma’aunin wallet kai tsaye daga node (SPV marar dogaro)","translated"
"bip37.useNodeTitle","Use ONLY this node for wallet data (trustless; Electrum servers are not consulted)","Yi amfani da wannan node KAWAI don bayanan wallet (ba tare da dogaro ba; ba a tuntubar servers na Electrum)","translated"
"bip37.verified","Verified trustlessly: every matched tx proven by its block's merkle proof.","An tabbatar ba tare da dogaro ba: an tabbatar da kowace ciniki da ta dace ta merkle proof na block ɗinta.","translated"
"bip37.watching","watching","ana sa ido","translated"
"builder.addFirstRecipient","Add your first recipient","Ƙara mai karɓa na farko","translated"
"builder.addOpReturnOutput","Add OP_RETURN Output","Add OP_RETURN Output","needs-review"
"builder.addOutput","Add Output","Ƙara fitarwa","translated"
"builder.addRecipient","Add recipient","Ƙara mai karɓa","translated"
"builder.addRecipients","Add recipients","Ƙara masu karɓa","translated"
"builder.addRecipientsDescription","Add BCH recipients, token transfers, collectibles, or an optional message output.","Ƙara masu karɓar BCH, canja wurin token, abubuwan tarawa ko fitar da saƙo na zaɓi.","translated"
"builder.address","Address","Address","needs-review"
"builder.amount","Amount","Amount","needs-review"
"builder.amountToSend","Amount to send","Adadin da za a aika","translated"
"builder.attachMessage","Attach message","Haɗa saƙo","translated"
"builder.back","Back","Koma","translated"
"builder.bchAddress","BCH address","Adireshin BCH","translated"
"builder.bchAmountSats","BCH amount (sats)","BCH amount (sats)","needs-review"
"builder.bchFunds","BCH funds","BCH funds","needs-review"
"builder.broadcastedSuccess","Your transaction was broadcast successfully!","An watsa cinikinka cikin nasara!","translated"
"builder.buildTransaction","Build Transaction","Gina ciniki","translated"
"builder.buildTx","Build TX","Build TX","needs-review"
"builder.capability","Capability","Capability","needs-review"
"builder.category","Category","Category","needs-review"
"builder.chooseSource","Choose a source","Zaɓi tushe","translated"
"builder.chooseSourceDescription","Pick wallet addresses for normal sends, or contracts for script spends.","Zaɓi adireshin wallet don aikawa na yau da kullum, ko kwangila don kashe script.","translated"
"builder.chooseSourceHelp","Choose source","Zaɓi tushe","translated"
"builder.close","Close","Rufe","translated"
"builder.collectibleAmount","Collectible amount","Collectible amount","needs-review"
"builder.commitment","Commitment","Commitment","needs-review"
"builder.configureCollectible","Configure collectible","Configure collectible","needs-review"
"builder.confirmAndSend","Confirm and Send Transaction","Tabbatar ka aika ciniki","translated"
"builder.confirmTransaction","Confirm Transaction","Tabbatar da ciniki","translated"
"builder.contract","Contract","Contract","needs-review"
"builder.contractAddress","Contract address","Adireshin kwangila","translated"
"builder.contractAssets","Contract assets","Contract assets","needs-review"
"builder.contractFunction","Contract Function","Contract Function","needs-review"
"builder.contractFunds","Contract funds","Contract funds","needs-review"
"builder.contracts","Contracts","Kwangiloli","translated"
"builder.contractSourceCount","{count} contract source(s)","{count} contract source(s)","needs-review"
"builder.contractSourcePlural","{count} contract sources","{count} contract sources","needs-review"
"builder.contractSources","Contract sources","Tushen kwangila","translated"
"builder.contractSourceSingular","{count} contract source","{count} contract source","needs-review"
"builder.copyToClipboard","Copy to clipboard","Kwafi zuwa clipboard","translated"
"builder.createCollectible","Create collectible","Ƙirƙiri abin tarawa","translated"
"builder.createToken","Create token","Ƙirƙiri token","translated"
"builder.customSend","Custom Send","Aika na musamman","translated"
"builder.decodeFailed","Unable to decode transaction. Showing raw hex:","An kasa fassara ciniki. Ana nuna raw hex:","translated"
"builder.dragToConfirm","Drag to Confirm","Jawo don tabbatarwa","translated"
"builder.enterTokenAmount","Enter amount (max {amount})","Enter amount (max {amount})","needs-review"
"builder.estimatedNetworkFee","Estimated network fee","Kiyasin kuɗin hanyar sadarwa","translated"
"builder.feeReserve","Leaving a {count} sat fee reserve.","Ana barin ajiyar fee na {count} sat.","translated"
"builder.flow","Flow","Tsari","translated"
"builder.flowDescription","Pick a source, choose funds, add recipients, then preview the final transaction before sending.","Zaɓi tushe, zaɓi kuɗi, ƙara masu karɓa, sannan ka duba cinikin ƙarshe kafin aikawa.","translated"
"builder.fundsSelected","Funds selected","An zaɓi kuɗi","translated"
"builder.fungibleAmount","Fungible Amount","Fungible Amount","needs-review"
"builder.fungibleTokens","Fungible Tokens","Fungible Tokens","needs-review"
"builder.genesisCollectible","Genesis input for this collectible","Genesis input for this collectible","needs-review"
"builder.genesisInput","Genesis input for this token","Genesis input for this token","needs-review"
"builder.help","Help","Taimako","translated"
"builder.howWorks","How this works","Yadda yake aiki","translated"
"builder.inputs","Inputs","Inputs","needs-review"
"builder.leftoverBchPlaceholder","Wallet address for leftover BCH","Adireshin wallet don ragowar BCH","translated"
"builder.max","Max","Mafi yawa","translated"
"builder.maxSpendable","Set to maximum spendable (leaves 2000 sats for fees)","Saita mafi yawan da za a kashe (bar 2000 sats don fee)","translated"
"builder.missingUnlocker","Missing unlocker!","Unlocker ya ɓace!","translated"
"builder.next","Next","Na gaba","translated"
"builder.nftCapability","NFT Capability","NFT Capability","needs-review"
"builder.nftCommitment","NFT Commitment","NFT Commitment","needs-review"
"builder.noContractAddresses","No contract addresses available.","Babu adireshin kwangila da ke samuwa.","translated"
"builder.noFundsSelected","No funds selected yet.","Ba a zaɓi kuɗi tukuna ba.","translated"
"builder.none","None","None","needs-review"
"builder.nonFungibleTokens","Non-Fungible Tokens","Non-Fungible Tokens","needs-review"
"builder.noOutputs","No outputs added yet.","Ba a ƙara fitarwa tukuna ba.","translated"
"builder.noQrCode","No QR code detected. Please try again.","No QR code detected. Please try again.","needs-review"
"builder.noSpendableBalance","No spendable balance after fee reserve","Babu ma’aunin da za a kashe bayan ajiyar kuɗin fee","translated"
"builder.noUtxosSelected","No UTXOs selected.","Ba a zaɓi UTXO ba.","translated"
"builder.noWalletAddresses","No wallet addresses available.","Babu adireshin wallet da ke samuwa.","translated"
"builder.opReturnData","OP_RETURN Data","OP_RETURN Data","needs-review"
"builder.opReturnEmpty","OP_RETURN data cannot be empty.","OP_RETURN data cannot be empty.","needs-review"
"builder.opReturnOutput","OP_RETURN Output","OP_RETURN Output","needs-review"
"builder.opReturnPlaceholder","Enter space-separated ASCII words","Enter space-separated ASCII words","needs-review"
"builder.outputs","Outputs","Outputs","needs-review"
"builder.paperWallet","Paper Wallet","Paper Wallet","needs-review"
"builder.paperWalletUtxos","Paper Wallet UTXOs","Paper Wallet UTXOs","needs-review"
"builder.pickFunds","Pick funds","Zaɓi kuɗi","translated"
"builder.pickFundsDescription","Select the BCH, tokens, or collectibles that will fund this transaction.","Zaɓi BCH, tokens ko abubuwan tarawa da za su ba wannan ciniki kuɗi.","translated"
"builder.rawTransactionDetails","Raw Transaction Details","Cikakkun bayanan ciniki na asali","translated"
"builder.ready","Ready","A shirye","translated"
"builder.recipient","{count} recipient","{count} recipient","needs-review"
"builder.recipientAddress","Recipient Address","Adireshin mai karɓa","translated"
"builder.recipientCount","{count} recipients","{count} recipients","needs-review"
"builder.recipients","Recipients","Masu karɓa","translated"
"builder.recipientsAdded","Recipients added","An ƙara masu karɓa","translated"
"builder.remove","Remove","Cire","translated"
"builder.removeAllRecipients","Remove all recipients","Cire duk masu karɓa","translated"
"builder.returnLeftover","Return leftover funds to","Mayar da ragowar kuɗi zuwa","translated"
"builder.reviewAndSend","Review and send","Duba ka aika","translated"
"builder.reviewAndSendDescription","Preview first, then send only when the summary looks right.","Duba farko, sannan ka aika kawai idan taƙaitaccen bayani ya yi daidai.","translated"
"builder.reviewFunds","Review funds","Duba kuɗi","translated"
"builder.reviewRecipients","Review recipients","Duba masu karɓa","translated"
"builder.scanQrCode","Scan QR Code","Duba QR code","translated"
"builder.selectedFunds","Selected funds","Kuɗin da aka zaɓa","translated"
"builder.selectedItem","{count} selected item","{count} selected item","needs-review"
"builder.selectedItems","{count} selected items","{count} selected items","needs-review"
"builder.selectGenesisInput","Select genesis input","Select genesis input","needs-review"
"builder.selectSource","Select a source to continue.","Zaɓi tushe don ci gaba.","translated"
"builder.sendBch","Send BCH","Aika BCH","translated"
"builder.sendTx","Send TX","Send TX","needs-review"
"builder.sendWarning","You are about to send a transaction. Please confirm that all details are correct. This action cannot be undone.","Kana gab da aika ciniki. Tabbatar da duk bayanai sun yi daidai. Ba za a iya mayar da wannan aikin ba.","translated"
"builder.sourcesChosen","Sources chosen","An zaɓi tushe","translated"
"builder.step","Step {number}","Mataki na {number}","translated"
"builder.token","Token","Token","needs-review"
"builder.tokenAddress","Token address","Adireshin token","translated"
"builder.tokenAmount","Token Amount","Token Amount","needs-review"
"builder.tokenCategory","Token Category","Token Category","needs-review"
"builder.tokenCategoryLabel","Token Category","Token Category","needs-review"
"builder.tokensCollectibles","Tokens & collectibles","Tokens & collectibles","needs-review"
"builder.transactionError","Transaction Error","Kuskuren ciniki","translated"
"builder.transactionSubmitted","Transaction Submitted","An aika ciniki","translated"
"builder.transactionSubmittedDescription","Your transaction has been submitted. Use this txid as the reference and avoid sending it again.","An aika cinikinka. Yi amfani da wannan txid a matsayin tunani kuma kada ka sake aikawa.","translated"
"builder.transactionSuccessful","Transaction Successful","Ciniki ya yi nasara","translated"
"builder.transferMinimum","Transfer amount must be at least {count}.","Transfer amount must be at least {count}.","needs-review"
"builder.tryAgain","Try Again","Sake gwadawa","translated"
"builder.txHash","Tx Hash","Tx Hash","needs-review"
"builder.txId","TX ID","TX ID","needs-review"
"builder.viewExplorer","View on Explorer","Duba a explorer","translated"
"builder.wallet","Wallet","Wallet","needs-review"
"builder.walletAssets","Wallet assets","Wallet assets","needs-review"
"builder.walletFunds","Wallet funds","Kuɗin wallet","translated"
"builder.walletSourceCount","{count} wallet source(s)","{count} wallet source(s)","needs-review"
"builder.walletSourcePlural","{count} wallet sources","{count} wallet sources","needs-review"
"builder.walletSources","Wallet sources","Tushen wallet","translated"
"builder.walletSourceSingular","{count} wallet source","{count} wallet source","needs-review"
"builder.warning","⚠️ Warning","⚠️ Gargaɗi","translated"
"camera.cancel","Cancel","Soke","translated"
"camera.scan","Scan QR with camera","Duba QR da kyamara","translated"
"camera.unavailable","Camera unavailable: {error}. Use Upload instead.","Kyamara ba ta samuwa: {error}. Yi amfani da Upload.","translated"
"cauldron.active","active","masu aiki","translated"
"cauldron.description","Detected from the active wallet receive/change/DeFi address set through the Cauldron indexer.","Indexer na Cauldron ya gano su daga rukunin adireshin karɓa, canji da DeFi na wallet mai aiki.","translated"
"cauldron.positions","Cauldron positions","Matsayi na Cauldron","translated"
"cauldron.tokenCategories","token categories","rukunan token","translated"
"chat.back","Back to conversations","Koma hirarraki","translated"
"chat.choosePhoto","Choose photo","Zaɓi hoto","translated"
"chat.copyNpub","Copy npub","Kwafi npub","translated"
"chat.displayName","Display name","Sunan nuni","translated"
"chat.emptyDescription","Pick a conversation, or tap + to message someone by their npub. Messages are end-to-end encrypted over Nostr.","Zaɓi hira, ko danna + don aika saƙo ga wani ta npub. Saƙonni suna da rufin sirri daga ƙarshe zuwa ƙarshe ta Nostr.","translated"
"chat.encrypted","End-to-end encrypted","An rufe daga ƙarshe zuwa ƙarshe","translated"
"chat.messagePlaceholder","Message…","Saƙo…","stable-term"
"chat.newChat","New chat","Sabuwar hira","translated"
"chat.newConversation","New conversation","Sabuwar hira","translated"
"chat.noConversations","No conversations yet. Tap + to start one.","Babu hira tukuna. Danna + don farawa.","translated"
"chat.noMessages","No messages yet. Say hi — messages are end-to-end encrypted.","Babu saƙo tukuna. Yi gaisuwa — saƙonni suna da rufin sirri daga ƙarshe zuwa ƙarshe.","translated"
"chat.open","Open","Buɗe","translated"
"chat.privateConversations","Your private conversations","Hirarrakinka na sirri","translated"
"chat.privateMessaging","Private Nostr messaging","Saƙon Nostr na sirri","translated"
"chat.profile","Profile","Bayanan kai","translated"
"chat.profilePublished","Profile published ✓","An buga bayanan kai ✓","translated"
"chat.publishProfile","Publish profile","Buga bayanan kai","translated"
"chat.recipient","Recipient npub…","npub na mai karɓa…","translated"
"chat.searchConversations","Search conversations","Nemi hirarraki","translated"
"chat.send","Send","Aika","translated"
"chat.setup","Nostr setup","Saitin Nostr","translated"
"chat.title","Chat","Hira","translated"
"chat.youPrefix","You: ","Kai: ","translated"
"chat.yourNpub","Your npub","npub ɗinka","translated"
"confirm.action","Confirm action","Tabbatar da aiki","translated"
"confirm.cancel","Cancel","Soke","translated"
"confirm.ok","OK","To","stable-term"
